instrument,block,name,value
z_gcs_1m_adj_sum,fs,b,0.00790914
z_gcs_1m_adj_sum,fs,se_ehw,0.00203785
z_gcs_1m_adj_sum,fs,t_ehw,3.88112
z_gcs_1m_adj_sum,fs,se_hac,0.00213429
z_gcs_1m_adj_sum,fs,t_hac,3.70575
z_gcs_1m_adj_sum,fs,F_eff,13.7326
z_gcs_1m_adj_sum,fs,R2,0.10268
z_gcs_1m_adj_sum,fs,N,228
z_gcs_1m_adj_sum,fs,n_nonzero,215
z_gcs_1m_adj_sum,fs,sd_z,4.28211
z_gcs_1m_adj_sum,fs,sd_us,0.105693
z_gcs_1m_adj_sum,fs,corr,0.320437
z_gcs_1m_adj_sum,naive,b,0.00255627
z_gcs_1m_adj_sum,naive,se_ehw,0.00326908
z_gcs_1m_adj_sum,naive,t_ehw,0.781953
z_gcs_1m_adj_sum,naive,se_hac,0.00298713
z_gcs_1m_adj_sum,naive,t_hac,0.855762
z_gcs_1m_adj_sum,naive,F_eff,0.732328
z_gcs_1m_adj_sum,naive,R2,0.00737752
z_gcs_1m_adj_sum,naive,N,239
z_gcs_1m_adj_sum,naive,n_nonzero,223
z_gcs_1m_adj_sum,naive,sd_z,4.71687
z_gcs_1m_adj_sum,naive,sd_us,0.14038
z_gcs_1m_adj_sum,naive,corr,0.0858925
z_gcs_1m_adj_sum,placebo,t_hac_lead-3,0.389226
z_gcs_1m_adj_sum,placebo,b_lead-3,0.000821583
z_gcs_1m_adj_sum,placebo,t_hac_lead-2,-0.577528
z_gcs_1m_adj_sum,placebo,b_lead-2,-0.00168524
z_gcs_1m_adj_sum,placebo,t_hac_lead-1,-1.2561
z_gcs_1m_adj_sum,placebo,b_lead-1,-0.00247041
z_gcs_1m_adj_sum,placebo,t_hac_lead+0,3.70575
z_gcs_1m_adj_sum,placebo,b_lead+0,0.00790914
z_gcs_1m_adj_sum,placebo,t_hac_lead+1,-2.37475
z_gcs_1m_adj_sum,placebo,b_lead+1,-0.00550426
z_gcs_1m_adj_sum,placebo,t_hac_lead+2,0.345845
z_gcs_1m_adj_sum,placebo,b_lead+2,0.000787084
z_gcs_1m_adj_sum,placebo,t_hac_lead+3,-0.163448
z_gcs_1m_adj_sum,placebo,b_lead+3,-0.000513411
z_gcs_1m_adj_sum,predict,F_hac,1.03484
z_gcs_1m_adj_sum,predict,p_value,0.387472
z_gcs_1m_adj_sum,predict,R2,0.0372499
z_gcs_1m_adj_sum,predict,N,226
z_gcs_1m_adj_sum,predict,ar1_all,-0.197085
z_gcs_1m_adj_sum,predict,ar1_events,-0.199623
z_gcs_1m_adj_sum,influence,F_eff_excl_crisis,8.74271
z_gcs_1m_adj_sum,influence,b_excl_crisis,0.00599279
z_gcs_1m_adj_sum,influence,F_eff_winsorised,15.089
z_gcs_1m_adj_sum,influence,top1_ym,24015
z_gcs_1m_adj_sum,influence,top1_dfbeta,-0.395089
z_gcs_1m_adj_sum,influence,top1_F_without,15.7017
z_gcs_1m_adj_sum,influence,top2_ym,24019
z_gcs_1m_adj_sum,influence,top2_dfbeta,-0.386534
z_gcs_1m_adj_sum,influence,top2_F_without,17.7553
z_gcs_1m_adj_sum,influence,top3_ym,24106
z_gcs_1m_adj_sum,influence,top3_dfbeta,0.375445
z_gcs_1m_adj_sum,influence,top3_F_without,12.2221
z_gcs_1m_adj_sum,influence,top4_ym,24017
z_gcs_1m_adj_sum,influence,top4_dfbeta,0.330796
z_gcs_1m_adj_sum,influence,top4_F_without,11.7773
z_gcs_1m_adj_sum,influence,top5_ym,24035
z_gcs_1m_adj_sum,influence,top5_dfbeta,-0.276264
z_gcs_1m_adj_sum,influence,top5_F_without,15.2742
z_gcs_1m_adj_sum,subsample,F_eff_200101_200812,1.95263
z_gcs_1m_adj_sum,subsample,b_200101_200812,0.0042031
z_gcs_1m_adj_sum,subsample,F_eff_200901_201112,44.1548
z_gcs_1m_adj_sum,subsample,b_200901_201112,0.0167
z_gcs_1m_adj_sum,subsample,F_eff_201201_201912,5.27659
z_gcs_1m_adj_sum,subsample,b_201201_201912,0.00416312
