scale_estimator,equation,block,h,lambda_h,tau_mean,tau_median,p_tau_gt1
block,ois1m,ois1m,1,0.0100339,0.47845,0.27753,0.1193
block,ois1m,ois1m,2,0.0298578,0.52645,0.30816,0.1433
block,ois1m,ois1m,3,0.0575613,0.93415,0.67161,0.3347
block,ois1m,ois1m,4,0.0899987,0.90723,0.64579,0.3327
block,ois1m,ois1m,5,0.128567,1.03866,0.83977,0.4347
block,ois1m,ois1m,6,0.170681,0.83081,0.61985,0.3253
block,ois1m,ois1m,7,0.213569,1.52185,1.39513,0.6567
block,ois1m,ois1m,8,0.263776,2.05779,1.93947,0.8547
block,ois1m,ois1m,9,0.328634,2.32777,2.21015,0.9713
block,ois1m,ois1m,10,0.397243,2.38183,2.26137,0.9780
block,ois1m,ois1m,11,0.457249,2.26989,2.19042,0.9700
block,ois1m,ois1m,12,0.529785,2.31467,2.18797,0.9927
block,ois1m,ois1m,13,0.589118,2.29707,2.17689,0.9893
block,ois1m,ois1m,14,0.634171,2.30474,2.17745,0.9907
block,ois1m,ois1m,15,0.66639,2.25332,2.16324,0.9913
block,ois1m,ois1m,16,0.687694,2.27149,2.14751,0.9907
block,ois1m,ois1m,17,0.713986,2.12088,2.00079,0.9920
block,ois1m,ois1m,18,0.739232,2.06560,1.92890,0.9667
block,ois1m,ois1m,19,0.769636,1.99265,1.90250,0.9653
block,ois1m,ois1m,20,0.801549,1.86184,1.75637,0.9393
block,ois1m,ois1m,21,0.841041,1.66874,1.59261,0.9053
block,ois1m,ois1m,22,0.873976,1.67625,1.55786,0.8967
block,ois1m,ois1m,23,0.898861,1.48563,1.39438,0.8053
block,ois1m,ois1m,24,0.915972,1.35735,1.25839,0.7187
block,ois1m,ois1m,25,0.922666,1.21296,1.15145,0.6293
block,ois1m,ois1m,26,0.926929,1.18527,1.10080,0.6073
block,ois1m,ois1m,27,0.949036,1.09601,1.00772,0.5053
block,ois1m,ois1m,28,0.964508,1.09138,1.00100,0.5007
block,ois1m,ois1m,29,0.964549,1.15577,1.04447,0.5433
block,ois1m,ois1m,30,0.973106,1.09174,1.01399,0.5187
block,ois1m,ois1m,31,0.986442,1.12954,1.01908,0.5233
block,ois1m,ois1m,32,0.996999,1.19425,1.07888,0.5820
block,ois1m,ois1m,33,1.01172,1.12408,1.04105,0.5373
block,ois1m,ois1m,34,1.02053,1.08426,1.00432,0.5060
block,ois1m,ois1m,35,1.02158,1.13311,1.05819,0.5560
block,ois1m,ois1m,36,1.02047,1.12261,1.03899,0.5360
block,ois1m,ois1m,37,1.0155,1.02451,0.95370,0.4500
block,ois1m,ois1m,38,1.00603,1.08429,0.99789,0.4987
block,ois1m,ois1m,39,1.00461,1.00607,0.93020,0.4313
block,ois1m,ois1m,40,1.00712,0.96296,0.90302,0.3953
block,ois1m,ois1m,41,1.00252,0.96374,0.87247,0.3720
block,ois1m,ois1m,42,0.983313,0.91462,0.81218,0.3587
block,ois1m,ois1m,43,0.962513,0.87265,0.80432,0.3233
block,ois1m,ois1m,44,0.946699,0.89579,0.80228,0.3467
block,ois1m,ois1m,45,0.929087,0.93633,0.83785,0.3867
block,ois1m,ois1m,46,0.928095,0.81635,0.77440,0.3347
block,ois1m,ois1m,47,0.935709,1.22319,1.14779,0.6033
block,ois1m,ois1m,48,0.933823,1.21249,1.13546,0.5853
block,ois1m,ip,1,0.0100339,0.60482,0.44317,0.1720
block,ois1m,ip,2,0.0298578,0.51719,0.38742,0.1353
block,ois1m,ip,3,0.0575613,0.51666,0.42475,0.1287
block,ois1m,ip,4,0.0899987,0.54832,0.39158,0.1607
block,ois1m,ip,5,0.128567,0.52018,0.41517,0.1260
block,ois1m,ip,6,0.170681,0.33499,0.22338,0.0553
block,ois1m,ip,7,0.213569,0.77757,0.63716,0.2920
block,ois1m,ip,8,0.263776,1.19123,1.11634,0.5853
block,ois1m,ip,9,0.328634,1.60992,1.52320,0.8313
block,ois1m,ip,10,0.397243,1.73781,1.67103,0.8993
block,ois1m,ip,11,0.457249,1.71609,1.66000,0.8887
block,ois1m,ip,12,0.529785,1.80186,1.73946,0.9607
