scale_estimator,equation,block,block_held_at_1,tau_bar,null_mean,null_q90,null_q95,null_q99,escape_q95,pgt1_bar,null_pgt1_q95,is_argmax,null_argmax_freq,eq_maxstat,eq_maxstat_q95,eq_flag,ratio_q95,null_pct,p_cell,holm_reject
block,ois1m,ois1m,0,1.55555,0.91580,1.44965,1.54749,1.96141,1,0.6358,0.7518,1,0.2500,1.55555,1.76351,0,1.00521,0.9550,0.0450,0
block,ois1m,ip,0,1.02471,0.84896,1.38344,1.53357,1.76082,0,0.4603,0.7711,0,0.2250,1.55555,1.76351,0,0.66819,0.7400,0.2600,0
block,ois1m,hicp_sa,0,0.38082,0.84883,1.42852,1.51038,1.84787,0,0.0584,0.7862,0,0.3100,1.55555,1.76351,0,0.25213,0.0600,0.9400,0
block,ois1m,stoxx,0,0.61444,0.78035,1.26253,1.45491,1.71195,0,0.1511,0.7545,0,0.2150,1.55555,1.76351,0,0.42232,0.3650,0.6350,0
block,ip,ois1m,0,3.13326,0.93392,1.43725,1.60972,2.06706,1,0.8868,0.7654,1,0.2650,3.13326,1.72607,1,1.94646,1.0000,0.0000,1
block,ip,ip,0,1.98323,0.86860,1.38576,1.50809,2.07252,1,0.7622,0.7319,0,0.2200,3.13326,1.72607,1,1.31506,0.9850,0.0150,0
block,ip,hicp_sa,0,0.92563,0.92770,1.42118,1.53300,1.71577,0,0.3305,0.7878,0,0.3750,3.13326,1.72607,1,0.60381,0.4950,0.5050,0
block,ip,stoxx,0,0.59408,0.77326,1.19484,1.31508,1.52917,0,0.1645,0.6579,0,0.1400,3.13326,1.72607,1,0.45174,0.3050,0.6950,0
block,hicp_sa,ois1m,0,1.18254,0.95552,1.51880,1.69831,2.33669,0,0.5119,0.7662,1,0.2200,1.18254,1.99401,0,0.69631,0.7550,0.2450,0
block,hicp_sa,ip,0,0.84936,0.82222,1.31786,1.55014,1.99675,0,0.3402,0.7804,0,0.1150,1.18254,1.99401,0,0.54793,0.6100,0.3900,0
block,hicp_sa,hicp_sa,0,0.98575,1.14645,1.75102,1.91200,2.15107,0,0.3997,0.8966,0,0.5650,1.18254,1.99401,0,0.51556,0.3650,0.6350,0
block,hicp_sa,stoxx,0,0.77845,0.78597,1.23885,1.38344,1.67884,0,0.2565,0.7081,0,0.1000,1.18254,1.99401,0,0.56269,0.5650,0.4350,0
