instrument,estimator,variable,h,theta_25bp,lo_25bp,hi_25bp
z_gcs_1m_adj_sum,BVAR,ois1m,0,0.250000,0.250000,0.250000
z_gcs_1m_adj_sum,BVAR,ois1m,1,0.299483,0.278813,0.319983
z_gcs_1m_adj_sum,BVAR,ois1m,2,0.345956,0.312841,0.381912
z_gcs_1m_adj_sum,BVAR,ois1m,3,0.387421,0.342249,0.441781
z_gcs_1m_adj_sum,BVAR,ois1m,4,0.412644,0.353894,0.478959
z_gcs_1m_adj_sum,BVAR,ois1m,5,0.428939,0.363738,0.512833
z_gcs_1m_adj_sum,BVAR,ois1m,6,0.439025,0.364307,0.538623
z_gcs_1m_adj_sum,BVAR,ois1m,7,0.444691,0.357309,0.555945
z_gcs_1m_adj_sum,BVAR,ois1m,8,0.448215,0.350837,0.567965
z_gcs_1m_adj_sum,BVAR,ois1m,9,0.448640,0.343353,0.579663
z_gcs_1m_adj_sum,BVAR,ois1m,10,0.445482,0.331540,0.585943
z_gcs_1m_adj_sum,BVAR,ois1m,11,0.438618,0.319379,0.590312
z_gcs_1m_adj_sum,BVAR,ois1m,12,0.427710,0.304105,0.591344
z_gcs_1m_adj_sum,BVAR,ois1m,13,0.414216,0.289245,0.590718
z_gcs_1m_adj_sum,BVAR,ois1m,14,0.398807,0.271296,0.585545
z_gcs_1m_adj_sum,BVAR,ois1m,15,0.382144,0.248559,0.581075
z_gcs_1m_adj_sum,BVAR,ois1m,16,0.364926,0.224106,0.576684
z_gcs_1m_adj_sum,BVAR,ois1m,17,0.347688,0.202809,0.570902
z_gcs_1m_adj_sum,BVAR,ois1m,18,0.330794,0.184255,0.564475
z_gcs_1m_adj_sum,BVAR,ois1m,19,0.314477,0.172026,0.560509
z_gcs_1m_adj_sum,BVAR,ois1m,20,0.298897,0.154903,0.553469
z_gcs_1m_adj_sum,BVAR,ois1m,21,0.284191,0.130045,0.553191
z_gcs_1m_adj_sum,BVAR,ois1m,22,0.270481,0.112905,0.547963
z_gcs_1m_adj_sum,BVAR,ois1m,23,0.257866,0.099826,0.536098
z_gcs_1m_adj_sum,BVAR,ois1m,24,0.246418,0.080699,0.531361
z_gcs_1m_adj_sum,BVAR,ois1m,25,0.236166,0.067707,0.523994
z_gcs_1m_adj_sum,BVAR,ois1m,26,0.227099,0.061748,0.521441
z_gcs_1m_adj_sum,BVAR,ois1m,27,0.219175,0.051118,0.520282
z_gcs_1m_adj_sum,BVAR,ois1m,28,0.212323,0.046039,0.513710
z_gcs_1m_adj_sum,BVAR,ois1m,29,0.206452,0.033183,0.507921
z_gcs_1m_adj_sum,BVAR,ois1m,30,0.201461,0.029863,0.499647
z_gcs_1m_adj_sum,BVAR,ois1m,31,0.197242,0.022236,0.495748
z_gcs_1m_adj_sum,BVAR,ois1m,32,0.193688,0.018336,0.493296
z_gcs_1m_adj_sum,BVAR,ois1m,33,0.190693,0.020746,0.490457
z_gcs_1m_adj_sum,BVAR,ois1m,34,0.188154,0.017670,0.487103
z_gcs_1m_adj_sum,BVAR,ois1m,35,0.185974,0.016659,0.484069
z_gcs_1m_adj_sum,BVAR,ois1m,36,0.184062,0.019827,0.480805
z_gcs_1m_adj_sum,BVAR,ois1m,37,0.182337,0.024341,0.479073
z_gcs_1m_adj_sum,BVAR,ois1m,38,0.180726,0.030264,0.478620
z_gcs_1m_adj_sum,BVAR,ois1m,39,0.179168,0.036244,0.476333
z_gcs_1m_adj_sum,BVAR,ois1m,40,0.177609,0.037564,0.475466
z_gcs_1m_adj_sum,BVAR,ois1m,41,0.176010,0.038383,0.473936
z_gcs_1m_adj_sum,BVAR,ois1m,42,0.174338,0.039696,0.471889
z_gcs_1m_adj_sum,BVAR,ois1m,43,0.172571,0.041884,0.469216
z_gcs_1m_adj_sum,BVAR,ois1m,44,0.170697,0.040372,0.466474
z_gcs_1m_adj_sum,BVAR,ois1m,45,0.168709,0.040779,0.463868
z_gcs_1m_adj_sum,BVAR,ois1m,46,0.166606,0.041149,0.462669
z_gcs_1m_adj_sum,BVAR,ois1m,47,0.164394,0.038993,0.462863
z_gcs_1m_adj_sum,BVAR,ois1m,48,0.162084,0.036338,0.463060
z_gcs_1m_adj_sum,BVAR,ip,0,0.829307,0.650815,1.015039
z_gcs_1m_adj_sum,BVAR,ip,1,1.159195,0.906724,1.426144
z_gcs_1m_adj_sum,BVAR,ip,2,1.456277,1.178284,1.788367
z_gcs_1m_adj_sum,BVAR,ip,3,1.692391,1.346789,2.091539
z_gcs_1m_adj_sum,BVAR,ip,4,1.818130,1.410482,2.302110
z_gcs_1m_adj_sum,BVAR,ip,5,1.849020,1.384145,2.395025
z_gcs_1m_adj_sum,BVAR,ip,6,1.817036,1.315450,2.427880
z_gcs_1m_adj_sum,BVAR,ip,7,1.734196,1.198367,2.426178
z_gcs_1m_adj_sum,BVAR,ip,8,1.631457,1.088921,2.364532
z_gcs_1m_adj_sum,BVAR,ip,9,1.524978,0.944918,2.344832
z_gcs_1m_adj_sum,BVAR,ip,10,1.417462,0.838293,2.234512
z_gcs_1m_adj_sum,BVAR,ip,11,1.300527,0.729812,2.175455
z_gcs_1m_adj_sum,BVAR,ip,12,1.171023,0.602978,2.119222
z_gcs_1m_adj_sum,BVAR,ip,13,1.031426,0.431371,2.027480
z_gcs_1m_adj_sum,BVAR,ip,14,0.884940,0.269969,1.894740
z_gcs_1m_adj_sum,BVAR,ip,15,0.735875,0.138390,1.763644
z_gcs_1m_adj_sum,BVAR,ip,16,0.588494,-0.021060,1.627489
z_gcs_1m_adj_sum,BVAR,ip,17,0.446552,-0.172667,1.477096
z_gcs_1m_adj_sum,BVAR,ip,18,0.313103,-0.333437,1.342557
z_gcs_1m_adj_sum,BVAR,ip,19,0.190304,-0.477030,1.186760
z_gcs_1m_adj_sum,BVAR,ip,20,0.079184,-0.613562,1.132632
z_gcs_1m_adj_sum,BVAR,ip,21,-0.019846,-0.755972,1.073091
z_gcs_1m_adj_sum,BVAR,ip,22,-0.106749,-0.880950,0.944980
z_gcs_1m_adj_sum,BVAR,ip,23,-0.181690,-0.982352,0.901208
z_gcs_1m_adj_sum,BVAR,ip,24,-0.245004,-1.063991,0.812867
z_gcs_1m_adj_sum,BVAR,ip,25,-0.297132,-1.101568,0.698087
z_gcs_1m_adj_sum,BVAR,ip,26,-0.338690,-1.104724,0.621953
z_gcs_1m_adj_sum,BVAR,ip,27,-0.370455,-1.166823,0.602911
z_gcs_1m_adj_sum,BVAR,ip,28,-0.393343,-1.197416,0.572984
z_gcs_1m_adj_sum,BVAR,ip,29,-0.408373,-1.218505,0.496377
z_gcs_1m_adj_sum,BVAR,ip,30,-0.416624,-1.196761,0.444292
z_gcs_1m_adj_sum,BVAR,ip,31,-0.419186,-1.176384,0.405184
z_gcs_1m_adj_sum,BVAR,ip,32,-0.417121,-1.185440,0.405192
z_gcs_1m_adj_sum,BVAR,ip,33,-0.411433,-1.139631,0.417165
z_gcs_1m_adj_sum,BVAR,ip,34,-0.403046,-1.100132,0.409971
z_gcs_1m_adj_sum,BVAR,ip,35,-0.392801,-1.084906,0.385997
z_gcs_1m_adj_sum,BVAR,ip,36,-0.381441,-1.060488,0.376355
z_gcs_1m_adj_sum,BVAR,ip,37,-0.369612,-1.025703,0.375832
z_gcs_1m_adj_sum,BVAR,ip,38,-0.357863,-0.989834,0.368810
z_gcs_1m_adj_sum,BVAR,ip,39,-0.346642,-0.933793,0.368895
z_gcs_1m_adj_sum,BVAR,ip,40,-0.336305,-0.931086,0.395425
z_gcs_1m_adj_sum,BVAR,ip,41,-0.327112,-0.907114,0.405214
z_gcs_1m_adj_sum,BVAR,ip,42,-0.319243,-0.878733,0.345382
z_gcs_1m_adj_sum,BVAR,ip,43,-0.312798,-0.843118,0.316514
z_gcs_1m_adj_sum,BVAR,ip,44,-0.307813,-0.837559,0.320260
z_gcs_1m_adj_sum,BVAR,ip,45,-0.304264,-0.830324,0.321061
z_gcs_1m_adj_sum,BVAR,ip,46,-0.302080,-0.806740,0.306598
z_gcs_1m_adj_sum,BVAR,ip,47,-0.301155,-0.790275,0.312531
z_gcs_1m_adj_sum,BVAR,ip,48,-0.301351,-0.766899,0.315882
z_gcs_1m_adj_sum,BVAR,hicp_yoy,0,0.078852,0.027978,0.122671
z_gcs_1m_adj_sum,BVAR,hicp_yoy,1,0.125369,0.050972,0.204522
z_gcs_1m_adj_sum,BVAR,hicp_yoy,2,0.166035,0.078978,0.257392
z_gcs_1m_adj_sum,BVAR,hicp_yoy,3,0.193547,0.098952,0.299064
z_gcs_1m_adj_sum,BVAR,hicp_yoy,4,0.215048,0.102106,0.336015
z_gcs_1m_adj_sum,BVAR,hicp_yoy,5,0.242178,0.117364,0.371068
z_gcs_1m_adj_sum,BVAR,hicp_yoy,6,0.270253,0.141143,0.408515
z_gcs_1m_adj_sum,BVAR,hicp_yoy,7,0.293004,0.159392,0.436304
z_gcs_1m_adj_sum,BVAR,hicp_yoy,8,0.307472,0.173821,0.453563
z_gcs_1m_adj_sum,BVAR,hicp_yoy,9,0.311506,0.174495,0.455265
z_gcs_1m_adj_sum,BVAR,hicp_yoy,10,0.306537,0.162143,0.455124
z_gcs_1m_adj_sum,BVAR,hicp_yoy,11,0.295395,0.147764,0.445117
z_gcs_1m_adj_sum,BVAR,hicp_yoy,12,0.280814,0.134075,0.434467
z_gcs_1m_adj_sum,BVAR,hicp_yoy,13,0.262927,0.111505,0.424198
z_gcs_1m_adj_sum,BVAR,hicp_yoy,14,0.243177,0.092514,0.407560
z_gcs_1m_adj_sum,BVAR,hicp_yoy,15,0.222472,0.072493,0.393051
z_gcs_1m_adj_sum,BVAR,hicp_yoy,16,0.201273,0.057243,0.377800
z_gcs_1m_adj_sum,BVAR,hicp_yoy,17,0.179786,0.035442,0.362225
z_gcs_1m_adj_sum,BVAR,hicp_yoy,18,0.158338,0.014901,0.346769
z_gcs_1m_adj_sum,BVAR,hicp_yoy,19,0.137334,-0.002330,0.326461
z_gcs_1m_adj_sum,BVAR,hicp_yoy,20,0.117224,-0.021442,0.315561
z_gcs_1m_adj_sum,BVAR,hicp_yoy,21,0.098450,-0.047640,0.304660
z_gcs_1m_adj_sum,BVAR,hicp_yoy,22,0.081380,-0.057586,0.289278
z_gcs_1m_adj_sum,BVAR,hicp_yoy,23,0.066255,-0.074610,0.272567
z_gcs_1m_adj_sum,BVAR,hicp_yoy,24,0.053206,-0.088865,0.258575
