instrument,b,t_ehw,t_hac,F_eff,R2,N,n_nonzero,sd_z_bp,naive_b,naive_t,naive_F,lead1_t,lead2_t,lead3_t,lag1_t,pred_F,pred_p,ar1,F_excl_crisis,F_winsor,F_2001_08,F_2009_11,F_2012_19,top_month,top_dfbeta,mop_verdict
z_gc_1m_adj_sum,0.005529,2.122,2.063,4.257,0.0373,228,182,3.052,-0.001249,-0.287,0.082,-2.158,-1.246,0.734,-2.170,1.924,0.1034,-0.184,8.632,3.073,0.063,14.029,8.646,2008-11,-0.642,WEAK
z_gc_1m_adj_kilian,0.006190,1.788,1.705,2.906,0.0304,228,213,2.461,-0.002828,-0.457,0.209,-1.846,-2.097,0.772,-2.773,2.859,0.0221,0.080,6.035,1.873,0.444,15.529,13.649,2008-11,-0.613,WEAK
z_gc_1m_adj_kilianfix,0.005949,1.626,1.541,2.374,0.0257,228,214,2.353,-0.003585,-0.553,0.306,-1.700,-2.196,0.730,-2.834,3.076,0.0152,0.127,4.786,1.484,0.595,15.974,12.990,2008-11,-0.586,WEAK
z_gc_1m_raw_sum,0.005529,2.122,2.063,4.257,0.0373,228,182,3.052,-0.001249,-0.287,0.082,-2.158,-1.246,0.734,-2.170,1.924,0.1034,-0.184,8.632,3.073,0.063,14.029,8.646,2008-11,-0.642,WEAK
z_gc_1m_raw_kilian,0.006190,1.788,1.705,2.906,0.0304,228,213,2.461,-0.002828,-0.457,0.209,-1.846,-2.097,0.772,-2.773,2.859,0.0221,0.080,6.035,1.873,0.444,15.529,13.649,2008-11,-0.613,WEAK
z_gc_1m_raw_kilianfix,0.005949,1.626,1.541,2.374,0.0257,228,214,2.353,-0.003585,-0.553,0.306,-1.700,-2.196,0.730,-2.834,3.076,0.0152,0.127,4.786,1.484,0.595,15.974,12.990,2008-11,-0.586,WEAK
z_gc_3m_sum,0.008039,1.905,2.274,5.170,0.0921,228,194,3.300,0.003859,0.799,0.639,-2.684,-1.182,0.169,0.109,2.310,0.0554,-0.242,18.639,9.816,0.901,17.338,3.418,2008-11,-0.896,WEAK
z_gc_3m_kilian,0.010970,2.222,2.584,6.677,0.1126,228,223,2.672,0.006559,1.007,1.014,-1.930,-2.064,-0.028,-0.458,2.748,0.0267,0.018,26.319,8.948,1.231,17.002,5.198,2008-11,-0.825,WEAK
z_gc_3m_kilianfix,0.011530,2.317,2.661,7.082,0.1126,228,222,2.543,0.006793,1.016,1.033,-1.709,-2.204,-0.097,-0.540,2.855,0.0222,0.057,26.519,7.747,1.367,17.421,5.186,2008-11,-0.776,WEAK
z_gc_1y_sum,0.004024,1.572,1.645,2.707,0.0390,228,204,4.289,0.001575,0.419,0.175,-2.674,-1.442,0.290,-0.402,2.278,0.0584,-0.180,5.998,2.275,0.116,11.073,0.332,2008-11,-0.632,WEAK
z_gc_1y_kilian,0.005255,1.678,1.770,3.132,0.0469,228,227,3.601,0.002056,0.414,0.171,-2.115,-2.043,-0.174,-0.746,2.622,0.0330,-0.017,7.834,2.781,0.299,10.329,0.883,2008-11,-0.631,WEAK
z_gc_1y_kilianfix,0.005458,1.699,1.793,3.216,0.0459,228,227,3.430,0.002044,0.387,0.150,-1.963,-2.178,-0.300,-0.797,2.702,0.0288,0.033,8.520,2.583,0.343,10.520,0.925,2008-11,-0.613,WEAK
z_sp_1m_adj_sum,0.002666,1.074,1.052,1.108,0.0084,228,188,2.998,-0.000668,-0.153,0.024,0.872,1.284,-0.641,1.691,0.147,0.9643,-0.047,0.056,1.884,0.830,0.304,0.017,2001-07,-0.684,WEAK
