dgp,scale_estimator,misspec_block,is_false_positive_setting,metric,index,value
correct,block,NaN,1,argmax_freq,block1,0.438
correct,block,NaN,1,argmax_freq,block2,0.28
correct,block,NaN,1,argmax_freq,block3,0.282
correct,block,NaN,1,argmax_freq_by_eq,eq1_block1,0.384
correct,block,NaN,1,argmax_freq_by_eq_early,eq1_block1,0.358
correct,block,NaN,1,argmax_freq_by_eq,eq1_block2,0.308
correct,block,NaN,1,argmax_freq_by_eq_early,eq1_block2,0.318
correct,block,NaN,1,argmax_freq_by_eq,eq1_block3,0.308
correct,block,NaN,1,argmax_freq_by_eq_early,eq1_block3,0.324
correct,block,NaN,1,argmax_freq_by_eq,eq2_block1,0.416
correct,block,NaN,1,argmax_freq_by_eq_early,eq2_block1,0.334
correct,block,NaN,1,argmax_freq_by_eq,eq2_block2,0.298
correct,block,NaN,1,argmax_freq_by_eq_early,eq2_block2,0.366
correct,block,NaN,1,argmax_freq_by_eq,eq2_block3,0.286
correct,block,NaN,1,argmax_freq_by_eq_early,eq2_block3,0.3
correct,block,NaN,1,argmax_freq_by_eq,eq3_block1,0.426
correct,block,NaN,1,argmax_freq_by_eq_early,eq3_block1,0.356
correct,block,NaN,1,argmax_freq_by_eq,eq3_block2,0.308
correct,block,NaN,1,argmax_freq_by_eq_early,eq3_block2,0.334
correct,block,NaN,1,argmax_freq_by_eq,eq3_block3,0.266
correct,block,NaN,1,argmax_freq_by_eq_early,eq3_block3,0.31
correct,block,NaN,1,detect_prob,aggregate,NaN
correct,block,NaN,1,detect_prob_by_eq,eq1,NaN
correct,block,NaN,1,detect_prob_by_eq_early,eq1,NaN
correct,block,NaN,1,mean_rank_true_by_eq,eq1,NaN
correct,block,NaN,1,detect_prob_by_eq,eq2,NaN
correct,block,NaN,1,detect_prob_by_eq_early,eq2,NaN
correct,block,NaN,1,mean_rank_true_by_eq,eq2,NaN
correct,block,NaN,1,detect_prob_by_eq,eq3,NaN
correct,block,NaN,1,detect_prob_by_eq_early,eq3,NaN
correct,block,NaN,1,mean_rank_true_by_eq,eq3,NaN
correct,block,NaN,1,max_argmax_freq,all_horizons,0.426
correct,block,NaN,1,max_argmax_freq_early,early,0.366
correct,block,NaN,1,argmax_cell,equation_all,3
correct,block,NaN,1,argmax_cell,block_all,1
correct,block,NaN,1,argmax_cell_early,equation_early,2
correct,block,NaN,1,argmax_cell_early,block_early,2
correct,block,NaN,1,argmax_chance,per_cell,0.3333333333
correct,block,NaN,1,mean_rank_true,aggregate,NaN
correct,block,NaN,1,rank_chance,aggregate,2
correct,block,NaN,1,flag_ratio,thr1.25,0.3
correct,block,NaN,1,joint_detect_ratio,thr1.25,NaN
correct,block,NaN,1,flag_ratio,thr1.50,0.068
correct,block,NaN,1,joint_detect_ratio,thr1.50,NaN
correct,block,NaN,1,flag_ratio,thr2.00,0.006
correct,block,NaN,1,joint_detect_ratio,thr2.00,NaN
correct,block,NaN,1,flag_prob,q0.50,0.028
correct,block,NaN,1,joint_detect_prob,q0.50,NaN
correct,block,NaN,1,flag_prob,q0.75,0
correct,block,NaN,1,joint_detect_prob,q0.75,NaN
correct,block,NaN,1,flag_prob,q0.90,0
correct,block,NaN,1,joint_detect_prob,q0.90,NaN
correct,block,NaN,1,ess_beta_mean,chain,206.7428689
correct,block,NaN,1,ess_logtau_mean,chain,69.93659426
correct,block,NaN,1,lag1_beta_mean,chain,0.1151229469
correct,block,NaN,1,acc_rate_mean,chain,NaN
correct,block,NaN,1,n_tau_clip_mean,chain,0.628
correct,pooled,NaN,1,argmax_freq,block1,0.434
correct,pooled,NaN,1,argmax_freq,block2,0.258
correct,pooled,NaN,1,argmax_freq,block3,0.308
correct,pooled,NaN,1,argmax_freq_by_eq,eq1_block1,0.384
correct,pooled,NaN,1,argmax_freq_by_eq_early,eq1_block1,0.396
correct,pooled,NaN,1,argmax_freq_by_eq,eq1_block2,0.296
correct,pooled,NaN,1,argmax_freq_by_eq_early,eq1_block2,0.28
correct,pooled,NaN,1,argmax_freq_by_eq,eq1_block3,0.32
correct,pooled,NaN,1,argmax_freq_by_eq_early,eq1_block3,0.324
correct,pooled,NaN,1,argmax_freq_by_eq,eq2_block1,0.392
correct,pooled,NaN,1,argmax_freq_by_eq_early,eq2_block1,0.406
correct,pooled,NaN,1,argmax_freq_by_eq,eq2_block2,0.3
correct,pooled,NaN,1,argmax_freq_by_eq_early,eq2_block2,0.304
correct,pooled,NaN,1,argmax_freq_by_eq,eq2_block3,0.308
correct,pooled,NaN,1,argmax_freq_by_eq_early,eq2_block3,0.29
correct,pooled,NaN,1,argmax_freq_by_eq,eq3_block1,0.422
correct,pooled,NaN,1,argmax_freq_by_eq_early,eq3_block1,0.4
correct,pooled,NaN,1,argmax_freq_by_eq,eq3_block2,0.286
correct,pooled,NaN,1,argmax_freq_by_eq_early,eq3_block2,0.294
correct,pooled,NaN,1,argmax_freq_by_eq,eq3_block3,0.292
