dgp,scale_estimator,equation,block,horizon,tau_mean,tau_median,p_tau_gt1,tau_q05,tau_q25,tau_q50,tau_q75,tau_q95
dense,block,1,1,1,0.5440890136,0.3591179924,0.1382914286,0.03909769071,0.1640816595,0.3591179924,0.6905626737,1.611888248
dense,block,1,1,2,0.6145818467,0.4122812694,0.1724514286,0.04384643948,0.1873206664,0.4122812694,0.7853779772,1.822739436
dense,block,1,1,3,0.6934241024,0.4691077993,0.2067485714,0.05378135246,0.2162231138,0.4691077993,0.8845074405,2.032057057
dense,block,1,1,4,0.7622541888,0.5282559961,0.2405828571,0.06315765665,0.2526320016,0.5282559961,0.9716672774,2.189517071
dense,block,1,1,5,0.8248460649,0.5784015635,0.2704857143,0.07047946942,0.2840337011,0.5784015635,1.044794146,2.336795122
dense,block,1,1,6,0.8846397966,0.6261743489,0.29724,0.08446181596,0.312296456,0.6261743489,1.11870272,2.48136593
dense,block,1,1,7,0.9382000767,0.6724416694,0.3236628571,0.09855161272,0.3447391018,0.6724416694,1.188989537,2.610630963
dense,block,1,1,8,0.9941391504,0.7105566789,0.346,0.1140829579,0.3704865811,0.7105566789,1.252580438,2.74941947
dense,block,1,1,9,1.057402731,0.761449686,0.3697485714,0.1262948173,0.404189391,0.761449686,1.32185053,2.891418441
dense,block,1,1,10,1.104826137,0.7969653359,0.3902742857,0.1394475711,0.4273003052,0.7969653359,1.382441855,3.001797652
dense,block,1,1,11,1.154216822,0.8373632309,0.4085314286,0.1438423048,0.4492418244,0.8373632309,1.44244853,3.139208523
dense,block,1,1,12,1.185779562,0.8515779411,0.4161371429,0.1414541944,0.450820495,0.8515779411,1.484092425,3.255015807
dense,block,1,1,13,1.179951022,0.8463979349,0.4131828571,0.1463851977,0.4491697021,0.8463979349,1.479681519,3.237980687
dense,block,1,1,14,1.182221173,0.8470298723,0.4138,0.1428047114,0.4469997867,0.8470298723,1.475955921,3.246594419
dense,block,1,1,15,1.211276865,0.8600993422,0.4185257143,0.151443691,0.4556731456,0.8600993422,1.505499352,3.34742955
dense,block,1,1,16,1.217248268,0.8704881839,0.4242514286,0.1652854837,0.4726368893,0.8704881839,1.510391658,3.325002578
dense,block,1,1,17,1.236470966,0.8885983089,0.4297085714,0.1677438492,0.4839410143,0.8885983089,1.535962064,3.358649297
dense,block,1,1,18,1.239377171,0.892318691,0.4323028571,0.1700933897,0.4842468341,0.892318691,1.538623619,3.356012748
dense,block,1,1,19,1.243465403,0.8923090609,0.4356628571,0.1638450245,0.4843506783,0.8923090609,1.549729602,3.406396998
dense,block,1,1,20,1.272948076,0.9188466065,0.44708,0.1773770634,0.5042459797,0.9188466065,1.578794264,3.438193552
