dgp,scale_estimator,misspec_block,is_false_positive_setting,metric,index,value
dense,block,NaN,0,argmax_freq,block1,0.38
dense,block,NaN,0,argmax_freq,block2,0.308
dense,block,NaN,0,argmax_freq,block3,0.312
dense,block,NaN,0,argmax_freq_by_eq,eq1_block1,0.352
dense,block,NaN,0,argmax_freq_by_eq_early,eq1_block1,0.344
dense,block,NaN,0,argmax_freq_by_eq,eq1_block2,0.288
dense,block,NaN,0,argmax_freq_by_eq_early,eq1_block2,0.336
dense,block,NaN,0,argmax_freq_by_eq,eq1_block3,0.36
dense,block,NaN,0,argmax_freq_by_eq_early,eq1_block3,0.32
dense,block,NaN,0,argmax_freq_by_eq,eq2_block1,0.36
dense,block,NaN,0,argmax_freq_by_eq_early,eq2_block1,0.408
dense,block,NaN,0,argmax_freq_by_eq,eq2_block2,0.296
dense,block,NaN,0,argmax_freq_by_eq_early,eq2_block2,0.28
dense,block,NaN,0,argmax_freq_by_eq,eq2_block3,0.344
dense,block,NaN,0,argmax_freq_by_eq_early,eq2_block3,0.312
dense,block,NaN,0,argmax_freq_by_eq,eq3_block1,0.36
dense,block,NaN,0,argmax_freq_by_eq_early,eq3_block1,0.336
dense,block,NaN,0,argmax_freq_by_eq,eq3_block2,0.332
dense,block,NaN,0,argmax_freq_by_eq_early,eq3_block2,0.352
dense,block,NaN,0,argmax_freq_by_eq,eq3_block3,0.308
dense,block,NaN,0,argmax_freq_by_eq_early,eq3_block3,0.312
dense,block,NaN,0,detect_prob,aggregate,NaN
dense,block,NaN,0,detect_prob_by_eq,eq1,NaN
dense,block,NaN,0,detect_prob_by_eq_early,eq1,NaN
dense,block,NaN,0,mean_rank_true_by_eq,eq1,NaN
dense,block,NaN,0,detect_prob_by_eq,eq2,NaN
dense,block,NaN,0,detect_prob_by_eq_early,eq2,NaN
dense,block,NaN,0,mean_rank_true_by_eq,eq2,NaN
dense,block,NaN,0,detect_prob_by_eq,eq3,NaN
dense,block,NaN,0,detect_prob_by_eq_early,eq3,NaN
dense,block,NaN,0,mean_rank_true_by_eq,eq3,NaN
dense,block,NaN,0,max_argmax_freq,all_horizons,0.36
dense,block,NaN,0,max_argmax_freq_early,early,0.408
dense,block,NaN,0,argmax_cell,equation_all,2
dense,block,NaN,0,argmax_cell,block_all,1
dense,block,NaN,0,argmax_cell_early,equation_early,2
dense,block,NaN,0,argmax_cell_early,block_early,1
dense,block,NaN,0,argmax_chance,per_cell,0.3333333333
dense,block,NaN,0,mean_rank_true,aggregate,NaN
dense,block,NaN,0,rank_chance,aggregate,2
dense,block,NaN,0,flag_ratio,thr1.25,0.292
dense,block,NaN,0,joint_detect_ratio,thr1.25,NaN
dense,block,NaN,0,flag_ratio,thr1.50,0.056
dense,block,NaN,0,joint_detect_ratio,thr1.50,NaN
dense,block,NaN,0,flag_ratio,thr2.00,0
dense,block,NaN,0,joint_detect_ratio,thr2.00,NaN
dense,block,NaN,0,flag_prob,q0.50,0.04
dense,block,NaN,0,joint_detect_prob,q0.50,NaN
dense,block,NaN,0,flag_prob,q0.75,0
dense,block,NaN,0,joint_detect_prob,q0.75,NaN
dense,block,NaN,0,flag_prob,q0.90,0
dense,block,NaN,0,joint_detect_prob,q0.90,NaN
dense,block,NaN,0,ess_beta_mean,chain,206.8071566
dense,block,NaN,0,ess_logtau_mean,chain,70.33492061
dense,block,NaN,0,lag1_beta_mean,chain,0.1229778527
dense,block,NaN,0,acc_rate_mean,chain,NaN
dense,block,NaN,0,n_tau_clip_mean,chain,0.48
dense,pooled,NaN,0,argmax_freq,block1,0.388
dense,pooled,NaN,0,argmax_freq,block2,0.264
dense,pooled,NaN,0,argmax_freq,block3,0.348
dense,pooled,NaN,0,argmax_freq_by_eq,eq1_block1,0.36
dense,pooled,NaN,0,argmax_freq_by_eq_early,eq1_block1,0.384
dense,pooled,NaN,0,argmax_freq_by_eq,eq1_block2,0.28
dense,pooled,NaN,0,argmax_freq_by_eq_early,eq1_block2,0.288
dense,pooled,NaN,0,argmax_freq_by_eq,eq1_block3,0.36
dense,pooled,NaN,0,argmax_freq_by_eq_early,eq1_block3,0.328
dense,pooled,NaN,0,argmax_freq_by_eq,eq2_block1,0.368
dense,pooled,NaN,0,argmax_freq_by_eq_early,eq2_block1,0.388
dense,pooled,NaN,0,argmax_freq_by_eq,eq2_block2,0.252
dense,pooled,NaN,0,argmax_freq_by_eq_early,eq2_block2,0.276
dense,pooled,NaN,0,argmax_freq_by_eq,eq2_block3,0.38
dense,pooled,NaN,0,argmax_freq_by_eq_early,eq2_block3,0.336
dense,pooled,NaN,0,argmax_freq_by_eq,eq3_block1,0.356
dense,pooled,NaN,0,argmax_freq_by_eq_early,eq3_block1,0.372
dense,pooled,NaN,0,argmax_freq_by_eq,eq3_block2,0.308
dense,pooled,NaN,0,argmax_freq_by_eq_early,eq3_block2,0.308
dense,pooled,NaN,0,argmax_freq_by_eq,eq3_block3,0.336
dense,pooled,NaN,0,argmax_freq_by_eq_early,eq3_block3,0.32
dense,pooled,NaN,0,detect_prob,aggregate,NaN
dense,pooled,NaN,0,detect_prob_by_eq,eq1,NaN
dense,pooled,NaN,0,detect_prob_by_eq_early,eq1,NaN
dense,pooled,NaN,0,mean_rank_true_by_eq,eq1,NaN
dense,pooled,NaN,0,detect_prob_by_eq,eq2,NaN
dense,pooled,NaN,0,detect_prob_by_eq_early,eq2,NaN
dense,pooled,NaN,0,mean_rank_true_by_eq,eq2,NaN
dense,pooled,NaN,0,detect_prob_by_eq,eq3,NaN
dense,pooled,NaN,0,detect_prob_by_eq_early,eq3,NaN
dense,pooled,NaN,0,mean_rank_true_by_eq,eq3,NaN
dense,pooled,NaN,0,max_argmax_freq,all_horizons,0.38
dense,pooled,NaN,0,max_argmax_freq_early,early,0.388
dense,pooled,NaN,0,argmax_cell,equation_all,2
dense,pooled,NaN,0,argmax_cell,block_all,3
dense,pooled,NaN,0,argmax_cell_early,equation_early,2
dense,pooled,NaN,0,argmax_cell_early,block_early,1
dense,pooled,NaN,0,argmax_chance,per_cell,0.3333333333
dense,pooled,NaN,0,mean_rank_true,aggregate,NaN
dense,pooled,NaN,0,rank_chance,aggregate,2
