dgp,mode,R,T,p,H,estimator,variable,horizon,bias,variance,mse,rmse,coverage,avg_len,coverage_post,avg_len_post
intermediate,fmar,250,200,2,20,LP,1,1,-0.01435722244,0.005905376189,0.006111506026,0.07817612184,0.876,0.2367969769,NaN,NaN
intermediate,fmar,250,200,2,20,LP,1,2,-0.01912728147,0.006770415088,0.007136267985,0.08447643449,0.876,0.2632883156,NaN,NaN
intermediate,fmar,250,200,2,20,LP,1,3,-0.01786558262,0.007692615997,0.008011795039,0.08950863109,0.892,0.2844339434,NaN,NaN
intermediate,fmar,250,200,2,20,LP,1,4,-0.02544352696,0.007485806635,0.008133179699,0.09018414328,0.872,0.2859243742,NaN,NaN
intermediate,fmar,250,200,2,20,LP,1,5,-0.02185215439,0.007230111771,0.007707628423,0.08779310009,0.904,0.2896839483,NaN,NaN
intermediate,fmar,250,200,2,20,LP,1,6,-0.02254371178,0.009204207895,0.009712426836,0.09855164552,0.836,0.2937759852,NaN,NaN
intermediate,fmar,250,200,2,20,LP,1,7,-0.0137632829,0.0089596569,0.009149084856,0.0956508487,0.852,0.2918167204,NaN,NaN
intermediate,fmar,250,200,2,20,LP,1,8,-0.01144195348,0.009173800217,0.009304718516,0.09646096887,0.848,0.2937899179,NaN,NaN
intermediate,fmar,250,200,2,20,LP,1,9,-0.005780597575,0.009356149498,0.009389564806,0.0968997668,0.84,0.2883498734,NaN,NaN
intermediate,fmar,250,200,2,20,LP,1,10,-0.006736472159,0.008411484045,0.008456864102,0.09196120977,0.884,0.2944209445,NaN,NaN
intermediate,fmar,250,200,2,20,LP,1,11,-0.009645589438,0.009123777441,0.009216814837,0.09600424385,0.86,0.2962628717,NaN,NaN
intermediate,fmar,250,200,2,20,LP,1,12,-0.008115570315,0.009581514555,0.009647377037,0.09822106208,0.836,0.2928482691,NaN,NaN
intermediate,fmar,250,200,2,20,LP,1,13,-0.001319687584,0.009292677589,0.009294419165,0.09640756798,0.88,0.2951328123,NaN,NaN
intermediate,fmar,250,200,2,20,LP,1,14,-0.005115603637,0.01017627363,0.01020244303,0.1010071435,0.844,0.2970841419,NaN,NaN
intermediate,fmar,250,200,2,20,LP,1,15,-0.0006187149122,0.009714236436,0.009714619244,0.09856276804,0.88,0.2998604169,NaN,NaN
intermediate,fmar,250,200,2,20,LP,1,16,-0.01417971117,0.01068344688,0.01088451109,0.1043288603,0.844,0.297265552,NaN,NaN
intermediate,fmar,250,200,2,20,LP,1,17,-0.005779794225,0.0105289507,0.01056235673,0.1027733269,0.836,0.2965627541,NaN,NaN
intermediate,fmar,250,200,2,20,LP,1,18,-0.006912518781,0.010397678,0.01044546092,0.1022030377,0.824,0.2943737133,NaN,NaN
intermediate,fmar,250,200,2,20,LP,1,19,-0.003952545036,0.01113306313,0.01114868575,0.1055873371,0.8,0.2934268956,NaN,NaN
intermediate,fmar,250,200,2,20,LP,1,20,-0.006919850925,0.01062671035,0.01067459469,0.1033179302,0.796,0.2884825794,NaN,NaN
