dgp,scale_estimator,equation,block,horizon,tau_mean,tau_median,p_tau_gt1,tau_q05,tau_q25,tau_q50,tau_q75,tau_q95
intermediate,block,1,1,1,0.5694453465,0.3893673729,0.1491828571,0.0425752691,0.1798927508,0.3893673729,0.7310344481,1.655589231
intermediate,block,1,1,2,0.8360228736,0.6084756016,0.2796628571,0.0917942303,0.3127321933,0.6084756016,1.06122797,2.264090918
intermediate,block,1,1,3,0.8753407457,0.6542889038,0.2967257143,0.1141204114,0.3594846024,0.6542889038,1.098310878,2.301111051
intermediate,block,1,1,4,0.9998996781,0.7651921398,0.3636914286,0.1781232874,0.4526318304,0.7651921398,1.2400614,2.529713498
intermediate,block,1,1,5,1.071541551,0.824013363,0.3981657143,0.2165108012,0.5028465699,0.824013363,1.314739772,2.668119831
intermediate,block,1,1,6,1.106431522,0.8489012398,0.4148228571,0.2189985845,0.5136805058,0.8489012398,1.364006359,2.774475367
intermediate,block,1,1,7,1.08851991,0.8277938567,0.4009257143,0.1916894375,0.4864243504,0.8277938567,1.347182866,2.759090518
intermediate,block,1,1,8,1.041758566,0.7778539239,0.3764342857,0.1584132474,0.4346151754,0.7778539239,1.302113762,2.731902341
intermediate,block,1,1,9,1.018543419,0.7500432024,0.3621428571,0.1442246522,0.4119231661,0.7500432024,1.275111269,2.703887125
intermediate,block,1,1,10,1.004326848,0.7363940513,0.3541142857,0.1264814677,0.3957630374,0.7363940513,1.262280324,2.692942405
intermediate,block,1,1,11,1.018020516,0.7397965958,0.3574914286,0.1207382658,0.3907440673,0.7397965958,1.280857654,2.764684032
intermediate,block,1,1,12,1.018070563,0.7357605318,0.3573028571,0.1135770221,0.3835145301,0.7357605318,1.286060279,2.772738664
intermediate,block,1,1,13,1.003255011,0.7245215199,0.3510228571,0.1049852827,0.3696592502,0.7245215199,1.273393487,2.762461905
intermediate,block,1,1,14,1.024127597,0.7394544112,0.3569314286,0.1146731685,0.3850747551,0.7394544112,1.29216013,2.805999833
intermediate,block,1,1,15,1.042442856,0.7523451338,0.3644857143,0.1243028276,0.3948063108,0.7523451338,1.315232474,2.857681012
intermediate,block,1,1,16,1.098893744,0.7979902265,0.3853942857,0.1363628083,0.4252344411,0.7979902265,1.379369737,2.988995832
intermediate,block,1,1,17,1.098170086,0.7938017041,0.38492,0.1365468454,0.4219453707,0.7938017041,1.377140274,2.99612569
intermediate,block,1,1,18,1.084883075,0.7890729615,0.3835257143,0.1283888806,0.4183381049,0.7890729615,1.366610135,2.955390446
intermediate,block,1,1,19,1.09076117,0.7913328105,0.3862628571,0.1398701152,0.4229692232,0.7913328105,1.368557275,2.963335827
intermediate,block,1,1,20,1.095053005,0.7856116716,0.3832171429,0.1220263874,0.4078034833,0.7856116716,1.37250097,3.022132572
intermediate,block,1,2,1,0.5568174681,0.3802937051,0.1437428571,0.03781083438,0.170418516,0.3802937051,0.7170644627,1.620845365
intermediate,block,1,2,2,0.55686667,0.3803269576,0.14384,0.04211092659,0.176869034,0.3803269576,0.710647871,1.616698134
intermediate,block,1,2,3,0.6314125042,0.4405064218,0.1785885714,0.04705620517,0.206575033,0.4405064218,0.8064098082,1.80730393
intermediate,block,1,2,4,0.6978357515,0.4993584543,0.21188,0.0626917098,0.2458276112,0.4993584543,0.8911830185,1.937308074
intermediate,block,1,2,5,0.7645884978,0.5516299367,0.2458285714,0.07394863444,0.276956715,0.5516299367,0.9763952626,2.124819796
intermediate,block,1,2,6,0.8469107107,0.6178196131,0.2868742857,0.09302152744,0.3167728916,0.6178196131,1.077702516,2.310960769
intermediate,block,1,2,7,0.9019651808,0.6528720631,0.3084514286,0.09582044169,0.3347750333,0.6528720631,1.142011937,2.473407662
intermediate,block,1,2,8,0.9432307322,0.6857790772,0.3279771429,0.09727550622,0.3495023777,0.6857790772,1.199160521,2.588708037
intermediate,block,1,2,9,0.9924664962,0.7161026447,0.3471085714,0.09909430611,0.3608056457,0.7161026447,1.259467441,2.742884299
intermediate,block,1,2,10,1.014110269,0.7292626372,0.3513657143,0.1012410163,0.3690338705,0.7292626372,1.285381628,2.801352287
intermediate,block,1,2,11,1.058208453,0.7633751035,0.3688057143,0.1083091892,0.3869007851,0.7633751035,1.341220727,2.930287566
intermediate,block,1,2,12,1.073548411,0.7677769537,0.3733485714,0.1227897608,0.3964540691,0.7677769537,1.356092668,2.988239797
intermediate,block,1,2,13,1.116079661,0.7988041365,0.38836,0.1237739226,0.4103049919,0.7988041365,1.406029739,3.084864967
intermediate,block,1,2,14,1.121575295,0.7991370884,0.3850228571,0.1236916163,0.4098591965,0.7991370884,1.410873264,3.102999574
intermediate,block,1,2,15,1.129752438,0.8068588394,0.3889371429,0.1238729054,0.4114645624,0.8068588394,1.424553484,3.140511818
intermediate,block,1,2,16,1.15209626,0.823516664,0.3955314286,0.115840284,0.4221942056,0.823516664,1.454096137,3.187872063
intermediate,block,1,2,17,1.151295824,0.8091494854,0.3897771429,0.1116670802,0.4088139899,0.8091494854,1.453211382,3.21532857
intermediate,block,1,2,18,1.124184612,0.7933736664,0.3815371429,0.1163186146,0.3988320327,0.7933736664,1.420520678,3.140047425
intermediate,block,1,2,19,1.088989267,0.7597728735,0.3685428571,0.1042106536,0.3743570835,0.7597728735,1.378886496,3.101111251
intermediate,block,1,2,20,1.124761745,0.7841671122,0.3796,0.1034021836,0.3841708857,0.7841671122,1.422765345,3.200687891
intermediate,block,1,3,1,0.5584655646,0.3824395265,0.1432742857,0.04035562761,0.1744881878,0.3824395265,0.7157970913,1.621645681
intermediate,block,1,3,2,0.5330666045,0.3640440808,0.13376,0.03758785453,0.16630495,0.3640440808,0.6845706235,1.547884745
intermediate,block,1,3,3,0.6454431946,0.4535432926,0.1866571429,0.05276495714,0.2183706414,0.4535432926,0.8244866696,1.81634918
intermediate,block,1,3,4,0.7097341821,0.5085135248,0.2165714286,0.06669761278,0.254992605,0.5085135248,0.9059373752,1.975347118
intermediate,block,1,3,5,0.7506630963,0.5424747104,0.2389485714,0.07856262694,0.2755982121,0.5424747104,0.9526088953,2.064295598
intermediate,block,1,3,6,0.8147288578,0.5860526677,0.2680057143,0.08742208783,0.3026697014,0.5860526677,1.027985588,2.235372929
intermediate,block,1,3,7,0.8741903462,0.6344242737,0.2943771429,0.09412785538,0.3259964943,0.6344242737,1.107247474,2.379175409
intermediate,block,1,3,8,0.9098421888,0.6590345322,0.3104685714,0.1019241186,0.3402162552,0.6590345322,1.149868295,2.480518293
intermediate,block,1,3,9,0.9647399797,0.6993614401,0.3345257143,0.1104575484,0.3622941093,0.6993614401,1.223605384,2.638679326
intermediate,block,1,3,10,0.9898431563,0.7106932479,0.3421657143,0.1058667502,0.3594033593,0.7106932479,1.252427928,2.725066781
intermediate,block,1,3,11,1.02694198,0.7298759291,0.35444,0.1134903896,0.3761017367,0.7298759291,1.293963505,2.852472537
intermediate,block,1,3,12,1.072480437,0.7707549936,0.3734742857,0.1262717473,0.4002327165,0.7707549936,1.355817703,2.952401029
intermediate,block,1,3,13,1.114899557,0.8057467696,0.3906742857,0.1353344543,0.4252016644,0.8057467696,1.401778177,3.035330331
intermediate,block,1,3,14,1.14856981,0.827340381,0.4020742857,0.1379012791,0.4366179814,0.827340381,1.444961226,3.139282021
intermediate,block,1,3,15,1.145128598,0.820745981,0.3997828571,0.1320357981,0.4307215038,0.820745981,1.441000241,3.149895847
intermediate,block,1,3,16,1.162836999,0.836108061,0.4053771429,0.1345497241,0.4349442574,0.836108061,1.457683395,3.220072393
intermediate,block,1,3,17,1.159660199,0.823031818,0.3999314286,0.1277122225,0.4254732534,0.823031818,1.461249325,3.217371424
intermediate,block,1,3,18,1.13479034,0.8066802611,0.3909257143,0.1278219718,0.4113252048,0.8066802611,1.429602203,3.163334628
intermediate,block,1,3,19,1.143940985,0.8058565478,0.39024,0.1208621017,0.4108575875,0.8058565478,1.436256478,3.201742085
intermediate,block,1,3,20,1.171118314,0.8240142379,0.40004,0.1224607693,0.4193875321,0.8240142379,1.471576195,3.283194766
intermediate,block,2,1,1,0.5689909404,0.3863966134,0.1481657143,0.0424902672,0.176183787,0.3863966134,0.7270149179,1.647377456
intermediate,block,2,1,2,1.233132348,0.9548912905,0.47164,0.2148304294,0.5660882628,0.9548912905,1.529102325,3.080117017
intermediate,block,2,1,3,1.244281985,0.9800532288,0.4856,0.2730725069,0.6212700512,0.9800532288,1.515800767,3.017348172
intermediate,block,2,1,4,1.377851044,1.093649995,0.5549371429,0.3578703824,0.7212466287,1.093649995,1.657520056,3.239690939
intermediate,block,2,1,5,1.423094948,1.129223065,0.5744457143,0.3799931573,0.7468353538,1.129223065,1.708593372,3.357259303
intermediate,block,2,1,6,1.376731109,1.083655909,0.5452971429,0.3463694609,0.7000032924,1.083655909,1.670527873,3.303579604
intermediate,block,2,1,7,1.261262243,0.9677965949,0.4780628571,0.2639443112,0.5976078214,0.9677965949,1.537058014,3.132428962
intermediate,block,2,1,8,1.150825329,0.8714780143,0.4228628571,0.2005518324,0.5094278577,0.8714780143,1.4221877,2.961638906
intermediate,block,2,1,9,1.012822843,0.7483241603,0.3593657143,0.1339085952,0.4031525166,0.7483241603,1.274602111,2.70709242
intermediate,block,2,1,10,0.9804249923,0.7169183416,0.3407371429,0.1133393077,0.3770153248,0.7169183416,1.240379335,2.667054866
intermediate,block,2,1,11,0.9527380051,0.6866555624,0.3281714286,0.0969620849,0.3517443471,0.6866555624,1.204483609,2.607828537
intermediate,block,2,1,12,0.9578936782,0.683419231,0.3259428571,0.09455367827,0.342185083,0.683419231,1.215221678,2.658713418
intermediate,block,2,1,13,0.9529879712,0.6768379899,0.3247257143,0.09168785766,0.3380839292,0.6768379899,1.207143442,2.664293217
intermediate,block,2,1,14,1.007343606,0.7264772435,0.3480914286,0.1181689397,0.3789377368,0.7264772435,1.269413689,2.76098929
intermediate,block,2,1,15,1.034393389,0.7483188236,0.3637771429,0.1151676338,0.3867417815,0.7483188236,1.313026742,2.820824407
intermediate,block,2,1,16,1.071885195,0.7758614595,0.3770285714,0.1362863101,0.4135181568,0.7758614595,1.341640187,2.9092626
intermediate,block,2,1,17,1.082454597,0.7860595049,0.3808514286,0.1377141353,0.4210497553,0.7860595049,1.365888042,2.927998994
intermediate,block,2,1,18,1.105014794,0.8086509534,0.3888514286,0.138431713,0.4349107297,0.8086509534,1.389867949,2.987827942
intermediate,block,2,1,19,1.111095055,0.8133328876,0.3922914286,0.1362516991,0.4309926478,0.8133328876,1.395147608,3.016102599
intermediate,block,2,1,20,1.114005428,0.804407853,0.39064,0.1346809233,0.4282585865,0.804407853,1.395282542,3.055168698
intermediate,block,2,2,1,0.5764947105,0.395087424,0.1508,0.04422886591,0.1833874988,0.395087424,0.7371436896,1.670736878
intermediate,block,2,2,2,0.5792765141,0.3961920711,0.1548914286,0.04349713995,0.1820047794,0.3961920711,0.7425631366,1.676384148
intermediate,block,2,2,3,0.6674426652,0.468325975,0.19748,0.05336172855,0.2207443911,0.468325975,0.8567052957,1.897502349
intermediate,block,2,2,4,0.7023199586,0.5016301942,0.2157714286,0.06097104993,0.2449340104,0.5016301942,0.8986789044,1.967242504
intermediate,block,2,2,5,0.7752694862,0.5616044432,0.2493085714,0.07577180218,0.2844233097,0.5616044432,0.9894666105,2.132310537
intermediate,block,2,2,6,0.8512779928,0.6153747734,0.2852,0.09327937349,0.3159231493,0.6153747734,1.077798879,2.321841399
intermediate,block,2,2,7,0.893103625,0.645947884,0.3047314286,0.09823794494,0.3333236723,0.645947884,1.129098511,2.453757765
intermediate,block,2,2,8,0.9412116126,0.6830375629,0.32656,0.1005756327,0.3492836249,0.6830375629,1.198909487,2.575780206
intermediate,block,2,2,9,0.9709473629,0.7025121277,0.3392571429,0.09751554269,0.3569233843,0.7025121277,1.234977614,2.662898079
intermediate,block,2,2,10,1.001613204,0.7160715716,0.3478342857,0.1025017317,0.3619379315,0.7160715716,1.269071385,2.773655233
intermediate,block,2,2,11,1.032800645,0.7370701598,0.3601085714,0.10637968,0.3712429668,0.7370701598,1.307167508,2.857969437
intermediate,block,2,2,12,1.03214794,0.7300696317,0.3573542857,0.09944114122,0.3647218038,0.7300696317,1.309354257,2.902846621
intermediate,block,2,2,13,1.053601912,0.7478039283,0.3667542857,0.09778575757,0.3687590824,0.7478039283,1.340158056,2.956399377
intermediate,block,2,2,14,1.076061903,0.7607243436,0.3735314286,0.1075596266,0.3796473047,0.7607243436,1.364296866,3.019723223
intermediate,block,2,2,15,1.096075073,0.7776422408,0.3818057143,0.1061450875,0.3881886089,0.7776422408,1.390500714,3.04436464
intermediate,block,2,2,16,1.10038066,0.7766873723,0.3794,0.1125693873,0.3963691465,0.7766873723,1.389726944,3.083160387
intermediate,block,2,2,17,1.09057782,0.7649478231,0.3741714286,0.1054612744,0.3767955834,0.7649478231,1.377615495,3.067121634
intermediate,block,2,2,18,1.06354781,0.7514837369,0.36716,0.1094269506,0.377578316,0.7514837369,1.347409207,2.981145628
intermediate,block,2,2,19,1.083433398,0.7564160098,0.3717428571,0.1046178888,0.3766934447,0.7564160098,1.36878437,3.059338059
intermediate,block,2,2,20,1.1228391,0.7884433504,0.38268,0.1178712145,0.3988654107,0.7884433504,1.407599693,3.15814912
intermediate,block,2,3,1,0.5569383773,0.3797052611,0.1442857143,0.04105002055,0.174659396,0.3797052611,0.7121748685,1.620144459
intermediate,block,2,3,2,0.5286304731,0.3609629795,0.1314228571,0.03994668102,0.1665498908,0.3609629795,0.6774425267,1.539757321
intermediate,block,2,3,3,0.6222565354,0.434407963,0.1753485714,0.0478232327,0.2060615877,0.434407963,0.7994521558,1.778533707
intermediate,block,2,3,4,0.6803652957,0.4823223671,0.2034742857,0.05893967951,0.2359740403,0.4823223671,0.8684378013,1.898636399
intermediate,block,2,3,5,0.7441081269,0.5353072533,0.2356628571,0.07064929216,0.2672235988,0.5353072533,0.9498904964,2.061423205
intermediate,block,2,3,6,0.7876346931,0.570022098,0.2572628571,0.07195381934,0.2875716923,0.570022098,1.004845323,2.175773135
intermediate,block,2,3,7,0.8604651421,0.6195041091,0.2892171429,0.08464348695,0.3132190655,0.6195041091,1.094588871,2.371477643
intermediate,block,2,3,8,0.8912229613,0.6448351989,0.3054571429,0.09329512334,0.3273814895,0.6448351989,1.134155207,2.443799172
