dgp,mode,R,T,p,H,estimator,variable,irmse_legacy_h1,irmse_h2,irmse_early,irmse_late,ibias_h2,ivar_h2
sparse,fmar,500,200,2,20,LP,1,0.10247169,0.1040081599,0.0978828664,0.1061957647,0.02551086528,0.01013169657
sparse,fmar,500,200,2,20,LP,2,0.09757868344,0.09874237251,0.09233081569,0.1010322142,0.01047387871,0.009632942736
sparse,fmar,500,200,2,20,LP,3,0.0893898298,0.08956949805,0.08158303002,0.09242180806,0.01085715809,0.007911862843
sparse,fmar,500,200,2,20,BVAR,1,0.04517217659,0.04378148102,0.08494883473,0.0290788547,0.02323318894,0.001739612282
sparse,fmar,500,200,2,20,BVAR,2,0.04345886329,0.04210306094,0.0682694882,0.03275790834,0.02197169018,0.001567413755
sparse,fmar,500,200,2,20,BVAR,3,0.07663621157,0.0759390463,0.1307223706,0.05637357333,0.06905351263,0.001263117807
sparse,fmar,500,200,2,20,BLP-FMAR,1,0.07146420743,0.07148401874,0.08792035483,0.06561389871,0.0230915893,0.004478005321
sparse,fmar,500,200,2,20,BLP-FMAR,2,0.06590270406,0.06558035243,0.07987322684,0.06047575443,0.01027932154,0.004187461235
sparse,fmar,500,200,2,20,BLP-FMAR,3,0.06694002319,0.06580769689,0.07964724087,0.06086500262,0.02698773839,0.003375842754
sparse,fmar,500,200,2,20,BLP-block,1,0.07197623954,0.07202882549,0.08620506836,0.06696588161,0.02393519374,0.004415836924
sparse,fmar,500,200,2,20,BLP-block,2,0.06705381403,0.06687720916,0.07548757487,0.06380207854,0.009825503325,0.004302562013
sparse,fmar,500,200,2,20,BLP-block,3,0.06924499014,0.0681995113,0.07938726159,0.06420388619,0.02435213342,0.00394564065
sparse,fmar,500,200,2,20,BLP-pooled,1,0.07027526765,0.07024199085,0.08616521019,0.0645551268,0.02422200314,0.004107054112
sparse,fmar,500,200,2,20,BLP-pooled,2,0.0659279176,0.06571942607,0.07388856624,0.06280187601,0.01000246492,0.004115598322
sparse,fmar,500,200,2,20,BLP-pooled,3,0.0698872819,0.06895198516,0.0812975601,0.06454285126,0.02433077913,0.003997057146
