dgp,mode,R,T,p,H,estimator,variable,horizon,bias,variance,mse,rmse,coverage,avg_len,coverage_post,avg_len_post
sparse,fmar,500,200,2,20,LP,1,1,-0.01475502088,0.005152066163,0.005369776804,0.07327876094,0.876,0.2265605246,NaN,NaN
sparse,fmar,500,200,2,20,LP,1,2,-0.02765618206,0.006609577614,0.00737444202,0.08587457144,0.85,0.2558312168,NaN,NaN
sparse,fmar,500,200,2,20,LP,1,3,-0.03462196551,0.006974292483,0.008172972978,0.09040449645,0.878,0.2764032071,NaN,NaN
sparse,fmar,500,200,2,20,LP,1,4,-0.03747928904,0.00904852371,0.01045322082,0.1022409938,0.826,0.2885004396,NaN,NaN
sparse,fmar,500,200,2,20,LP,1,5,-0.03703137414,0.009415493871,0.01078681654,0.1038596001,0.82,0.2959557743,NaN,NaN
sparse,fmar,500,200,2,20,LP,1,6,-0.0372513136,0.01006876024,0.01145642061,0.1070346701,0.846,0.3031972906,NaN,NaN
sparse,fmar,500,200,2,20,LP,1,7,-0.03307909648,0.01024638982,0.01134061645,0.1064923305,0.846,0.3028922989,NaN,NaN
sparse,fmar,500,200,2,20,LP,1,8,-0.03234221039,0.009317588193,0.01036360677,0.1018018014,0.862,0.3036080054,NaN,NaN
sparse,fmar,500,200,2,20,LP,1,9,-0.03024637334,0.01074761591,0.01166245901,0.1079928656,0.816,0.3001911843,NaN,NaN
sparse,fmar,500,200,2,20,LP,1,10,-0.02640882823,0.0110671935,0.0117646197,0.1084648316,0.816,0.3041983734,NaN,NaN
sparse,fmar,500,200,2,20,LP,1,11,-0.02379341153,0.0110272334,0.01159335984,0.1076724655,0.83,0.3017871049,NaN,NaN
sparse,fmar,500,200,2,20,LP,1,12,-0.02930888749,0.01050940888,0.01136841976,0.1066227919,0.816,0.3019010877,NaN,NaN
sparse,fmar,500,200,2,20,LP,1,13,-0.01931197363,0.01073171679,0.01110466912,0.1053786938,0.834,0.3029125284,NaN,NaN
sparse,fmar,500,200,2,20,LP,1,14,-0.0202086722,0.0106350073,0.01104339774,0.1050875717,0.838,0.3056373978,NaN,NaN
sparse,fmar,500,200,2,20,LP,1,15,-0.01368425352,0.01062000747,0.01080726626,0.1039580024,0.84,0.3057662882,NaN,NaN
sparse,fmar,500,200,2,20,LP,1,16,-0.015853884,0.01066363288,0.01091497852,0.1044747746,0.84,0.3029226151,NaN,NaN
sparse,fmar,500,200,2,20,LP,1,17,-0.01102204975,0.01172023887,0.01184172445,0.1088196878,0.828,0.3003335884,NaN,NaN
sparse,fmar,500,200,2,20,LP,1,18,-0.01791622318,0.01102561735,0.0113466084,0.10652046,0.834,0.304434191,NaN,NaN
sparse,fmar,500,200,2,20,LP,1,19,-0.01669692362,0.01140400896,0.01168279621,0.1080869845,0.8,0.2999531574,NaN,NaN
sparse,fmar,500,200,2,20,LP,1,20,-0.02079352868,0.01066992759,0.01110229843,0.1053674448,0.812,0.2977838014,NaN,NaN
sparse,fmar,500,200,2,20,LP,2,1,-0.00253554884,0.005689079228,0.005695508236,0.07546859106,0.84,0.2154804222,NaN,NaN
sparse,fmar,500,200,2,20,LP,2,2,-0.008618940184,0.006505290778,0.006579576908,0.08111459121,0.868,0.2438144605,NaN,NaN
sparse,fmar,500,200,2,20,LP,2,3,-0.0159813173,0.007628141957,0.007883544459,0.08878932627,0.86,0.2612187601,NaN,NaN
sparse,fmar,500,200,2,20,LP,2,4,-0.02179390186,0.007879842706,0.008354816864,0.09140468732,0.85,0.2739007131,NaN,NaN
sparse,fmar,500,200,2,20,LP,2,5,-0.02143504442,0.009524161371,0.009983622501,0.09991807895,0.842,0.2801154557,NaN,NaN
sparse,fmar,500,200,2,20,LP,2,6,-0.01959489153,0.009701701834,0.01008566161,0.1004273947,0.822,0.284244943,NaN,NaN
sparse,fmar,500,200,2,20,LP,2,7,-0.01783834455,0.008715926758,0.009034133294,0.09504805781,0.846,0.2840554166,NaN,NaN
sparse,fmar,500,200,2,20,LP,2,8,-0.01703899276,0.008197843754,0.008488171028,0.09213127063,0.864,0.2860590121,NaN,NaN
sparse,fmar,500,200,2,20,LP,2,9,-0.01582483715,0.009032163297,0.009282588768,0.09634619229,0.862,0.286982168,NaN,NaN
sparse,fmar,500,200,2,20,LP,2,10,-0.01243266554,0.01001872105,0.01017329222,0.1008627395,0.858,0.2862484855,NaN,NaN
