dgp,scale_estimator,misspec_block,is_false_positive_setting,metric,index,value
sparse,block,1,0,argmax_freq,block1,0.636
sparse,block,1,0,argmax_freq,block2,0.222
sparse,block,1,0,argmax_freq,block3,0.142
sparse,block,1,0,argmax_freq_by_eq,eq1_block1,0.402
sparse,block,1,0,argmax_freq_by_eq_early,eq1_block1,0.314
sparse,block,1,0,argmax_freq_by_eq,eq1_block2,0.33
sparse,block,1,0,argmax_freq_by_eq_early,eq1_block2,0.372
sparse,block,1,0,argmax_freq_by_eq,eq1_block3,0.268
sparse,block,1,0,argmax_freq_by_eq_early,eq1_block3,0.314
sparse,block,1,0,argmax_freq_by_eq,eq2_block1,0.438
sparse,block,1,0,argmax_freq_by_eq_early,eq2_block1,0.354
sparse,block,1,0,argmax_freq_by_eq,eq2_block2,0.318
sparse,block,1,0,argmax_freq_by_eq_early,eq2_block2,0.33
sparse,block,1,0,argmax_freq_by_eq,eq2_block3,0.244
sparse,block,1,0,argmax_freq_by_eq_early,eq2_block3,0.316
sparse,block,1,0,argmax_freq_by_eq,eq3_block1,0.804
sparse,block,1,0,argmax_freq_by_eq_early,eq3_block1,0.972
sparse,block,1,0,argmax_freq_by_eq,eq3_block2,0.134
sparse,block,1,0,argmax_freq_by_eq_early,eq3_block2,0.024
sparse,block,1,0,argmax_freq_by_eq,eq3_block3,0.062
sparse,block,1,0,argmax_freq_by_eq_early,eq3_block3,0.004
sparse,block,1,0,detect_prob,aggregate,0.636
sparse,block,1,0,detect_prob_by_eq,eq1,0.402
sparse,block,1,0,detect_prob_by_eq_early,eq1,0.314
sparse,block,1,0,mean_rank_true_by_eq,eq1,1.858
sparse,block,1,0,detect_prob_by_eq,eq2,0.438
sparse,block,1,0,detect_prob_by_eq_early,eq2,0.354
sparse,block,1,0,mean_rank_true_by_eq,eq2,1.792
sparse,block,1,0,detect_prob_by_eq,eq3,0.804
sparse,block,1,0,detect_prob_by_eq_early,eq3,0.972
sparse,block,1,0,mean_rank_true_by_eq,eq3,1.234
sparse,block,1,0,max_argmax_freq,all_horizons,0.804
sparse,block,1,0,max_argmax_freq_early,early,0.972
sparse,block,1,0,argmax_cell,equation_all,3
sparse,block,1,0,argmax_cell,block_all,1
sparse,block,1,0,argmax_cell_early,equation_early,3
sparse,block,1,0,argmax_cell_early,block_early,1
sparse,block,1,0,argmax_chance,per_cell,0.3333333333
sparse,block,1,0,mean_rank_true,aggregate,1.446
sparse,block,1,0,rank_chance,aggregate,2
sparse,block,1,0,flag_ratio,thr1.25,0.244
sparse,block,1,0,joint_detect_ratio,thr1.25,0.21
sparse,block,1,0,flag_ratio,thr1.50,0.036
sparse,block,1,0,joint_detect_ratio,thr1.50,0.036
sparse,block,1,0,flag_ratio,thr2.00,0
sparse,block,1,0,joint_detect_ratio,thr2.00,0
sparse,block,1,0,flag_prob,q0.50,0.738
sparse,block,1,0,joint_detect_prob,q0.50,0.728
sparse,block,1,0,flag_prob,q0.75,0.054
sparse,block,1,0,joint_detect_prob,q0.75,0.054
sparse,block,1,0,flag_prob,q0.90,0
sparse,block,1,0,joint_detect_prob,q0.90,0
sparse,block,1,0,ess_beta_mean,chain,205.1377059
sparse,block,1,0,ess_logtau_mean,chain,77.92863926
sparse,block,1,0,lag1_beta_mean,chain,0.1148116604
sparse,block,1,0,acc_rate_mean,chain,NaN
sparse,block,1,0,n_tau_clip_mean,chain,0.492
sparse,pooled,1,0,argmax_freq,block1,0.584
sparse,pooled,1,0,argmax_freq,block2,0.216
sparse,pooled,1,0,argmax_freq,block3,0.2
sparse,pooled,1,0,argmax_freq_by_eq,eq1_block1,0.376
sparse,pooled,1,0,argmax_freq_by_eq_early,eq1_block1,0.318
sparse,pooled,1,0,argmax_freq_by_eq,eq1_block2,0.304
sparse,pooled,1,0,argmax_freq_by_eq_early,eq1_block2,0.332
sparse,pooled,1,0,argmax_freq_by_eq,eq1_block3,0.32
sparse,pooled,1,0,argmax_freq_by_eq_early,eq1_block3,0.35
sparse,pooled,1,0,argmax_freq_by_eq,eq2_block1,0.402
sparse,pooled,1,0,argmax_freq_by_eq_early,eq2_block1,0.372
sparse,pooled,1,0,argmax_freq_by_eq,eq2_block2,0.302
sparse,pooled,1,0,argmax_freq_by_eq_early,eq2_block2,0.304
sparse,pooled,1,0,argmax_freq_by_eq,eq2_block3,0.296
sparse,pooled,1,0,argmax_freq_by_eq_early,eq2_block3,0.324
sparse,pooled,1,0,argmax_freq_by_eq,eq3_block1,0.784
sparse,pooled,1,0,argmax_freq_by_eq_early,eq3_block1,0.934
sparse,pooled,1,0,argmax_freq_by_eq,eq3_block2,0.138
sparse,pooled,1,0,argmax_freq_by_eq_early,eq3_block2,0.05
sparse,pooled,1,0,argmax_freq_by_eq,eq3_block3,0.078
sparse,pooled,1,0,argmax_freq_by_eq_early,eq3_block3,0.016
sparse,pooled,1,0,detect_prob,aggregate,0.584
sparse,pooled,1,0,detect_prob_by_eq,eq1,0.376
sparse,pooled,1,0,detect_prob_by_eq_early,eq1,0.318
