scale_estimator,equation,block,null_mean,q90,q95,q99,argmax_freq,pgt1_mean,pgt1_q95,eq_maxstat_q95,eq_pflag_q95,eq_coverage_under_null
block,ois1m,ois1m,1.2762,1.9936,2.2689,3.5618,0.4700,0.4178,0.8022,2.3888,0.8022,0.6450
block,ois1m,ip,0.9239,1.2727,1.4971,1.9058,0.1200,0.3050,0.5483,2.3888,0.8022,0.6450
block,ois1m,hicp_sa,1.0248,1.6965,1.8299,2.2030,0.2350,0.3335,0.6593,2.3888,0.8022,0.6450
block,ois1m,stoxx,0.9839,1.3799,1.6134,1.8952,0.1750,0.3304,0.5621,2.3888,0.8022,0.6450
block,ip,ois1m,1.1217,1.6609,1.8423,2.8191,0.3000,0.3502,0.6545,2.2385,0.7961,0.8541
block,ip,ip,0.8950,1.3238,1.4114,1.5678,0.1100,0.2902,0.5019,2.2385,0.7961,0.8541
block,ip,hicp_sa,1.1891,1.8706,2.0576,2.4637,0.4300,0.4035,0.7741,2.2385,0.7961,0.8541
block,ip,stoxx,0.9658,1.4432,1.6449,1.8962,0.1600,0.3203,0.6133,2.2385,0.7961,0.8541
block,hicp_sa,ois1m,1.0595,1.6479,1.8126,2.2043,0.0900,0.3511,0.6510,3.0675,0.9299,0.8700
block,hicp_sa,ip,0.9428,1.3620,1.7265,2.0741,0.0750,0.3107,0.5971,3.0675,0.9299,0.8700
block,hicp_sa,hicp_sa,1.7572,2.6302,3.0043,3.4056,0.7200,0.6227,0.9299,3.0675,0.9299,0.8700
block,hicp_sa,stoxx,1.0609,1.5599,1.7577,2.8102,0.1150,0.3551,0.6718,3.0675,0.9299,0.8700
block,stoxx,ois1m,1.1131,1.7619,2.1556,2.5792,0.2850,0.3534,0.6917,2.2527,0.7837,0.8950
block,stoxx,ip,0.9320,1.3605,1.6246,1.8978,0.1200,0.3121,0.6148,2.2527,0.7837,0.8950
block,stoxx,hicp_sa,1.0539,1.6835,1.8848,2.0441,0.2600,0.3548,0.7212,2.2527,0.7837,0.8950
block,stoxx,stoxx,1.1201,1.7808,1.9038,2.2910,0.3350,0.3906,0.7295,2.2527,0.7837,0.8950
pooled,ois1m,ois1m,0.8124,1.8087,2.1262,3.9159,0.4050,0.2979,0.9744,2.1939,0.9744,0.6427
pooled,ois1m,ip,0.4466,1.0623,1.2428,1.8009,0.1350,0.1215,0.5959,2.1939,0.9744,0.6427
pooled,ois1m,hicp_sa,0.5393,1.2632,1.4727,1.9812,0.2300,0.1717,0.7956,2.1939,0.9744,0.6427
pooled,ois1m,stoxx,0.5258,1.1309,1.3122,1.7004,0.2300,0.1637,0.6612,2.1939,0.9744,0.6427
pooled,ip,ois1m,0.5793,1.2838,1.5878,3.2335,0.2400,0.1737,0.7926,1.9212,0.9651,0.8509
pooled,ip,ip,0.4066,1.0231,1.1331,1.4179,0.1250,0.1030,0.5723,1.9212,0.9651,0.8509
pooled,ip,hicp_sa,0.7153,1.5349,1.7016,2.1176,0.4550,0.2692,0.9158,1.9212,0.9651,0.8509
pooled,ip,stoxx,0.4796,1.1425,1.4301,1.6561,0.1800,0.1430,0.7524,1.9212,0.9651,0.8509
pooled,hicp_sa,ois1m,0.5472,1.2564,1.5446,1.8760,0.0650,0.1817,0.8016,2.9808,0.9966,0.8741
pooled,hicp_sa,ip,0.4803,1.1843,1.4839,1.9826,0.0850,0.1481,0.7741,2.9808,0.9966,0.8741
pooled,hicp_sa,hicp_sa,1.4377,2.4011,2.8913,3.7193,0.7200,0.6223,0.9966,2.9808,0.9966,0.8741
pooled,hicp_sa,stoxx,0.6238,1.3422,1.6153,2.6006,0.1300,0.2111,0.8707,2.9808,0.9966,0.8741
pooled,stoxx,ois1m,0.5801,1.4542,1.9243,2.7374,0.2650,0.1904,0.8811,1.9934,0.9499,0.8977
pooled,stoxx,ip,0.4515,1.1600,1.4384,1.7527,0.1300,0.1388,0.7790,1.9934,0.9499,0.8977
pooled,stoxx,hicp_sa,0.5766,1.3309,1.5914,1.7560,0.2500,0.1934,0.8543,1.9934,0.9499,0.8977
pooled,stoxx,stoxx,0.6775,1.5411,1.7457,2.1345,0.3550,0.2685,0.9308,1.9934,0.9499,0.8977
