scale_estimator,equation,block,null_mean,q90,q95,q99,argmax_freq,pgt1_mean,pgt1_q95,eq_maxstat_q95,eq_pflag_q95,eq_coverage_under_null
block,i1y,i1y,0.9371,1.5522,1.7465,2.5087,0.3950,0.3349,0.6918,2.0046,0.8336,0.4836
block,i1y,ip,0.7728,1.2473,1.4433,2.0121,0.1900,0.2729,0.6718,2.0046,0.8336,0.4836
block,i1y,hicp,0.6815,1.0926,1.1704,1.5650,0.1800,0.2247,0.6167,2.0046,0.8336,0.4836
block,i1y,stoxx,0.7908,1.2760,1.4607,2.0315,0.2350,0.2954,0.7377,2.0046,0.8336,0.4836
block,ip,i1y,0.9685,1.6524,1.9668,2.7934,0.3250,0.3462,0.7493,2.1053,0.8689,0.8241
block,ip,ip,0.8450,1.4287,1.7030,2.1769,0.2100,0.3078,0.7455,2.1053,0.8689,0.8241
block,ip,hicp,0.7769,1.2252,1.3164,1.6007,0.2300,0.2899,0.7163,2.1053,0.8689,0.8241
block,ip,stoxx,0.7579,1.1991,1.3427,1.6128,0.2350,0.2784,0.6746,2.1053,0.8689,0.8241
block,hicp,i1y,1.1070,1.6709,1.8494,2.2609,0.2200,0.4371,0.7689,2.1590,0.9505,0.8495
block,hicp,ip,0.8224,1.2360,1.3951,1.6997,0.0550,0.3113,0.6732,2.1590,0.9505,0.8495
block,hicp,hicp,1.3828,1.8902,2.0560,2.2460,0.6550,0.6483,0.9505,2.1590,0.9505,0.8495
block,hicp,stoxx,0.8193,1.2480,1.4275,1.6931,0.0700,0.3093,0.6795,2.1590,0.9505,0.8495
block,stoxx,i1y,0.9115,1.5192,1.8167,2.0576,0.2450,0.3328,0.7217,1.9011,0.8483,0.9232
block,stoxx,ip,0.9020,1.4134,1.6412,1.9428,0.2700,0.3536,0.7342,1.9011,0.8483,0.9232
block,stoxx,hicp,0.6846,1.0520,1.1925,1.4650,0.1450,0.2229,0.6292,1.9011,0.8483,0.9232
block,stoxx,stoxx,0.9189,1.4309,1.6351,1.9085,0.3400,0.3756,0.7782,1.9011,0.8483,0.9232
pooled,i1y,i1y,0.6752,1.7178,2.0455,2.8129,0.2850,0.2483,0.9384,2.2146,0.9840,0.4882
pooled,i1y,ip,0.5434,1.2793,1.6177,2.2255,0.1400,0.1771,0.8667,2.2146,0.9840,0.4882
pooled,i1y,hicp,0.5450,1.0503,1.2205,1.6757,0.3300,0.1530,0.7858,2.2146,0.9840,0.4882
pooled,i1y,stoxx,0.5996,1.3100,1.5854,2.0986,0.2450,0.2086,0.9327,2.2146,0.9840,0.4882
pooled,ip,i1y,0.7354,1.8304,2.1396,2.9942,0.2600,0.2613,0.9547,2.3973,0.9859,0.8250
pooled,ip,ip,0.6420,1.5182,1.8943,2.3882,0.1700,0.2361,0.9156,2.3973,0.9859,0.8250
pooled,ip,hicp,0.6595,1.2268,1.3641,1.5584,0.3500,0.2325,0.9222,2.3973,0.9859,0.8250
pooled,ip,stoxx,0.5612,1.2358,1.4481,1.6461,0.2200,0.1926,0.8206,2.3973,0.9859,0.8250
pooled,hicp,i1y,0.9565,1.7003,1.9422,2.3470,0.1850,0.3945,0.9250,2.2984,0.9984,0.8491
pooled,hicp,ip,0.6505,1.2821,1.5321,1.9031,0.0600,0.2418,0.8993,2.2984,0.9984,0.8491
pooled,hicp,hicp,1.3968,1.9634,2.1557,2.4610,0.6900,0.7324,0.9984,2.2984,0.9984,0.8491
pooled,hicp,stoxx,0.6651,1.2879,1.4671,1.9412,0.0650,0.2424,0.8806,2.2984,0.9984,0.8491
pooled,stoxx,i1y,0.6877,1.6048,1.9871,2.2577,0.1900,0.2553,0.9048,2.0950,0.9886,0.9255
pooled,stoxx,ip,0.7644,1.5344,1.7645,2.3139,0.2800,0.3103,0.9424,2.0950,0.9886,0.9255
pooled,stoxx,hicp,0.5492,1.0611,1.2106,1.5465,0.1850,0.1489,0.7749,2.0950,0.9886,0.9255
pooled,stoxx,stoxx,0.8008,1.5138,1.6957,2.0175,0.3450,0.3311,0.9671,2.0950,0.9886,0.9255
