scale_estimator,equation,block,null_mean,q90,q95,q99,argmax_freq,pgt1_mean,pgt1_q95,eq_maxstat_q95,eq_pflag_q95,eq_coverage_under_null
block,mps,mps,1.0000,1.0000,1.0000,1.0000,0.7400,0.0000,0.0000,1.2006,0.3521,0.9214
block,mps,i1y,0.7769,0.9118,0.9384,1.0308,0.0100,0.2262,0.2827,1.2006,0.3521,0.9214
block,mps,ip,0.8808,1.0389,1.0990,1.4632,0.1500,0.2654,0.3407,1.2006,0.3521,0.9214
block,mps,hicp,0.8154,0.9545,0.9960,1.1874,0.0350,0.2413,0.2936,1.2006,0.3521,0.9214
block,mps,stoxx,0.8370,0.9767,1.0360,1.1471,0.0650,0.2534,0.3172,1.2006,0.3521,0.9214
block,i1y,mps,1.0000,1.0000,1.0000,1.0000,0.0150,0.0000,0.0000,6.2740,0.9446,0.7550
block,i1y,i1y,2.5944,4.8404,6.2740,10.5051,0.6350,0.5444,0.9405,6.2740,0.9446,0.7550
block,i1y,ip,1.1796,1.7735,1.9926,2.6834,0.0650,0.3830,0.6490,6.2740,0.9446,0.7550
block,i1y,hicp,1.3186,2.1405,2.4494,2.9273,0.1550,0.4443,0.8010,6.2740,0.9446,0.7550
block,i1y,stoxx,1.2967,2.1109,2.4938,3.3006,0.1300,0.4065,0.7471,6.2740,0.9446,0.7550
block,ip,mps,1.0000,1.0000,1.0000,1.0000,0.0550,0.0000,0.0000,4.6417,0.8958,0.8177
block,ip,i1y,1.6219,2.5170,3.7440,6.4817,0.3850,0.4157,0.7726,4.6417,0.8958,0.8177
block,ip,ip,1.1659,1.6883,2.1214,3.0325,0.0800,0.3692,0.6554,4.6417,0.8958,0.8177
block,ip,hicp,1.4324,2.4132,2.7051,3.4369,0.3350,0.4795,0.8919,4.6417,0.8958,0.8177
block,ip,stoxx,1.1786,1.8431,2.1601,3.0965,0.1450,0.3739,0.7060,4.6417,0.8958,0.8177
block,hicp,mps,1.0000,1.0000,1.0000,1.0000,0.0050,0.0000,0.0000,4.4798,0.9899,0.8873
block,hicp,i1y,1.5433,2.5435,3.2914,5.1099,0.1100,0.4570,0.8306,4.4798,0.9899,0.8873
block,hicp,ip,1.2666,2.0670,2.2567,2.6931,0.0600,0.4146,0.7849,4.4798,0.9899,0.8873
block,hicp,hicp,2.5586,3.7590,4.2365,4.8486,0.7550,0.7748,0.9899,4.4798,0.9899,0.8873
block,hicp,stoxx,1.2299,1.8581,2.1409,3.2285,0.0700,0.3969,0.7032,4.4798,0.9899,0.8873
