dgp,mode,R,T,p,H,estimator,variable,horizon,bias,variance,mse,rmse,coverage,avg_len,coverage_post,avg_len_post
sparse,fmar,40,400,2,12,LP,1,1,-0.0006525702599,0.002481530589,0.002481956437,0.04981923762,0.925,0.1617567665,NaN,NaN
sparse,fmar,40,400,2,12,LP,1,2,-0.002436192544,0.00314668286,0.003152617894,0.05614817801,0.875,0.180556079,NaN,NaN
sparse,fmar,40,400,2,12,LP,1,3,-0.01179342826,0.003765931986,0.003905016936,0.06249013471,0.875,0.197894294,NaN,NaN
sparse,fmar,40,400,2,12,LP,1,4,-0.02399828412,0.00578545691,0.006361374551,0.0797582256,0.8,0.2123883528,NaN,NaN
sparse,fmar,40,400,2,12,LP,1,5,-0.02095294839,0.006056236934,0.006495262981,0.08059319438,0.775,0.2202941103,NaN,NaN
sparse,fmar,40,400,2,12,LP,1,6,-0.02400948704,0.005699862597,0.006276318065,0.0792232167,0.8,0.2217273583,NaN,NaN
sparse,fmar,40,400,2,12,LP,1,7,-0.02627530091,0.004393475921,0.00508386736,0.07130124375,0.875,0.2267468088,NaN,NaN
sparse,fmar,40,400,2,12,LP,1,8,-0.01696654977,0.004446513591,0.004734377403,0.06880681218,0.875,0.229487886,NaN,NaN
sparse,fmar,40,400,2,12,LP,1,9,-0.02125703858,0.005438183337,0.005890045026,0.07674662876,0.85,0.2290034172,NaN,NaN
sparse,fmar,40,400,2,12,LP,1,10,-0.01655144249,0.005084388044,0.005358338292,0.07320067139,0.9,0.2312993913,NaN,NaN
sparse,fmar,40,400,2,12,LP,1,11,-0.01386158407,0.00436477225,0.004556915763,0.06750493139,0.85,0.2317574862,NaN,NaN
sparse,fmar,40,400,2,12,LP,1,12,-0.01597334426,0.003834185447,0.004089333174,0.06394789421,0.9,0.2308109603,NaN,NaN
sparse,fmar,40,400,2,12,LP,2,1,-0.004234703348,0.002304417824,0.002322350536,0.04819077232,0.9,0.15238824,NaN,NaN
sparse,fmar,40,400,2,12,LP,2,2,0.003157681767,0.002783676282,0.002793647236,0.05285496416,0.875,0.1742402904,NaN,NaN
sparse,fmar,40,400,2,12,LP,2,3,-0.005700902359,0.003124457502,0.00315695779,0.05618681153,0.875,0.1859177754,NaN,NaN
sparse,fmar,40,400,2,12,LP,2,4,-0.01389736432,0.004336089986,0.004529226721,0.06729952987,0.875,0.1966283232,NaN,NaN
sparse,fmar,40,400,2,12,LP,2,5,-0.01645675775,0.003822559861,0.004093384737,0.063979565,0.85,0.2007466235,NaN,NaN
sparse,fmar,40,400,2,12,LP,2,6,-0.01476210557,0.003496146933,0.003714066694,0.06094314312,0.875,0.2057931141,NaN,NaN
sparse,fmar,40,400,2,12,LP,2,7,-0.01381146783,0.002847942062,0.003038698705,0.05512439302,0.95,0.2043373072,NaN,NaN
sparse,fmar,40,400,2,12,LP,2,8,-0.008242712973,0.002947676485,0.003015618802,0.05491465016,0.925,0.207182271,NaN,NaN
sparse,fmar,40,400,2,12,LP,2,9,-0.005126487983,0.003345889795,0.003372170674,0.05807039413,0.925,0.2149471952,NaN,NaN
sparse,fmar,40,400,2,12,LP,2,10,-0.005705635981,0.003559930332,0.003592484614,0.05993733907,0.95,0.2179798135,NaN,NaN
sparse,fmar,40,400,2,12,LP,2,11,-0.003489129545,0.004016613985,0.00402878801,0.06347273438,0.9,0.2084311112,NaN,NaN
sparse,fmar,40,400,2,12,LP,2,12,-0.01363585499,0.004757645645,0.004943582187,0.07031061219,0.925,0.2167015264,NaN,NaN
sparse,fmar,40,400,2,12,LP,3,1,-0.04414183574,0.002609742177,0.00455824384,0.06751476757,0.75,0.1510360429,NaN,NaN
sparse,fmar,40,400,2,12,LP,3,2,-0.01207318441,0.003015621576,0.003161383358,0.05622618036,0.85,0.1516913502,NaN,NaN
sparse,fmar,40,400,2,12,LP,3,3,-0.02069753235,0.002600179747,0.003028567592,0.0550324231,0.875,0.1657383272,NaN,NaN
sparse,fmar,40,400,2,12,LP,3,4,-0.02275447369,0.003046293433,0.003564059506,0.05969974461,0.875,0.1740187055,NaN,NaN
sparse,fmar,40,400,2,12,LP,3,5,-0.01276384939,0.002411547501,0.002574463352,0.0507391698,0.9,0.1769495083,NaN,NaN
sparse,fmar,40,400,2,12,LP,3,6,-0.01591891565,0.002623690951,0.002877102827,0.05363863185,0.9,0.1780582612,NaN,NaN
sparse,fmar,40,400,2,12,LP,3,7,-0.005426247891,0.003186899381,0.003216343547,0.05671281642,0.925,0.1881070645,NaN,NaN
sparse,fmar,40,400,2,12,LP,3,8,-0.008918419106,0.004678912612,0.004758450811,0.06898152515,0.85,0.1902037331,NaN,NaN
sparse,fmar,40,400,2,12,LP,3,9,-0.00788010047,0.005801381016,0.005863476999,0.07657334392,0.7,0.1878967934,NaN,NaN
sparse,fmar,40,400,2,12,LP,3,10,-0.0005536801641,0.004155717813,0.004156024375,0.06446723489,0.9,0.1960851634,NaN,NaN
sparse,fmar,40,400,2,12,LP,3,11,0.006433711928,0.004329486404,0.004370879053,0.06611262401,0.825,0.193080828,NaN,NaN
sparse,fmar,40,400,2,12,LP,3,12,0.0009177383052,0.003260725859,0.003261568103,0.0571101401,0.925,0.1970725911,NaN,NaN
sparse,fmar,40,400,2,12,BVAR,1,1,-0.007166266038,0.002170683523,0.002222038892,0.04713850753,0.9,0.1568776597,NaN,NaN
sparse,fmar,40,400,2,12,BVAR,1,2,-0.02545093187,0.002056952423,0.002704702356,0.05200675299,0.875,0.142663169,NaN,NaN
sparse,fmar,40,400,2,12,BVAR,1,3,-0.0386374651,0.002541647848,0.004034501557,0.06351772632,0.775,0.156951974,NaN,NaN
sparse,fmar,40,400,2,12,BVAR,1,4,-0.03255442507,0.002453324991,0.003513115583,0.05927154109,0.825,0.1611688285,NaN,NaN
sparse,fmar,40,400,2,12,BVAR,1,5,-0.02897144441,0.002158348847,0.002997693438,0.05475119577,0.875,0.1604072634,NaN,NaN
sparse,fmar,40,400,2,12,BVAR,1,6,-0.02123753463,0.00178394194,0.002234974817,0.04727552028,0.875,0.1552288396,NaN,NaN
sparse,fmar,40,400,2,12,BVAR,1,7,-0.01412406689,0.001399133454,0.001598622719,0.03998278028,0.925,0.1465749197,NaN,NaN
sparse,fmar,40,400,2,12,BVAR,1,8,-0.007263486563,0.001057505109,0.001110263346,0.03332061443,0.925,0.1351258692,NaN,NaN
