dgp,mode,R,T,p,H,estimator,variable,irmse_legacy_h1,irmse_h2,irmse_early,irmse_late,ibias_h2,ivar_h2
sparse,fmar,40,200,3,12,LP,1,0.09786290363,0.09980019074,0.09317819417,0.1053185212,0.01703646235,0.009753028241
sparse,fmar,40,200,3,12,LP,2,0.09460011052,0.09670748508,0.09595821734,0.09733187485,0.008451876276,0.009324516692
sparse,fmar,40,200,3,12,LP,3,0.08558181479,0.08668140852,0.07756086171,0.09428186419,0.01346497772,0.007383228616
sparse,fmar,40,200,3,12,BVAR,1,0.06626562043,0.06563304206,0.07889499158,0.05458141746,0.02878436415,0.003585816809
sparse,fmar,40,200,3,12,BVAR,2,0.06117137231,0.06083141703,0.0696358415,0.05349439664,0.007572535685,0.00373359801
sparse,fmar,40,200,3,12,BVAR,3,0.06063541227,0.05958967612,0.06410686504,0.05582535201,0.02698264342,0.002761348342
sparse,fmar,40,200,3,12,BLP-FMAR,1,0.07580005448,0.07595161648,0.08233972191,0.07062819529,0.02664333345,0.005126490181
sparse,fmar,40,200,3,12,BLP-FMAR,2,0.07053576333,0.07084260041,0.07668168001,0.06597670075,0.007046202765,0.004990039809
sparse,fmar,40,200,3,12,BLP-FMAR,3,0.06462958361,0.06394571737,0.06308481602,0.06466313515,0.01016580168,0.003915528356
sparse,fmar,40,200,3,12,BLP-block,1,0.07344192499,0.07344334806,0.08120413463,0.06697602593,0.0288244435,0.004627170471
sparse,fmar,40,200,3,12,BLP-block,2,0.06983834582,0.07020496479,0.07362317483,0.06735645642,0.007123592966,0.004877595737
sparse,fmar,40,200,3,12,BLP-block,3,0.06463165468,0.06397870689,0.06251918334,0.06519497652,0.01121814739,0.003863632213
sparse,fmar,40,200,3,12,BLP-pooled,1,0.07018776422,0.06993484807,0.07998775349,0.06155742689,0.02991750914,0.004058358386
sparse,fmar,40,200,3,12,BLP-pooled,2,0.06758136091,0.06779883217,0.07109860795,0.06504901903,0.007314584247,0.004537531834
sparse,fmar,40,200,3,12,BLP-pooled,3,0.06384367423,0.06308614801,0.06314431901,0.06303767217,0.01394873658,0.003661468623
