dgp,mode,R,T,p,H,estimator,variable,horizon,bias,variance,mse,rmse,coverage,avg_len,coverage_post,avg_len_post
sparse,fmar,40,200,3,12,LP,1,1,-0.008414796789,0.005789514025,0.00586032283,0.07655274541,0.875,0.2298078471,NaN,NaN
sparse,fmar,40,200,3,12,LP,1,2,-0.002233006467,0.006389377775,0.006394364093,0.07996476782,0.925,0.2580464227,NaN,NaN
sparse,fmar,40,200,3,12,LP,1,3,-0.01154021917,0.005679939269,0.005813115928,0.07624379272,0.95,0.281712813,NaN,NaN
sparse,fmar,40,200,3,12,LP,1,4,-0.01802518839,0.008935267491,0.009260174907,0.09622980259,0.85,0.3045893878,NaN,NaN
sparse,fmar,40,200,3,12,LP,1,5,-0.01444060619,0.01008067688,0.01028920799,0.1014357333,0.9,0.315551021,NaN,NaN
sparse,fmar,40,200,3,12,LP,1,6,-0.02091501529,0.01211034228,0.01254778015,0.1120168744,0.85,0.3151574985,NaN,NaN
sparse,fmar,40,200,3,12,LP,1,7,-0.02398682283,0.01109484083,0.0116702085,0.1080287392,0.875,0.3212464385,NaN,NaN
sparse,fmar,40,200,3,12,LP,1,8,-0.02616021459,0.01207456941,0.01275892624,0.1129554171,0.85,0.3240955053,NaN,NaN
sparse,fmar,40,200,3,12,LP,1,9,-0.0181000016,0.01175060655,0.01207821661,0.10990094,0.8,0.3238740285,NaN,NaN
sparse,fmar,40,200,3,12,LP,1,10,-0.01269371212,0.01182602766,0.01198715799,0.1094858803,0.825,0.3279891361,NaN,NaN
sparse,fmar,40,200,3,12,LP,1,11,-0.006941664238,0.01048013769,0.01052832439,0.1026076235,0.85,0.3209830229,NaN,NaN
sparse,fmar,40,200,3,12,LP,1,12,-0.032364635,0.0068615248,0.007908994398,0.08893252722,0.925,0.3216029371,NaN,NaN
sparse,fmar,40,200,3,12,LP,2,1,-0.001640562909,0.005097980745,0.005100672192,0.07141899042,0.8,0.2149134228,NaN,NaN
sparse,fmar,40,200,3,12,LP,2,2,-0.002859422804,0.006725773944,0.006733950243,0.08206064978,0.85,0.2466108771,NaN,NaN
sparse,fmar,40,200,3,12,LP,2,3,0.006252174689,0.007102039547,0.007141129235,0.08450520241,0.825,0.2601399,NaN,NaN
sparse,fmar,40,200,3,12,LP,2,4,-0.002651505558,0.009000597989,0.00900762847,0.09490852686,0.85,0.2746781568,NaN,NaN
sparse,fmar,40,200,3,12,LP,2,5,-0.00975028104,0.01157638182,0.0116714498,0.1080344843,0.825,0.2802249059,NaN,NaN
sparse,fmar,40,200,3,12,LP,2,6,-0.0203258203,0.01174902981,0.01216216878,0.1102822233,0.85,0.2836205854,NaN,NaN
sparse,fmar,40,200,3,12,LP,2,7,-0.007945190235,0.007449509802,0.00751263585,0.08667546279,0.825,0.2837774495,NaN,NaN
sparse,fmar,40,200,3,12,LP,2,8,-0.002285197191,0.01036299537,0.0103682175,0.1018244445,0.825,0.2884489544,NaN,NaN
sparse,fmar,40,200,3,12,LP,2,9,0.009351772084,0.009513011125,0.009600466766,0.09798197164,0.875,0.3035193672,NaN,NaN
sparse,fmar,40,200,3,12,LP,2,10,0.007343999139,0.009641976876,0.009695911199,0.09846781809,0.875,0.3024693483,NaN,NaN
sparse,fmar,40,200,3,12,LP,2,11,0.005077187889,0.009107340225,0.009133118062,0.09556734831,0.825,0.2822245059,NaN,NaN
sparse,fmar,40,200,3,12,LP,2,12,-0.0191280881,0.0103410271,0.01070691085,0.1034742038,0.875,0.2925012798,NaN,NaN
sparse,fmar,40,200,3,12,LP,3,1,-0.01451109988,0.005189661886,0.005400233906,0.07348628379,0.85,0.2005460341,NaN,NaN
sparse,fmar,40,200,3,12,LP,3,2,0.004268919568,0.004447627524,0.004465851198,0.06682702446,0.875,0.2158640919,NaN,NaN
sparse,fmar,40,200,3,12,LP,3,3,-0.01427809507,0.006349099032,0.006552963031,0.08095037388,0.825,0.2309815909,NaN,NaN
