dgp,scale_estimator,equation,block,horizon,tau_mean,tau_median,p_tau_gt1
sparse,block,1,1,1,0.5192621514,0.3862438173,0.13225
sparse,block,1,1,2,0.547416739,0.4135280458,0.1430625
sparse,block,1,1,3,0.55858812,0.4215137615,0.1523125
sparse,block,1,1,4,0.5797526232,0.4286008833,0.1671875
sparse,block,1,1,5,0.6100913643,0.4525740836,0.1795625
sparse,block,1,1,6,0.681797595,0.5235067728,0.22375
sparse,block,1,1,7,0.7335487619,0.5504680805,0.2420625
sparse,block,1,1,8,0.7849748597,0.6171188421,0.2804375
sparse,block,1,1,9,0.8119830982,0.6331377209,0.28325
sparse,block,1,1,10,0.8511694302,0.6586875447,0.30575
sparse,block,1,1,11,0.9037262404,0.6974161351,0.333125
sparse,block,1,1,12,0.9603362608,0.7628390309,0.3599375
sparse,block,1,2,1,0.5119202575,0.380130911,0.1245
sparse,block,1,2,2,0.564750501,0.4259173864,0.15
sparse,block,1,2,3,0.5930299079,0.4486738234,0.1725625
sparse,block,1,2,4,0.6102388833,0.4614769717,0.18325
sparse,block,1,2,5,0.6675813398,0.5169002458,0.2110625
sparse,block,1,2,6,0.7233027056,0.5709508327,0.244375
sparse,block,1,2,7,0.7733288897,0.6183276108,0.26125
sparse,block,1,2,8,0.746570816,0.5906619374,0.2563125
sparse,block,1,2,9,0.8446965783,0.6638401359,0.3010625
sparse,block,1,2,10,0.9458648513,0.7562143418,0.35225
sparse,block,1,2,11,0.9878729076,0.7994842278,0.3740625
sparse,block,1,2,12,0.9783418448,0.7667277463,0.35925
sparse,block,1,3,1,0.5071954781,0.3811779177,0.119875
sparse,block,1,3,2,0.5293946078,0.3986459261,0.1295
sparse,block,1,3,3,0.6235960514,0.4797312112,0.1818125
sparse,block,1,3,4,0.6973062815,0.5367612641,0.2259375
sparse,block,1,3,5,0.7186490844,0.5675089172,0.232125
sparse,block,1,3,6,0.7658266782,0.6108843882,0.26525
sparse,block,1,3,7,0.8135134327,0.6447793928,0.2915
sparse,block,1,3,8,0.8472035086,0.672420127,0.313125
sparse,block,1,3,9,0.8988549284,0.7273943205,0.3323125
sparse,block,1,3,10,0.8973276462,0.7290140439,0.3324375
sparse,block,1,3,11,0.8609602877,0.6823864797,0.31775
sparse,block,1,3,12,0.951778454,0.7676812376,0.3561875
