dgp,scale_estimator,misspec_block,is_false_positive_setting,metric,index,value
correct,block,NaN,1,argmax_freq,block1,0.45
correct,block,NaN,1,argmax_freq,block2,0.35
correct,block,NaN,1,argmax_freq,block3,0.2
correct,block,NaN,1,argmax_freq_by_eq,eq1_block1,0.375
correct,block,NaN,1,argmax_freq_by_eq_early,eq1_block1,0.35
correct,block,NaN,1,argmax_freq_by_eq,eq1_block2,0.4
correct,block,NaN,1,argmax_freq_by_eq_early,eq1_block2,0.375
correct,block,NaN,1,argmax_freq_by_eq,eq1_block3,0.225
correct,block,NaN,1,argmax_freq_by_eq_early,eq1_block3,0.275
correct,block,NaN,1,argmax_freq_by_eq,eq2_block1,0.375
correct,block,NaN,1,argmax_freq_by_eq_early,eq2_block1,0.35
correct,block,NaN,1,argmax_freq_by_eq,eq2_block2,0.35
correct,block,NaN,1,argmax_freq_by_eq_early,eq2_block2,0.4
correct,block,NaN,1,argmax_freq_by_eq,eq2_block3,0.275
correct,block,NaN,1,argmax_freq_by_eq_early,eq2_block3,0.25
correct,block,NaN,1,argmax_freq_by_eq,eq3_block1,0.525
correct,block,NaN,1,argmax_freq_by_eq_early,eq3_block1,0.425
correct,block,NaN,1,argmax_freq_by_eq,eq3_block2,0.25
correct,block,NaN,1,argmax_freq_by_eq_early,eq3_block2,0.3
correct,block,NaN,1,argmax_freq_by_eq,eq3_block3,0.225
correct,block,NaN,1,argmax_freq_by_eq_early,eq3_block3,0.275
correct,block,NaN,1,detect_prob,aggregate,NaN
correct,block,NaN,1,detect_prob_by_eq,eq1,NaN
correct,block,NaN,1,detect_prob_by_eq_early,eq1,NaN
correct,block,NaN,1,mean_rank_true_by_eq,eq1,NaN
correct,block,NaN,1,detect_prob_by_eq,eq2,NaN
correct,block,NaN,1,detect_prob_by_eq_early,eq2,NaN
correct,block,NaN,1,mean_rank_true_by_eq,eq2,NaN
correct,block,NaN,1,detect_prob_by_eq,eq3,NaN
correct,block,NaN,1,detect_prob_by_eq_early,eq3,NaN
correct,block,NaN,1,mean_rank_true_by_eq,eq3,NaN
correct,block,NaN,1,max_argmax_freq,all_horizons,0.525
correct,block,NaN,1,max_argmax_freq_early,early,0.425
correct,block,NaN,1,argmax_cell,equation_all,3
correct,block,NaN,1,argmax_cell,block_all,1
correct,block,NaN,1,argmax_cell_early,equation_early,3
correct,block,NaN,1,argmax_cell_early,block_early,1
correct,block,NaN,1,argmax_chance,per_cell,0.3333333333
correct,block,NaN,1,mean_rank_true,aggregate,NaN
correct,block,NaN,1,rank_chance,aggregate,2
correct,block,NaN,1,flag_ratio,thr1.25,0.15
correct,block,NaN,1,joint_detect_ratio,thr1.25,NaN
correct,block,NaN,1,flag_ratio,thr1.50,0.1
correct,block,NaN,1,joint_detect_ratio,thr1.50,NaN
