dgp,mode,R,T,p,H,estimator,variable,horizon,bias,variance,mse,rmse,coverage,avg_len,coverage_post,avg_len_post
dense,fmar,40,200,2,12,LP,1,1,-0.0617831246,0.002573699449,0.006390853934,0.07994281665,0.8,0.2081814755,NaN,NaN
dense,fmar,40,200,2,12,LP,1,2,-0.05997190814,0.01125948176,0.01485611153,0.1218856494,0.775,0.3264019804,NaN,NaN
dense,fmar,40,200,2,12,LP,1,3,-0.0537917493,0.01292764929,0.01582120158,0.125782358,0.9,0.3950955303,NaN,NaN
dense,fmar,40,200,2,12,LP,1,4,-0.04895837329,0.01318477595,0.01558169826,0.1248266729,0.925,0.4236572365,NaN,NaN
dense,fmar,40,200,2,12,LP,1,5,-0.0419785974,0.02086328061,0.02262548325,0.1504176959,0.825,0.4473496005,NaN,NaN
dense,fmar,40,200,2,12,LP,1,6,-0.06626540039,0.02291113252,0.02730223581,0.1652338822,0.75,0.4498701903,NaN,NaN
dense,fmar,40,200,2,12,LP,1,7,-0.05630879784,0.02008162845,0.02325230916,0.1524870787,0.85,0.4566550774,NaN,NaN
dense,fmar,40,200,2,12,LP,1,8,-0.05259890697,0.02130894477,0.02407558979,0.1551631071,0.85,0.450114455,NaN,NaN
dense,fmar,40,200,2,12,LP,1,9,-0.06750821952,0.01974664195,0.02430400165,0.1558974075,0.8,0.4488531894,NaN,NaN
dense,fmar,40,200,2,12,LP,1,10,-0.04960919321,0.02270520157,0.02516627363,0.158638815,0.775,0.4626246158,NaN,NaN
dense,fmar,40,200,2,12,LP,1,11,-0.03936837324,0.02362711373,0.02517698255,0.1586725639,0.775,0.4679732512,NaN,NaN
dense,fmar,40,200,2,12,LP,1,12,-0.03605766691,0.0289768179,0.03027697324,0.1740027967,0.825,0.4818938311,NaN,NaN
dense,fmar,40,200,2,12,LP,2,1,-0.06575450573,0.007296973041,0.01162062806,0.107799017,0.6,0.2082380533,NaN,NaN
dense,fmar,40,200,2,12,LP,2,2,-0.05544562583,0.01027344716,0.01334766458,0.1155320933,0.8,0.31609253,NaN,NaN
dense,fmar,40,200,2,12,LP,2,3,-0.05408541361,0.01318419053,0.01610942249,0.1269228998,0.9,0.3659413652,NaN,NaN
dense,fmar,40,200,2,12,LP,2,4,-0.06483018865,0.01422650755,0.01842946091,0.1357551506,0.875,0.3984073131,NaN,NaN
dense,fmar,40,200,2,12,LP,2,5,-0.05858655245,0.01761204718,0.02104443131,0.145066989,0.825,0.4123667809,NaN,NaN
dense,fmar,40,200,2,12,LP,2,6,-0.04524042986,0.02001648404,0.02206318054,0.1485367986,0.8,0.4159802415,NaN,NaN
dense,fmar,40,200,2,12,LP,2,7,-0.05190087256,0.01802295961,0.02071666018,0.1439328322,0.9,0.424056725,NaN,NaN
dense,fmar,40,200,2,12,LP,2,8,-0.03830184869,0.01729727996,0.01876431158,0.1369828879,0.825,0.418612722,NaN,NaN
dense,fmar,40,200,2,12,LP,2,9,-0.03625337213,0.0168075162,0.01812182319,0.1346173213,0.875,0.4187840349,NaN,NaN
