dgp,scale_estimator,equation,block,horizon,tau_mean,tau_median,p_tau_gt1
dense,block,1,1,1,0.5559292156,0.3751119045,0.14375
dense,block,1,1,2,0.6131831176,0.4145600743,0.17275
dense,block,1,1,3,0.6577622006,0.4408718106,0.1925625
dense,block,1,1,4,0.7315089702,0.4985340544,0.2320625
dense,block,1,1,5,0.7630843303,0.5311450756,0.2420625
dense,block,1,1,6,0.9323950981,0.6584470563,0.311375
dense,block,1,1,7,0.9638186624,0.6966670204,0.33175
dense,block,1,1,8,1.012093341,0.7462555127,0.359
dense,block,1,1,9,1.075746093,0.7834007373,0.382
dense,block,1,1,10,1.170241833,0.8645209478,0.416875
dense,block,1,1,11,1.21387978,0.8950586872,0.4368125
dense,block,1,1,12,1.219786404,0.8942464117,0.4340625
dense,block,1,2,1,0.5298819735,0.35492632,0.132125
dense,block,1,2,2,0.6579643884,0.4399409682,0.1924375
dense,block,1,2,3,0.7142606927,0.487360882,0.2199375
dense,block,1,2,4,0.7773525411,0.5477063876,0.251125
dense,block,1,2,5,0.8672014736,0.6216718647,0.291625
dense,block,1,2,6,0.9387279049,0.6700773668,0.32375
dense,block,1,2,7,0.9265157501,0.6570798971,0.31725
dense,block,1,2,8,1.013719363,0.738857029,0.3553125
dense,block,1,2,9,1.072785467,0.7655772549,0.376375
dense,block,1,2,10,1.073211647,0.7722956922,0.3705
dense,block,1,2,11,1.123972693,0.8001879488,0.3949375
dense,block,1,2,12,1.089996273,0.7753291422,0.3780625
dense,block,1,3,1,0.5154225102,0.3398381927,0.1311875
dense,block,1,3,2,0.6074316547,0.4092732798,0.1685625
dense,block,1,3,3,0.7036976631,0.4803563459,0.210875
dense,block,1,3,4,0.7827271702,0.5479935666,0.250375
dense,block,1,3,5,0.8563661735,0.6182665289,0.2805625
dense,block,1,3,6,0.873274836,0.6264198124,0.2988125
dense,block,1,3,7,0.9013005814,0.6364900627,0.3031875
dense,block,1,3,8,0.9489417602,0.6762029442,0.32925
dense,block,1,3,9,0.9887386157,0.7080175788,0.3448125
dense,block,1,3,10,1.018299927,0.7261219124,0.36225
dense,block,1,3,11,0.9963515711,0.7125947523,0.3505
dense,block,1,3,12,1.111843101,0.8028916842,0.39
dense,block,2,1,1,0.5171306958,0.3412110434,0.1266875
dense,block,2,1,2,0.6013304924,0.3922034123,0.1673125
dense,block,2,1,3,0.6736196622,0.4472764783,0.1996875
dense,block,2,1,4,0.8075551117,0.5735539998,0.2614375
dense,block,2,1,5,0.8554027003,0.6094836327,0.28875
dense,block,2,1,6,0.9274684181,0.6778052106,0.326875
dense,block,2,1,7,0.9810535017,0.7094791315,0.33975
dense,block,2,1,8,0.9712300471,0.6911515316,0.3374375
dense,block,2,1,9,1.054506686,0.7641533989,0.368
