dgp,scale_estimator,misspec_block,is_false_positive_setting,metric,index,value
intermediate,block,1,0,argmax_freq,block1,0.9
intermediate,block,1,0,argmax_freq,block2,0.05
intermediate,block,1,0,argmax_freq,block3,0.05
intermediate,block,1,0,argmax_freq_by_eq,eq1_block1,0.425
intermediate,block,1,0,argmax_freq_by_eq_early,eq1_block1,0.675
intermediate,block,1,0,argmax_freq_by_eq,eq1_block2,0.375
intermediate,block,1,0,argmax_freq_by_eq_early,eq1_block2,0.275
intermediate,block,1,0,argmax_freq_by_eq,eq1_block3,0.2
intermediate,block,1,0,argmax_freq_by_eq_early,eq1_block3,0.05
intermediate,block,1,0,argmax_freq_by_eq,eq2_block1,0.75
intermediate,block,1,0,argmax_freq_by_eq_early,eq2_block1,0.925
intermediate,block,1,0,argmax_freq_by_eq,eq2_block2,0.125
intermediate,block,1,0,argmax_freq_by_eq_early,eq2_block2,0.05
intermediate,block,1,0,argmax_freq_by_eq,eq2_block3,0.125
intermediate,block,1,0,argmax_freq_by_eq_early,eq2_block3,0.025
intermediate,block,1,0,argmax_freq_by_eq,eq3_block1,0.85
intermediate,block,1,0,argmax_freq_by_eq_early,eq3_block1,1
intermediate,block,1,0,argmax_freq_by_eq,eq3_block2,0.075
intermediate,block,1,0,argmax_freq_by_eq_early,eq3_block2,0
intermediate,block,1,0,argmax_freq_by_eq,eq3_block3,0.075
intermediate,block,1,0,argmax_freq_by_eq_early,eq3_block3,0
intermediate,block,1,0,detect_prob,aggregate,0.9
intermediate,block,1,0,detect_prob_by_eq,eq1,0.425
intermediate,block,1,0,detect_prob_by_eq_early,eq1,0.675
intermediate,block,1,0,mean_rank_true_by_eq,eq1,1.875
intermediate,block,1,0,detect_prob_by_eq,eq2,0.75
intermediate,block,1,0,detect_prob_by_eq_early,eq2,0.925
intermediate,block,1,0,mean_rank_true_by_eq,eq2,1.275
intermediate,block,1,0,detect_prob_by_eq,eq3,0.85
intermediate,block,1,0,detect_prob_by_eq_early,eq3,1
intermediate,block,1,0,mean_rank_true_by_eq,eq3,1.15
intermediate,block,1,0,max_argmax_freq,all_horizons,0.85
intermediate,block,1,0,max_argmax_freq_early,early,1
intermediate,block,1,0,argmax_cell,equation_all,3
intermediate,block,1,0,argmax_cell,block_all,1
intermediate,block,1,0,argmax_cell_early,equation_early,3
intermediate,block,1,0,argmax_cell_early,block_early,1
intermediate,block,1,0,argmax_chance,per_cell,0.3333333333
intermediate,block,1,0,mean_rank_true,aggregate,1.1
intermediate,block,1,0,rank_chance,aggregate,2
intermediate,block,1,0,flag_ratio,thr1.25,0.525
intermediate,block,1,0,joint_detect_ratio,thr1.25,0.525
intermediate,block,1,0,flag_ratio,thr1.50,0.15
intermediate,block,1,0,joint_detect_ratio,thr1.50,0.15
intermediate,block,1,0,flag_ratio,thr2.00,0.025
intermediate,block,1,0,joint_detect_ratio,thr2.00,0.025
intermediate,block,1,0,flag_prob,q0.50,0.9
intermediate,block,1,0,joint_detect_prob,q0.50,0.9
intermediate,block,1,0,flag_prob,q0.75,0.225
intermediate,block,1,0,joint_detect_prob,q0.75,0.225
intermediate,block,1,0,flag_prob,q0.90,0
intermediate,block,1,0,joint_detect_prob,q0.90,0
intermediate,block,1,0,ess_beta_mean,chain,118.0512711
intermediate,block,1,0,ess_logtau_mean,chain,54.94695966
intermediate,block,1,0,lag1_beta_mean,chain,0.1173985024
intermediate,block,1,0,acc_rate_mean,chain,NaN
intermediate,block,1,0,n_tau_clip_mean,chain,0.35
intermediate,pooled,1,0,argmax_freq,block1,0.925
intermediate,pooled,1,0,argmax_freq,block2,0.025
intermediate,pooled,1,0,argmax_freq,block3,0.05
intermediate,pooled,1,0,argmax_freq_by_eq,eq1_block1,0.5
intermediate,pooled,1,0,argmax_freq_by_eq_early,eq1_block1,0.6
intermediate,pooled,1,0,argmax_freq_by_eq,eq1_block2,0.275
intermediate,pooled,1,0,argmax_freq_by_eq_early,eq1_block2,0.25
intermediate,pooled,1,0,argmax_freq_by_eq,eq1_block3,0.225
intermediate,pooled,1,0,argmax_freq_by_eq_early,eq1_block3,0.15
intermediate,pooled,1,0,argmax_freq_by_eq,eq2_block1,0.85
intermediate,pooled,1,0,argmax_freq_by_eq_early,eq2_block1,0.925
intermediate,pooled,1,0,argmax_freq_by_eq,eq2_block2,0.05
intermediate,pooled,1,0,argmax_freq_by_eq_early,eq2_block2,0.025
intermediate,pooled,1,0,argmax_freq_by_eq,eq2_block3,0.1
intermediate,pooled,1,0,argmax_freq_by_eq_early,eq2_block3,0.05
intermediate,pooled,1,0,argmax_freq_by_eq,eq3_block1,0.875
intermediate,pooled,1,0,argmax_freq_by_eq_early,eq3_block1,0.975
intermediate,pooled,1,0,argmax_freq_by_eq,eq3_block2,0.075
intermediate,pooled,1,0,argmax_freq_by_eq_early,eq3_block2,0.025
intermediate,pooled,1,0,argmax_freq_by_eq,eq3_block3,0.05
intermediate,pooled,1,0,argmax_freq_by_eq_early,eq3_block3,0
intermediate,pooled,1,0,detect_prob,aggregate,0.925
intermediate,pooled,1,0,detect_prob_by_eq,eq1,0.5
intermediate,pooled,1,0,detect_prob_by_eq_early,eq1,0.6
intermediate,pooled,1,0,mean_rank_true_by_eq,eq1,1.725
intermediate,pooled,1,0,detect_prob_by_eq,eq2,0.85
intermediate,pooled,1,0,detect_prob_by_eq_early,eq2,0.925
intermediate,pooled,1,0,mean_rank_true_by_eq,eq2,1.2
intermediate,pooled,1,0,detect_prob_by_eq,eq3,0.875
intermediate,pooled,1,0,detect_prob_by_eq_early,eq3,0.975
intermediate,pooled,1,0,mean_rank_true_by_eq,eq3,1.125
intermediate,pooled,1,0,max_argmax_freq,all_horizons,0.875
intermediate,pooled,1,0,max_argmax_freq_early,early,0.975
intermediate,pooled,1,0,argmax_cell,equation_all,3
intermediate,pooled,1,0,argmax_cell,block_all,1
intermediate,pooled,1,0,argmax_cell_early,equation_early,3
intermediate,pooled,1,0,argmax_cell_early,block_early,1
intermediate,pooled,1,0,argmax_chance,per_cell,0.3333333333
intermediate,pooled,1,0,mean_rank_true,aggregate,1.075
intermediate,pooled,1,0,rank_chance,aggregate,2
intermediate,pooled,1,0,flag_ratio,thr1.25,0.825
intermediate,pooled,1,0,joint_detect_ratio,thr1.25,0.75
intermediate,pooled,1,0,flag_ratio,thr1.50,0.625
intermediate,pooled,1,0,joint_detect_ratio,thr1.50,0.6
intermediate,pooled,1,0,flag_ratio,thr2.00,0.425
intermediate,pooled,1,0,joint_detect_ratio,thr2.00,0.425
intermediate,pooled,1,0,flag_prob,q0.50,0.925
intermediate,pooled,1,0,joint_detect_prob,q0.50,0.925
intermediate,pooled,1,0,flag_prob,q0.75,0.65
intermediate,pooled,1,0,joint_detect_prob,q0.75,0.65
intermediate,pooled,1,0,flag_prob,q0.90,0.325
intermediate,pooled,1,0,joint_detect_prob,q0.90,0.325
intermediate,pooled,1,0,ess_beta_mean,chain,NaN
intermediate,pooled,1,0,ess_logtau_mean,chain,34.41946612
intermediate,pooled,1,0,lag1_beta_mean,chain,NaN
intermediate,pooled,1,0,acc_rate_mean,chain,0.322673534
intermediate,pooled,1,0,n_tau_clip_mean,chain,NaN
