dgp,mode,R,T,p,H,estimator,variable,horizon,bias,variance,mse,rmse,coverage,avg_len,coverage_post,avg_len_post
sparse,fmar,40,200,2,12,LP,1,1,-0.01192652832,0.005127650729,0.005269892807,0.07259402735,0.875,0.2282587066,NaN,NaN
sparse,fmar,40,200,2,12,LP,1,2,-0.007067141866,0.006294082768,0.006344027262,0.07964940214,0.875,0.2507064043,NaN,NaN
sparse,fmar,40,200,2,12,LP,1,3,-0.0173425731,0.005311179224,0.005611944065,0.07491290987,0.925,0.2742740022,NaN,NaN
sparse,fmar,40,200,2,12,LP,1,4,-0.02377483971,0.008834278962,0.009399521965,0.09695113184,0.85,0.2961116162,NaN,NaN
sparse,fmar,40,200,2,12,LP,1,5,-0.0209132467,0.009755438821,0.01019280271,0.1009594112,0.875,0.3075881607,NaN,NaN
sparse,fmar,40,200,2,12,LP,1,6,-0.02482907805,0.01235239541,0.01296887853,0.113880984,0.825,0.3097952999,NaN,NaN
sparse,fmar,40,200,2,12,LP,1,7,-0.02720300057,0.01053857376,0.011278577,0.106200645,0.9,0.3121838372,NaN,NaN
sparse,fmar,40,200,2,12,LP,1,8,-0.02776940818,0.01102519753,0.01179633756,0.1086109459,0.875,0.3167985459,NaN,NaN
sparse,fmar,40,200,2,12,LP,1,9,-0.02015605721,0.01031381809,0.01072008473,0.103537842,0.85,0.3151265821,NaN,NaN
sparse,fmar,40,200,2,12,LP,1,10,-0.01678275328,0.01044959578,0.01073125659,0.1035917786,0.825,0.3165020096,NaN,NaN
sparse,fmar,40,200,2,12,LP,1,11,-0.00496461056,0.009351172076,0.009375819434,0.0968288151,0.9,0.3101120457,NaN,NaN
sparse,fmar,40,200,2,12,LP,1,12,-0.02818083214,0.00647312726,0.00726728656,0.08524838157,0.95,0.3115192083,NaN,NaN
sparse,fmar,40,200,2,12,LP,2,1,-0.001263531101,0.004672654753,0.004674251264,0.06836849613,0.875,0.2125493897,NaN,NaN
sparse,fmar,40,200,2,12,LP,2,2,-0.005884750807,0.005628441777,0.005663072069,0.07525338576,0.875,0.238049436,NaN,NaN
sparse,fmar,40,200,2,12,LP,2,3,-0.0001142860492,0.006267492309,0.00626750537,0.07916757777,0.875,0.2497029106,NaN,NaN
sparse,fmar,40,200,2,12,LP,2,4,-0.008184110103,0.007448999649,0.007515979307,0.08669474786,0.875,0.2649212484,NaN,NaN
sparse,fmar,40,200,2,12,LP,2,5,-0.01508601475,0.01075472734,0.01098231518,0.1047965418,0.825,0.2719246272,NaN,NaN
sparse,fmar,40,200,2,12,LP,2,6,-0.02242662523,0.01133445219,0.01183740571,0.1087998424,0.825,0.2779337036,NaN,NaN
sparse,fmar,40,200,2,12,LP,2,7,-0.009506026503,0.007249305272,0.007339669812,0.08567187294,0.875,0.2753776467,NaN,NaN
sparse,fmar,40,200,2,12,LP,2,8,-0.004747166694,0.009853670023,0.009876205614,0.09937910049,0.8,0.2845196361,NaN,NaN
sparse,fmar,40,200,2,12,LP,2,9,0.006266798236,0.008795948201,0.008835220961,0.09399585609,0.875,0.2968824333,NaN,NaN
sparse,fmar,40,200,2,12,LP,2,10,0.004969207853,0.01016721554,0.01019190856,0.1009549829,0.9,0.2978265368,NaN,NaN
sparse,fmar,40,200,2,12,LP,2,11,0.005446593316,0.009611615242,0.009641280621,0.09819002302,0.775,0.2764328382,NaN,NaN
sparse,fmar,40,200,2,12,LP,2,12,-0.0127451098,0.01032419146,0.01048662928,0.1024042444,0.9,0.2878628677,NaN,NaN
sparse,fmar,40,200,2,12,LP,3,1,-0.05798640749,0.006364348494,0.009726771948,0.09862439834,0.725,0.2155131906,NaN,NaN
sparse,fmar,40,200,2,12,LP,3,2,-0.01599160844,0.004404225485,0.004659957025,0.06826387789,0.9,0.2121191118,NaN,NaN
sparse,fmar,40,200,2,12,LP,3,3,-0.03247548276,0.006082081404,0.007136738384,0.08447921865,0.825,0.2279536348,NaN,NaN
sparse,fmar,40,200,2,12,LP,3,4,-0.02773832194,0.004863742329,0.005633156833,0.07505435919,0.8,0.2368540324,NaN,NaN
sparse,fmar,40,200,2,12,LP,3,5,-0.02595979179,0.00629828923,0.006972200019,0.08349970071,0.875,0.2399401992,NaN,NaN
sparse,fmar,40,200,2,12,LP,3,6,-0.03332350066,0.005432076138,0.006542531834,0.08088591864,0.85,0.2439931017,NaN,NaN
sparse,fmar,40,200,2,12,LP,3,7,-0.01806327595,0.008145415118,0.008471697056,0.09204182232,0.825,0.2604217414,NaN,NaN
sparse,fmar,40,200,2,12,LP,3,8,-0.01439151106,0.009701891001,0.009909006591,0.09954399325,0.7,0.2537877825,NaN,NaN
sparse,fmar,40,200,2,12,LP,3,9,-0.005438357038,0.01029574545,0.01032532117,0.1016135876,0.775,0.2555095962,NaN,NaN
sparse,fmar,40,200,2,12,LP,3,10,-0.005802543097,0.007109768538,0.007143438044,0.08451886206,0.95,0.2665067373,NaN,NaN
sparse,fmar,40,200,2,12,LP,3,11,0.005921602564,0.008695925677,0.008730991054,0.09343977234,0.75,0.2613580709,NaN,NaN
sparse,fmar,40,200,2,12,LP,3,12,-0.01456776364,0.007769903698,0.007982123436,0.08934273018,0.825,0.2737675026,NaN,NaN
sparse,fmar,40,200,2,12,BVAR,1,1,-0.02342720161,0.004388164405,0.00493699818,0.07026377573,0.85,0.2108517718,NaN,NaN
sparse,fmar,40,200,2,12,BVAR,1,2,-0.03943853914,0.004046518169,0.005601916539,0.07484595205,0.85,0.1984335168,NaN,NaN
sparse,fmar,40,200,2,12,BVAR,1,3,-0.05359264861,0.004829374598,0.007701546583,0.0877584559,0.825,0.217557878,NaN,NaN
sparse,fmar,40,200,2,12,BVAR,1,4,-0.04768173691,0.004351596757,0.006625144791,0.08139499242,0.875,0.2237727546,NaN,NaN
sparse,fmar,40,200,2,12,BVAR,1,5,-0.04411846321,0.003828205204,0.005774643999,0.07599107842,0.875,0.2199658609,NaN,NaN
sparse,fmar,40,200,2,12,BVAR,1,6,-0.03568019521,0.00314775643,0.00442083276,0.06648934321,0.9,0.2112707526,NaN,NaN
sparse,fmar,40,200,2,12,BVAR,1,7,-0.02745043697,0.002521343605,0.003274870095,0.05722648072,0.9,0.1987768021,NaN,NaN
sparse,fmar,40,200,2,12,BVAR,1,8,-0.01911448934,0.00197672313,0.002342086833,0.04839511166,0.875,0.183526293,NaN,NaN
sparse,fmar,40,200,2,12,BVAR,1,9,-0.01163575126,0.001536396812,0.001671787519,0.04088749832,0.925,0.1675683993,NaN,NaN
sparse,fmar,40,200,2,12,BVAR,1,10,-0.005231412745,0.001189561531,0.00121692921,0.03488451247,0.925,0.1513205577,NaN,NaN
sparse,fmar,40,200,2,12,BVAR,1,11,-5.425495848e-05,0.0009196986772,0.0009197016208,0.03032658274,0.925,0.135604146,NaN,NaN
sparse,fmar,40,200,2,12,BVAR,1,12,0.003911327053,0.0007092278635,0.0007245263428,0.02691702701,0.9,0.1201557337,NaN,NaN
sparse,fmar,40,200,2,12,BVAR,2,1,-0.001662000049,0.003783842203,0.003786604447,0.06153539183,0.9,0.1992528951,NaN,NaN
sparse,fmar,40,200,2,12,BVAR,2,2,-0.003347265446,0.003645919978,0.003657124164,0.06047416113,0.85,0.1810193297,NaN,NaN
sparse,fmar,40,200,2,12,BVAR,2,3,-0.03380681354,0.004219492548,0.005362393189,0.07322836328,0.825,0.1937624606,NaN,NaN
sparse,fmar,40,200,2,12,BVAR,2,4,-0.03030986555,0.004206228869,0.005124916819,0.07158852435,0.85,0.1956317602,NaN,NaN
sparse,fmar,40,200,2,12,BVAR,2,5,-0.01685918609,0.003780959855,0.004065192011,0.06375885829,0.85,0.1899631614,NaN,NaN
sparse,fmar,40,200,2,12,BVAR,2,6,-0.004420801567,0.00321341146,0.003232954946,0.05685907972,0.85,0.1811691126,NaN,NaN
sparse,fmar,40,200,2,12,BVAR,2,7,0.007396525072,0.002632385933,0.002687094516,0.0518371924,0.875,0.1691301529,NaN,NaN
sparse,fmar,40,200,2,12,BVAR,2,8,0.01626503374,0.002111824489,0.002376375812,0.04874808521,0.85,0.1552453122,NaN,NaN
sparse,fmar,40,200,2,12,BVAR,2,9,0.02248685612,0.001670382903,0.002176041602,0.04664806107,0.825,0.1414425316,NaN,NaN
sparse,fmar,40,200,2,12,BVAR,2,10,0.02622680648,0.001306696842,0.001994542221,0.04466029804,0.75,0.1261977134,NaN,NaN
sparse,fmar,40,200,2,12,BVAR,2,11,0.02793371435,0.001010867503,0.001791159901,0.04232209708,0.725,0.1116188727,NaN,NaN
sparse,fmar,40,200,2,12,BVAR,2,12,0.0280563958,0.0007721707026,0.001559332048,0.03948837864,0.625,0.09857174321,NaN,NaN
sparse,fmar,40,200,2,12,BVAR,3,1,-0.07150259732,0.005148486683,0.01026110811,0.1012971278,0.65,0.1954410306,NaN,NaN
sparse,fmar,40,200,2,12,BVAR,3,2,-0.2071181376,0.002561915847,0.04545983877,0.2132131299,0.025,0.1733977918,NaN,NaN
sparse,fmar,40,200,2,12,BVAR,3,3,0.06539646078,0.002520902812,0.006797599895,0.08244755845,0.7,0.1859173111,NaN,NaN
sparse,fmar,40,200,2,12,BVAR,3,4,0.06348315558,0.002613434445,0.006643545488,0.08150794739,0.725,0.1882899266,NaN,NaN
sparse,fmar,40,200,2,12,BVAR,3,5,0.1014832392,0.002614103266,0.0129129511,0.1136351666,0.55,0.1810528428,NaN,NaN
sparse,fmar,40,200,2,12,BVAR,3,6,0.1062543827,0.002459391468,0.01374938531,0.1172577729,0.45,0.1684111883,NaN,NaN
sparse,fmar,40,200,2,12,BVAR,3,7,0.1051213452,0.002174497256,0.01322499447,0.114999976,0.425,0.1532924022,NaN,NaN
sparse,fmar,40,200,2,12,BVAR,3,8,0.0983442692,0.001819864833,0.01149146012,0.1071982281,0.4,0.1389609961,NaN,NaN
sparse,fmar,40,200,2,12,BVAR,3,9,0.08861534625,0.001452514425,0.009305194017,0.09646343357,0.4,0.1244233095,NaN,NaN
sparse,fmar,40,200,2,12,BVAR,3,10,0.07762483393,0.001111990113,0.007137604956,0.0844843474,0.475,0.1105233529,NaN,NaN
sparse,fmar,40,200,2,12,BVAR,3,11,0.06630655905,0.0008206650722,0.005217224845,0.07223035958,0.475,0.09665169989,NaN,NaN
sparse,fmar,40,200,2,12,BVAR,3,12,0.05536514816,0.000586336481,0.003651636112,0.06042876891,0.475,0.08470239928,NaN,NaN
sparse,fmar,40,200,2,12,BLP-FMAR,1,1,-0.01475883182,0.004862761772,0.005080584889,0.0712782217,0.875,0.2280897737,NaN,NaN
sparse,fmar,40,200,2,12,BLP-FMAR,1,2,-0.01822400347,0.004869909737,0.00520202404,0.07212505834,0.925,0.24970452,NaN,NaN
sparse,fmar,40,200,2,12,BLP-FMAR,1,3,-0.03259848809,0.0048755745,0.005938235926,0.07705995021,0.875,0.2744472341,NaN,NaN
sparse,fmar,40,200,2,12,BLP-FMAR,1,4,-0.03655499739,0.006275670618,0.007611938452,0.08724642372,0.85,0.2976712117,NaN,NaN
sparse,fmar,40,200,2,12,BLP-FMAR,1,5,-0.0345106689,0.00661213529,0.007803121558,0.08833527924,0.9,0.3110431335,NaN,NaN
sparse,fmar,40,200,2,12,BLP-FMAR,1,6,-0.03644746731,0.006753619303,0.008082037177,0.08990015115,0.95,0.3146239119,NaN,NaN
sparse,fmar,40,200,2,12,BLP-FMAR,1,7,-0.03470473901,0.005674680295,0.006879099204,0.08294033521,0.925,0.3185053079,NaN,NaN
sparse,fmar,40,200,2,12,BLP-FMAR,1,8,-0.03451973674,0.005716182107,0.006907794332,0.08311314175,0.95,0.3227344425,NaN,NaN
sparse,fmar,40,200,2,12,BLP-FMAR,1,9,-0.02523770051,0.004755589199,0.005392530726,0.07343385272,0.925,0.3187921809,NaN,NaN
sparse,fmar,40,200,2,12,BLP-FMAR,1,10,-0.0197726471,0.004219225025,0.004610182599,0.06789832545,1,0.3213930125,NaN,NaN
sparse,fmar,40,200,2,12,BLP-FMAR,1,11,-0.016139297,0.003850908529,0.004111385437,0.06412008606,1,0.3152071143,NaN,NaN
sparse,fmar,40,200,2,12,BLP-FMAR,1,12,-0.01879677636,0.003129429345,0.003482748146,0.05901481294,0.975,0.312151788,NaN,NaN
sparse,fmar,40,200,2,12,BLP-FMAR,2,1,-0.0001629076964,0.004226213405,0.004226239944,0.06500953733,0.9,0.2117303913,NaN,NaN
sparse,fmar,40,200,2,12,BLP-FMAR,2,2,-0.003758126198,0.004388231011,0.004402354523,0.06635024132,0.875,0.2379200384,NaN,NaN
sparse,fmar,40,200,2,12,BLP-FMAR,2,3,-0.0170901415,0.005116955214,0.00540902815,0.07354609541,0.85,0.2505959596,NaN,NaN
sparse,fmar,40,200,2,12,BLP-FMAR,2,4,-0.02342732411,0.006040090419,0.006588929934,0.08117222391,0.85,0.2671389566,NaN,NaN
sparse,fmar,40,200,2,12,BLP-FMAR,2,5,-0.02207896283,0.007289260779,0.007776741378,0.08818583434,0.85,0.2745885402,NaN,NaN
sparse,fmar,40,200,2,12,BLP-FMAR,2,6,-0.02050311822,0.006778848283,0.007199226139,0.0848482536,0.85,0.2793429564,NaN,NaN
sparse,fmar,40,200,2,12,BLP-FMAR,2,7,-0.008935626802,0.004758946594,0.00483879202,0.06956142624,0.925,0.2799790756,NaN,NaN
sparse,fmar,40,200,2,12,BLP-FMAR,2,8,-0.001241141333,0.005037955968,0.0050394964,0.07098941048,0.925,0.2898093012,NaN,NaN
sparse,fmar,40,200,2,12,BLP-FMAR,2,9,0.00359341344,0.004423523461,0.004436436081,0.06660657686,0.975,0.3018020486,NaN,NaN
sparse,fmar,40,200,2,12,BLP-FMAR,2,10,0.005428159865,0.005044133041,0.005073597961,0.07122919318,0.975,0.3056459509,NaN,NaN
sparse,fmar,40,200,2,12,BLP-FMAR,2,11,0.004144306597,0.004754727505,0.004771902783,0.06907896049,0.975,0.2828805216,NaN,NaN
sparse,fmar,40,200,2,12,BLP-FMAR,2,12,-0.003194154858,0.005211366693,0.005221569318,0.07226042706,0.925,0.2917008927,NaN,NaN
sparse,fmar,40,200,2,12,BLP-FMAR,3,1,-0.06601946087,0.005843986098,0.01020255531,0.1010076993,0.725,0.217376851,NaN,NaN
sparse,fmar,40,200,2,12,BLP-FMAR,3,2,-0.09553448261,0.00369579497,0.01282263234,0.1132370626,0.625,0.2165142661,NaN,NaN
sparse,fmar,40,200,2,12,BLP-FMAR,3,3,-0.01505157076,0.003980565301,0.004207115084,0.06486227782,0.925,0.2285814649,NaN,NaN
sparse,fmar,40,200,2,12,BLP-FMAR,3,4,-0.0159091181,0.003643323555,0.003896423594,0.06242133925,0.925,0.2404470207,NaN,NaN
sparse,fmar,40,200,2,12,BLP-FMAR,3,5,0.006024548187,0.004153699303,0.004189994484,0.06473016672,0.975,0.2453120953,NaN,NaN
sparse,fmar,40,200,2,12,BLP-FMAR,3,6,0.01082184418,0.004090321338,0.004207433649,0.06486473348,0.925,0.2509858467,NaN,NaN
sparse,fmar,40,200,2,12,BLP-FMAR,3,7,0.02188543369,0.005548783092,0.0060277553,0.0776386199,0.925,0.2686505258,NaN,NaN
sparse,fmar,40,200,2,12,BLP-FMAR,3,8,0.02699357828,0.00510315097,0.005831804238,0.07636625065,0.9,0.2619100536,NaN,NaN
sparse,fmar,40,200,2,12,BLP-FMAR,3,9,0.03013488813,0.004621832082,0.005529943565,0.07436359032,0.825,0.2628428362,NaN,NaN
sparse,fmar,40,200,2,12,BLP-FMAR,3,10,0.02816636872,0.003797767471,0.004591111798,0.06775774345,0.925,0.2742233326,NaN,NaN
sparse,fmar,40,200,2,12,BLP-FMAR,3,11,0.02684153229,0.003567969157,0.004288437012,0.06548615894,0.95,0.2676730192,NaN,NaN
sparse,fmar,40,200,2,12,BLP-FMAR,3,12,0.017709375,0.003342075349,0.003655697312,0.06046236277,0.975,0.2793598489,NaN,NaN
sparse,fmar,40,200,2,12,BLP-block,1,1,-0.01909253857,0.004589877078,0.004954402107,0.07038751386,0.9,0.2291357019,0.55,0.1152157416
sparse,fmar,40,200,2,12,BLP-block,1,2,-0.0284316354,0.00419124744,0.004999605332,0.07070788734,0.925,0.2513899655,0.8,0.1548415416
sparse,fmar,40,200,2,12,BLP-block,1,3,-0.04188896078,0.004659081807,0.006413766843,0.08008599655,0.875,0.2763830056,0.75,0.1667691128
sparse,fmar,40,200,2,12,BLP-block,1,4,-0.04300421992,0.005467931875,0.007317294806,0.08554118778,0.875,0.2992710806,0.775,0.1694943242
sparse,fmar,40,200,2,12,BLP-block,1,5,-0.03880871326,0.005470820806,0.006976937031,0.08352806134,0.925,0.3124431136,0.8,0.1815211828
sparse,fmar,40,200,2,12,BLP-block,1,6,-0.03869618791,0.006276608975,0.007774003934,0.08817031209,0.925,0.3157296849,0.75,0.1852958598
sparse,fmar,40,200,2,12,BLP-block,1,7,-0.03531091847,0.004898488692,0.006145349655,0.07839228059,0.925,0.3195923448,0.75,0.1842647224
sparse,fmar,40,200,2,12,BLP-block,1,8,-0.0328406977,0.005237361334,0.00631587276,0.07947246542,0.95,0.32373964,0.775,0.1879861142
sparse,fmar,40,200,2,12,BLP-block,1,9,-0.02460757411,0.004104587369,0.004710120073,0.06863031453,0.95,0.3197925993,0.8,0.1891805509
sparse,fmar,40,200,2,12,BLP-block,1,10,-0.01816363587,0.003563615425,0.003893533093,0.06239818181,1,0.3225762911,0.8,0.191444992
sparse,fmar,40,200,2,12,BLP-block,1,11,-0.01582353164,0.003318522669,0.003568906822,0.05974032827,1,0.3150106655,0.825,0.1891915765
sparse,fmar,40,200,2,12,BLP-block,1,12,-0.01971696621,0.002986410714,0.00337516947,0.05809620874,0.975,0.3125270334,0.875,0.1884949139
