dgp,scale_estimator,equation,block,horizon,tau_mean,tau_median,p_tau_gt1
sparse,block,1,1,1,0.5733432194,0.3965713005,0.14875
sparse,block,1,1,2,0.5998356028,0.4172326227,0.1621875
sparse,block,1,1,3,0.6728002933,0.4642021483,0.1980625
sparse,block,1,1,4,0.7210037524,0.5115761776,0.2240625
sparse,block,1,1,5,0.8023441772,0.5785249185,0.2603125
sparse,block,1,1,6,0.8731044589,0.6157879455,0.2915625
sparse,block,1,1,7,0.8818050934,0.6288487738,0.297625
sparse,block,1,1,8,0.9206550217,0.6683078971,0.3209375
sparse,block,1,1,9,0.9943340537,0.7297710427,0.345375
sparse,block,1,1,10,1.059233429,0.7696501184,0.36925
sparse,block,1,1,11,1.091919398,0.7922145731,0.3729375
sparse,block,1,1,12,1.083968666,0.7838231841,0.3779375
sparse,block,1,2,1,0.5530876559,0.3748774219,0.139125
sparse,block,1,2,2,0.5699758821,0.3884755117,0.148
sparse,block,1,2,3,0.697002935,0.5012966624,0.216
sparse,block,1,2,4,0.7330351676,0.5307575636,0.2329375
sparse,block,1,2,5,0.842093462,0.6047612148,0.28275
sparse,block,1,2,6,0.8901871338,0.6483882019,0.3065625
sparse,block,1,2,7,0.8455760329,0.6026937807,0.2810625
sparse,block,1,2,8,0.9116512421,0.6706933983,0.31325
sparse,block,1,2,9,0.9372997325,0.6934932119,0.32
sparse,block,1,2,10,1.012899174,0.7343738457,0.35075
sparse,block,1,2,11,1.040280565,0.7513685968,0.3623125
sparse,block,1,2,12,1.131981072,0.8306086409,0.3975625
sparse,block,1,3,1,0.5654690209,0.3901860804,0.1476875
sparse,block,1,3,2,0.5751066499,0.3913496061,0.1501875
sparse,block,1,3,3,0.6661148828,0.4689220625,0.19375
sparse,block,1,3,4,0.6835623753,0.4827782005,0.203125
sparse,block,1,3,5,0.7582604443,0.5457808667,0.2413125
sparse,block,1,3,6,0.8298596858,0.6044750949,0.28025
sparse,block,1,3,7,0.883386057,0.6407009946,0.304125
sparse,block,1,3,8,0.9429255445,0.6949528713,0.3329375
sparse,block,1,3,9,0.9550318248,0.7003498278,0.3346875
sparse,block,1,3,10,1.02925153,0.7564652786,0.3624375
sparse,block,1,3,11,1.047994336,0.7747876056,0.377875
sparse,block,1,3,12,1.05923763,0.7886622141,0.376125
sparse,block,2,1,1,0.5535761677,0.3711925356,0.1408125
sparse,block,2,1,2,0.6037220151,0.4162843274,0.1699375
sparse,block,2,1,3,0.673883095,0.4645030304,0.2025625
sparse,block,2,1,4,0.784117256,0.5456398318,0.2418125
sparse,block,2,1,5,0.8395407866,0.5972760319,0.2765
sparse,block,2,1,6,0.8594144273,0.6192449238,0.2889375
sparse,block,2,1,7,0.8892894766,0.6340366346,0.3005625
sparse,block,2,1,8,0.9868356238,0.7069255793,0.3455625
sparse,block,2,1,9,1.073180705,0.7714915941,0.373625
sparse,block,2,1,10,1.093382382,0.803519745,0.395
sparse,block,2,1,11,1.196575308,0.888701371,0.4235
sparse,block,2,1,12,1.267266738,0.9476598697,0.4549375
sparse,block,2,2,1,0.5557282611,0.3668604386,0.143875
sparse,block,2,2,2,0.6212708198,0.4185475539,0.1714375
sparse,block,2,2,3,0.6526959474,0.4381751329,0.1885
sparse,block,2,2,4,0.7268296099,0.5033904904,0.225375
sparse,block,2,2,5,0.7439789547,0.5304376645,0.236625
sparse,block,2,2,6,0.8326165483,0.5920329944,0.2745625
sparse,block,2,2,7,0.8812854599,0.6380438564,0.2974375
sparse,block,2,2,8,0.9069539115,0.6538075068,0.316625
sparse,block,2,2,9,0.9650126797,0.6977347734,0.33675
sparse,block,2,2,10,1.002778795,0.7253098379,0.3478125
sparse,block,2,2,11,1.010828691,0.7169847267,0.346875
sparse,block,2,2,12,1.102107395,0.8053206897,0.39025
sparse,block,2,3,1,0.5493707342,0.3653955132,0.1408125
sparse,block,2,3,2,0.5709135979,0.3918268357,0.1511875
sparse,block,2,3,3,0.6622339392,0.4649955105,0.1909375
sparse,block,2,3,4,0.7165076627,0.5161142243,0.2223125
sparse,block,2,3,5,0.8207062558,0.6041862599,0.2740625
sparse,block,2,3,6,0.8447730778,0.6271205825,0.2844375
sparse,block,2,3,7,0.9201602604,0.6820668843,0.3199375
sparse,block,2,3,8,0.9193233708,0.6746472923,0.3180625
sparse,block,2,3,9,1.006299327,0.7430552286,0.351125
sparse,block,2,3,10,0.9720967702,0.7118290586,0.3331875
sparse,block,2,3,11,1.024021351,0.7402494134,0.348625
sparse,block,2,3,12,1.087300189,0.8170394755,0.387
sparse,block,3,1,1,0.5739451556,0.3918558145,0.150875
sparse,block,3,1,2,1.199178484,0.9057546575,0.4396875
sparse,block,3,1,3,1.04748955,0.7962992871,0.385625
sparse,block,3,1,4,1.081360062,0.8154004249,0.3936875
sparse,block,3,1,5,1.187450332,0.8945648544,0.4344375
sparse,block,3,1,6,1.201633053,0.9167163585,0.4411875
sparse,block,3,1,7,1.150533649,0.859931906,0.421125
sparse,block,3,1,8,1.200578016,0.9193025607,0.44175
sparse,block,3,1,9,1.188557894,0.8755021891,0.4281875
sparse,block,3,1,10,1.227107247,0.9238327581,0.4469375
sparse,block,3,1,11,1.239995973,0.9249120172,0.4426875
sparse,block,3,1,12,1.313021115,0.9844061906,0.4664375
sparse,block,3,2,1,0.5423946119,0.3702483872,0.1371875
sparse,block,3,2,2,0.6597081002,0.4526338259,0.1931875
sparse,block,3,2,3,0.7486893085,0.537584951,0.2343125
