dgp,mode,R,T,p,H,estimator,variable,irmse_legacy_h1,irmse_h2,irmse_early,irmse_late,ibias_h2,ivar_h2
sparse,fmar,40,200,2,12,LP,1,0.09481845245,0.09682083979,0.09395471595,0.09920927632,0.01926384195,0.009084671755
sparse,fmar,40,200,2,12,LP,2,0.09238712701,0.09449508161,0.09207302993,0.096513458,0.01012610607,0.008895044547
sparse,fmar,40,200,2,12,LP,3,0.09543165045,0.09382522866,0.08167438774,0.1039509294,0.01827483796,0.008472210794
sparse,fmar,40,200,2,12,BVAR,1,0.06031662278,0.05936894619,0.07863236915,0.04331609371,0.02533016184,0.00293539367
sparse,fmar,40,200,2,12,BVAR,2,0.0628693743,0.06284681719,0.06819266008,0.05839194811,0.02904421613,0.002938416932
sparse,fmar,40,200,2,12,BVAR,3,0.1423393394,0.1442727264,0.1734231945,0.1199806696,0.1325877651,0.003049994094
sparse,fmar,40,200,2,12,BLP-FMAR,1,0.07700825682,0.0774906877,0.0846707217,0.07150732604,0.02509367866,0.005403875011
sparse,fmar,40,200,2,12,BLP-FMAR,2,0.07552441235,0.07636685788,0.08166093968,0.07195512305,0.01445365583,0.005606606643
sparse,fmar,40,200,2,12,BLP-FMAR,3,0.08660124443,0.08369842015,0.08026006967,0.08656371221,0.03940088021,0.005095668669
sparse,fmar,40,200,2,12,BLP-block,1,0.07385239136,0.07412283858,0.08285357871,0.0668472218,0.02768903693,0.004710772276
sparse,fmar,40,200,2,12,BLP-block,2,0.07373532558,0.07457806349,0.07723307769,0.07236555166,0.01532417447,0.005270842974
sparse,fmar,40,200,2,12,BLP-block,3,0.08778396283,0.08487574438,0.07705782724,0.09139067534,0.03307301455,0.005953694996
sparse,fmar,40,200,2,12,BLP-pooled,1,0.07071507856,0.07074380242,0.0827094871,0.06077239853,0.02843609688,0.004108654294
sparse,fmar,40,200,2,12,BLP-pooled,2,0.07167683901,0.07241792191,0.07520403832,0.07009615824,0.0180606549,0.004829222265
sparse,fmar,40,200,2,12,BLP-pooled,3,0.08718124122,0.08452340105,0.07870570765,0.08937147889,0.0310315592,0.005971307633
