dgp,mode,R,T,p,H,estimator,variable,irmse_legacy_h1,irmse_h2,irmse_early,irmse_late,ibias_h2,ivar_h2
dense,fmar,40,200,2,12,LP,1,0.1181439928,0.1234960109,0.1120874346,0.1330031578,0.03537463948,0.0141461489
dense,fmar,40,200,2,12,LP,2,0.1097557976,0.1116649558,0.1095513333,0.1134263078,0.02818929375,0.01164619237
dense,fmar,40,200,2,12,LP,3,0.1031581416,0.1054015296,0.1002796432,0.1096697682,0.02128586382,0.01073134068
dense,fmar,40,200,2,12,BVAR,1,0.08215307665,0.0829561408,0.09485906048,0.07303704108,0.04212839306,0.005219301742
dense,fmar,40,200,2,12,BVAR,2,0.07665873599,0.07551674963,0.08354675694,0.06882507687,0.03664104634,0.004431515505
dense,fmar,40,200,2,12,BVAR,3,0.0678994062,0.06712136475,0.07418063527,0.06123863932,0.03036108338,0.003648870745
dense,fmar,40,200,2,12,BLP-FMAR,1,0.09112091481,0.09358063218,0.09634000925,0.0912811513,0.04672356782,0.006580779739
dense,fmar,40,200,2,12,BLP-FMAR,2,0.08551224892,0.08525165067,0.08884868838,0.08225411924,0.03700418946,0.005908760481
dense,fmar,40,200,2,12,BLP-FMAR,3,0.0813483347,0.08169504365,0.08147538093,0.08187809592,0.03005205238,0.005788370299
dense,fmar,40,200,2,12,BLP-block,1,0.09123050232,0.09326653282,0.09572582356,0.09121712388,0.04666524381,0.006536631887
dense,fmar,40,200,2,12,BLP-block,2,0.08346102793,0.08300295991,0.08583269156,0.08064485019,0.03668084013,0.005543387384
dense,fmar,40,200,2,12,BLP-block,3,0.08144170641,0.08186243655,0.08007144967,0.08335492561,0.03067679547,0.005788377251
dense,fmar,40,200,2,12,BLP-pooled,1,0.09060982814,0.09246553819,0.09590217317,0.0896016757,0.0486217654,0.006206669845
dense,fmar,40,200,2,12,BLP-pooled,2,0.08197768705,0.08137468944,0.08434248661,0.07890152513,0.03987921361,0.0050287865
dense,fmar,40,200,2,12,BLP-pooled,3,0.08023595379,0.0805337683,0.07910241936,0.08172655909,0.03208636774,0.005476136013
