dgp,mode,R,T,p,H,estimator,variable,horizon,bias,variance,mse,rmse,coverage,avg_len,coverage_post,avg_len_post
dense,fmar,40,200,2,12,LP,1,1,-0.01486279727,0.003292242751,0.003513145494,0.05927179341,0.95,0.2210781363,NaN,NaN
dense,fmar,40,200,2,12,LP,1,2,-0.02527425746,0.009085809121,0.009724597211,0.09861337237,0.85,0.2895455303,NaN,NaN
dense,fmar,40,200,2,12,LP,1,3,-0.02573179557,0.009653294825,0.01031542013,0.1015648568,0.9,0.3414985931,NaN,NaN
dense,fmar,40,200,2,12,LP,1,4,-0.02838114195,0.009374844202,0.01018033342,0.1008976383,0.9,0.3594542055,NaN,NaN
dense,fmar,40,200,2,12,LP,1,5,-0.0204414976,0.01529344516,0.01571129998,0.1253447246,0.875,0.3782178092,NaN,NaN
dense,fmar,40,200,2,12,LP,1,6,-0.05033159894,0.01542717407,0.01796044392,0.1340165808,0.8,0.3778840079,NaN,NaN
dense,fmar,40,200,2,12,LP,1,7,-0.04140420522,0.01256736967,0.01428167788,0.1195059743,0.875,0.3839526296,NaN,NaN
dense,fmar,40,200,2,12,LP,1,8,-0.03858802343,0.01454801076,0.01603704631,0.1266374601,0.875,0.3786169206,NaN,NaN
dense,fmar,40,200,2,12,LP,1,9,-0.05646566305,0.01382847514,0.01701684624,0.1304486345,0.8,0.3771246203,NaN,NaN
dense,fmar,40,200,2,12,LP,1,10,-0.03757221269,0.01743649928,0.01884817044,0.1372886392,0.775,0.3915199812,NaN,NaN
dense,fmar,40,200,2,12,LP,1,11,-0.03254154647,0.01687039843,0.01792935068,0.1339005253,0.875,0.3919709049,NaN,NaN
dense,fmar,40,200,2,12,LP,1,12,-0.03238909195,0.02152231729,0.02257137057,0.1502377135,0.8,0.4082385848,NaN,NaN
dense,fmar,40,200,2,12,LP,2,1,-0.03577188674,0.006597832378,0.007877460259,0.08875505765,0.775,0.2138917979,NaN,NaN
dense,fmar,40,200,2,12,LP,2,2,-0.0306667166,0.007955632832,0.008896080339,0.09431903487,0.85,0.2834608977,NaN,NaN
dense,fmar,40,200,2,12,LP,2,3,-0.03001761795,0.009956817077,0.01085787446,0.1042011251,0.925,0.3176042326,NaN,NaN
dense,fmar,40,200,2,12,LP,2,4,-0.043131957,0.01072665925,0.01258702496,0.1121919113,0.875,0.3391229742,NaN,NaN
dense,fmar,40,200,2,12,LP,2,5,-0.03955061844,0.01194516374,0.01350941516,0.1162300097,0.85,0.3497925655,NaN,NaN
dense,fmar,40,200,2,12,LP,2,6,-0.02634171865,0.01390227795,0.01459616409,0.1208145856,0.75,0.3488490508,NaN,NaN
dense,fmar,40,200,2,12,LP,2,7,-0.03588231494,0.01232451095,0.01361205147,0.1166706967,0.875,0.3590151696,NaN,NaN
dense,fmar,40,200,2,12,LP,2,8,-0.02527191855,0.01228787765,0.01292654752,0.1136949758,0.875,0.3530156578,NaN,NaN
dense,fmar,40,200,2,12,LP,2,9,-0.0247353614,0.0116192117,0.0122310498,0.1105940767,0.875,0.3532107349,NaN,NaN
dense,fmar,40,200,2,12,LP,2,10,-0.01862802207,0.01379707579,0.014144079,0.1189288821,0.775,0.3747501723,NaN,NaN
dense,fmar,40,200,2,12,LP,2,11,-0.01041112961,0.01189011388,0.0119985055,0.1095376898,0.875,0.3672726917,NaN,NaN
dense,fmar,40,200,2,12,LP,2,12,-0.02544485602,0.01170277528,0.01235021598,0.1111315256,0.875,0.3736447176,NaN,NaN
dense,fmar,40,200,2,12,LP,3,1,-0.03110522984,0.005191712209,0.006159247532,0.07848087367,0.8,0.1908434471,NaN,NaN
dense,fmar,40,200,2,12,LP,3,2,-0.02755575544,0.007496659815,0.008255979473,0.09086242058,0.825,0.2427563215,NaN,NaN
dense,fmar,40,200,2,12,LP,3,3,-0.02512980786,0.007490285712,0.008121792955,0.09012099065,0.9,0.2712105834,NaN,NaN
dense,fmar,40,200,2,12,LP,3,4,-0.02205175008,0.007953202469,0.008439482151,0.09186665418,0.8,0.2949911479,NaN,NaN
dense,fmar,40,200,2,12,LP,3,5,-0.02539788439,0.01242583406,0.01307088659,0.1143279781,0.825,0.3119162667,NaN,NaN
dense,fmar,40,200,2,12,LP,3,6,-0.01844295132,0.01270610535,0.0130462478,0.1142201725,0.825,0.3219131219,NaN,NaN
dense,fmar,40,200,2,12,LP,3,7,-0.009512931483,0.009879655036,0.009970150901,0.09985064297,0.95,0.3266424363,NaN,NaN
dense,fmar,40,200,2,12,LP,3,8,-0.01425475593,0.01234136027,0.01254455834,0.1120024926,0.875,0.3265427062,NaN,NaN
dense,fmar,40,200,2,12,LP,3,9,-0.02442373886,0.01327162805,0.01386814707,0.1177630972,0.9,0.3291344917,NaN,NaN
dense,fmar,40,200,2,12,LP,3,10,-0.02543610656,0.01178838785,0.01243538336,0.1115140501,0.85,0.3348783218,NaN,NaN
dense,fmar,40,200,2,12,LP,3,11,-0.0220018086,0.01018686103,0.01067094061,0.103300245,0.875,0.3290626131,NaN,NaN
dense,fmar,40,200,2,12,LP,3,12,-0.01993701147,0.0125047678,0.01290225222,0.1135880813,0.875,0.3350597541,NaN,NaN
dense,fmar,40,200,2,12,BVAR,1,1,-0.04967616783,0.002908008502,0.005375730153,0.07331937092,0.85,0.2177045763,NaN,NaN
dense,fmar,40,200,2,12,BVAR,1,2,-0.04598579132,0.005011751014,0.007126444018,0.08441826827,0.85,0.2362886298,NaN,NaN
dense,fmar,40,200,2,12,BVAR,1,3,-0.05179463851,0.006514033597,0.009196718175,0.09589952125,0.85,0.2659840735,NaN,NaN
dense,fmar,40,200,2,12,BVAR,1,4,-0.05319707723,0.00718564937,0.0100155784,0.1000778617,0.825,0.2860866729,NaN,NaN
dense,fmar,40,200,2,12,BVAR,1,5,-0.05184829063,0.007117817677,0.009806062918,0.09902556699,0.85,0.2913574095,NaN,NaN
dense,fmar,40,200,2,12,BVAR,1,6,-0.04894005077,0.006605963288,0.009001091857,0.09487408422,0.85,0.2834336137,NaN,NaN
dense,fmar,40,200,2,12,BVAR,1,7,-0.04519569801,0.005894033767,0.007936684885,0.08908807376,0.85,0.2734934148,NaN,NaN
dense,fmar,40,200,2,12,BVAR,1,8,-0.04113914768,0.005132699639,0.00682512911,0.08261433962,0.875,0.2595443833,NaN,NaN
dense,fmar,40,200,2,12,BVAR,1,9,-0.03704844786,0.004402375225,0.005774962714,0.07599317544,0.875,0.2450587769,NaN,NaN
dense,fmar,40,200,2,12,BVAR,1,10,-0.03308447438,0.003739406436,0.004833988881,0.06952689322,0.875,0.2307306166,NaN,NaN
dense,fmar,40,200,2,12,BVAR,1,11,-0.02933441423,0.003156107405,0.004016615263,0.06337677227,0.875,0.2153842795,NaN,NaN
dense,fmar,40,200,2,12,BVAR,1,12,-0.02584429302,0.002652481743,0.003320409224,0.05762299215,0.875,0.1996405604,NaN,NaN
dense,fmar,40,200,2,12,BVAR,2,1,-0.04902074467,0.005557279554,0.007960312962,0.08922058597,0.725,0.2017143425,NaN,NaN
dense,fmar,40,200,2,12,BVAR,2,2,-0.02751149889,0.004951582266,0.005708464837,0.07555438331,0.875,0.21478129,NaN,NaN
dense,fmar,40,200,2,12,BVAR,2,3,-0.03729749591,0.005513866979,0.006904970181,0.08309615022,0.875,0.2427982627,NaN,NaN
dense,fmar,40,200,2,12,BVAR,2,4,-0.04112414706,0.005795856754,0.007487052225,0.08652775408,0.85,0.2552371941,NaN,NaN
dense,fmar,40,200,2,12,BVAR,2,5,-0.04356867484,0.005713584352,0.00761181378,0.08724570923,0.85,0.2584071395,NaN,NaN
dense,fmar,40,200,2,12,BVAR,2,6,-0.04363519861,0.00537372935,0.007277759908,0.08530978788,0.85,0.255518631,NaN,NaN
dense,fmar,40,200,2,12,BVAR,2,7,-0.04225229318,0.004886326824,0.006671583103,0.08167975945,0.825,0.246115318,NaN,NaN
dense,fmar,40,200,2,12,BVAR,2,8,-0.03987424051,0.004337739513,0.00592769457,0.07699152271,0.8,0.2327669463,NaN,NaN
dense,fmar,40,200,2,12,BVAR,2,9,-0.03690898832,0.003784363811,0.005146637229,0.07174006711,0.825,0.2195763352,NaN,NaN
dense,fmar,40,200,2,12,BVAR,2,10,-0.03364042747,0.003258998948,0.004390677308,0.06626218611,0.85,0.2059705248,NaN,NaN
dense,fmar,40,200,2,12,BVAR,2,11,-0.03027687924,0.002778958782,0.003695648198,0.06079184319,0.85,0.1917247856,NaN,NaN
dense,fmar,40,200,2,12,BVAR,2,12,-0.02696166566,0.00235166298,0.003078594395,0.05548508263,0.875,0.177253262,NaN,NaN
dense,fmar,40,200,2,12,BVAR,3,1,-0.03969950122,0.00426975428,0.005845804677,0.0764578621,0.75,0.1777586792,NaN,NaN
dense,fmar,40,200,2,12,BVAR,3,2,-0.02319493793,0.003913255048,0.004451260194,0.0667177652,0.875,0.1836325589,NaN,NaN
dense,fmar,40,200,2,12,BVAR,3,3,-0.03132015224,0.004511390316,0.005492342252,0.07411033836,0.9,0.2089517788,NaN,NaN
dense,fmar,40,200,2,12,BVAR,3,4,-0.03289894901,0.004812349647,0.005894690493,0.07677688776,0.9,0.2222513342,NaN,NaN
dense,fmar,40,200,2,12,BVAR,3,5,-0.03499373027,0.00477337449,0.005997935648,0.07744634044,0.875,0.2238074425,NaN,NaN
dense,fmar,40,200,2,12,BVAR,3,6,-0.03538235105,0.004501591562,0.005753502328,0.07585184459,0.85,0.2216393651,NaN,NaN
dense,fmar,40,200,2,12,BVAR,3,7,-0.03470112592,0.004086578883,0.005290747023,0.07273752142,0.85,0.2133425995,NaN,NaN
dense,fmar,40,200,2,12,BVAR,3,8,-0.0331231055,0.003609142742,0.00470628286,0.06860235316,0.85,0.2034433565,NaN,NaN
dense,fmar,40,200,2,12,BVAR,3,9,-0.0309657432,0.003124597645,0.004083474897,0.06390207271,0.85,0.1919388563,NaN,NaN
dense,fmar,40,200,2,12,BVAR,3,10,-0.02846358704,0.002666394548,0.003476570335,0.05896244852,0.875,0.1805401669,NaN,NaN
dense,fmar,40,200,2,12,BVAR,3,11,-0.02580429998,0.002251725686,0.002917587584,0.05401469785,0.9,0.1693062179,NaN,NaN
dense,fmar,40,200,2,12,BVAR,3,12,-0.02312393506,0.001887177624,0.002421893997,0.04921274222,0.9,0.1571973551,NaN,NaN
dense,fmar,40,200,2,12,BLP-FMAR,1,1,-0.03202269956,0.003078745851,0.004104199138,0.06406402375,0.95,0.2191183323,NaN,NaN
