dgp,scale_estimator,equation,block,horizon,tau_mean,tau_median,p_tau_gt1
dense,block,1,1,1,0.5609646497,0.3833953257,0.1454375
dense,block,1,1,2,0.6109894388,0.4183637909,0.1696875
dense,block,1,1,3,0.6615278693,0.4449680382,0.195
dense,block,1,1,4,0.7385855594,0.5068868978,0.236875
dense,block,1,1,5,0.7688434795,0.5403647698,0.2469375
dense,block,1,1,6,0.9298030868,0.6641315632,0.3135
dense,block,1,1,7,0.9590285973,0.6982470558,0.334
dense,block,1,1,8,1.015196837,0.7530079386,0.361375
dense,block,1,1,9,1.07018671,0.782026553,0.3815
dense,block,1,1,10,1.155916948,0.8536359951,0.4148125
dense,block,1,1,11,1.191864958,0.8750358855,0.428375
dense,block,1,1,12,1.189844229,0.8752823273,0.4268125
dense,block,1,2,1,0.5401400204,0.3633904551,0.1380625
dense,block,1,2,2,0.6208055809,0.4201245175,0.174875
dense,block,1,2,3,0.671820617,0.4611902466,0.2034375
dense,block,1,2,4,0.7347853236,0.5194924084,0.232
dense,block,1,2,5,0.8106485763,0.5729130125,0.266875
dense,block,1,2,6,0.8858248069,0.626404937,0.301625
dense,block,1,2,7,0.88471315,0.6243474362,0.2988125
dense,block,1,2,8,0.9821292289,0.7133039934,0.341625
dense,block,1,2,9,1.034794487,0.7432516815,0.3585625
dense,block,1,2,10,1.035975218,0.7506279349,0.3555
dense,block,1,2,11,1.089621501,0.7827436656,0.3868125
dense,block,1,2,12,1.058143612,0.7606368247,0.372625
dense,block,1,3,1,0.5286115051,0.3505139583,0.13725
dense,block,1,3,2,0.6193143266,0.4238761053,0.1728125
dense,block,1,3,3,0.7114396268,0.4960871965,0.2135
dense,block,1,3,4,0.78661051,0.5530148531,0.2533125
dense,block,1,3,5,0.8628852667,0.6255745533,0.286125
dense,block,1,3,6,0.8832539652,0.6368169545,0.3041875
dense,block,1,3,7,0.9099249699,0.652550233,0.30825
dense,block,1,3,8,0.9482232634,0.6804340902,0.332375
dense,block,1,3,9,0.9774240618,0.7020803706,0.342625
dense,block,1,3,10,1.012951796,0.7278616948,0.362625
dense,block,1,3,11,0.9870027183,0.7150592776,0.3506875
dense,block,1,3,12,1.075388785,0.7787411547,0.3788125
dense,block,2,1,1,0.53049479,0.3537502994,0.131875
dense,block,2,1,2,0.5875325166,0.3830158368,0.16125
dense,block,2,1,3,0.6643872622,0.4504441581,0.197625
dense,block,2,1,4,0.7846477014,0.5531392452,0.254625
dense,block,2,1,5,0.8289072924,0.5914681929,0.2768125
dense,block,2,1,6,0.9083939886,0.6690895693,0.3161875
dense,block,2,1,7,0.9594132504,0.6919105425,0.3328125
dense,block,2,1,8,0.9325879118,0.6633271999,0.3224375
dense,block,2,1,9,1.020442187,0.7319821855,0.35575
dense,block,2,1,10,1.025521472,0.7382639427,0.3669375
dense,block,2,1,11,1.074803428,0.776549212,0.38125
dense,block,2,1,12,1.092086326,0.7948357019,0.394375
dense,block,2,2,1,0.5573827353,0.3646513472,0.1423125
dense,block,2,2,2,0.6048483725,0.4023245699,0.1711875
dense,block,2,2,3,0.6820606694,0.4634143415,0.20175
dense,block,2,2,4,0.7440022323,0.5109588047,0.230875
dense,block,2,2,5,0.8309253589,0.5894714242,0.276375
dense,block,2,2,6,0.8705302027,0.6224586906,0.2891875
dense,block,2,2,7,0.9439216173,0.6759047758,0.318125
dense,block,2,2,8,1.03156191,0.7355387552,0.359
dense,block,2,2,9,1.112613876,0.8240329364,0.400125
dense,block,2,2,10,1.124875928,0.824135175,0.4054375
dense,block,2,2,11,1.130320364,0.8222221653,0.4041875
dense,block,2,2,12,1.048042989,0.7526899591,0.3571875
dense,block,2,3,1,0.5301717667,0.3513756604,0.134125
dense,block,2,3,2,0.6319513083,0.4279569929,0.179875
dense,block,2,3,3,0.6979979423,0.484906641,0.2111875
dense,block,2,3,4,0.7752299762,0.5380275039,0.2461875
dense,block,2,3,5,0.8068712764,0.5821520683,0.2635625
dense,block,2,3,6,0.8278710486,0.5863180686,0.2720625
dense,block,2,3,7,0.9373298916,0.6653656549,0.3174375
dense,block,2,3,8,0.912139896,0.6530829223,0.3099375
dense,block,2,3,9,1.018864642,0.7431692164,0.35775
dense,block,2,3,10,1.060399454,0.7819806806,0.3759375
dense,block,2,3,11,1.09087794,0.799794282,0.386125
dense,block,2,3,12,1.110913474,0.8095734607,0.389
dense,block,3,1,1,0.530123722,0.3593249902,0.1333125
dense,block,3,1,2,0.6119295985,0.3991192134,0.171125
dense,block,3,1,3,0.6945878245,0.4683789247,0.209125
dense,block,3,1,4,0.8114340483,0.5730136027,0.261375
dense,block,3,1,5,0.9306595023,0.6748646138,0.3204375
dense,block,3,1,6,0.9973517788,0.7242003778,0.3500625
dense,block,3,1,7,1.04178891,0.7646194663,0.3666875
dense,block,3,1,8,1.095770827,0.8289382776,0.3901875
dense,block,3,1,9,1.119004137,0.8269857832,0.4045625
dense,block,3,1,10,1.145909148,0.8455809714,0.4089375
dense,block,3,1,11,1.214159035,0.903478669,0.4480625
dense,block,3,1,12,1.284260761,0.9453588484,0.4565625
dense,block,3,2,1,0.5525494121,0.3702056784,0.141375
dense,block,3,2,2,0.660600285,0.4517393451,0.1940625
dense,block,3,2,3,0.6542634687,0.455506696,0.1940625
dense,block,3,2,4,0.7653653094,0.5335787889,0.2425625
dense,block,3,2,5,0.8699729633,0.6119627952,0.2914375
dense,block,3,2,6,0.9840973595,0.7116073019,0.3408125
dense,block,3,2,7,1.021627652,0.7424537203,0.3591875
dense,block,3,2,8,1.042306396,0.7726832753,0.370625
dense,block,3,2,9,1.055173976,0.7638061534,0.375125
dense,block,3,2,10,1.043410554,0.7586043562,0.3704375
dense,block,3,2,11,1.08857444,0.7781127688,0.377875
dense,block,3,2,12,1.115410043,0.7999211322,0.3833125
dense,block,3,3,1,0.5501468019,0.3708113842,0.1390625
dense,block,3,3,2,0.6277464705,0.4268086078,0.18025
dense,block,3,3,3,0.6972488028,0.480910104,0.213375
dense,block,3,3,4,0.8051983072,0.576180272,0.2615
dense,block,3,3,5,0.7933944346,0.5584302442,0.2591875
dense,block,3,3,6,0.8578274461,0.6199851418,0.294125
dense,block,3,3,7,0.9118428891,0.6491972722,0.306625
dense,block,3,3,8,0.8850226042,0.6363575869,0.3010625
dense,block,3,3,9,0.9614252069,0.7017316426,0.3371875
dense,block,3,3,10,1.071312859,0.7920476207,0.383875
dense,block,3,3,11,1.149587537,0.8459242743,0.4023125
dense,block,3,3,12,1.189590533,0.8739979939,0.420875
dense,pooled,1,1,1,0.3445085296,0.2979839949,0.0356875
dense,pooled,1,1,2,0.33438684,0.2954282354,0.0339375
dense,pooled,1,1,3,0.3375927697,0.2999117477,0.0369375
dense,pooled,1,1,4,0.3549713772,0.3161712104,0.05125
dense,pooled,1,1,5,0.3805459843,0.3420045589,0.069875
dense,pooled,1,1,6,0.4164290176,0.3736836538,0.0955625
dense,pooled,1,1,7,0.4562664021,0.4094680374,0.1211875
dense,pooled,1,1,8,0.4964892388,0.4450880302,0.1470625
dense,pooled,1,1,9,0.5301288737,0.4776565497,0.169625
dense,pooled,1,1,10,0.5627212465,0.5055697122,0.1935625
dense,pooled,1,1,11,0.5986081132,0.5284000042,0.212
dense,pooled,1,1,12,0.6246700628,0.5375933832,0.220125
dense,pooled,1,2,1,0.2920622527,0.2446845848,0.0326875
dense,pooled,1,2,2,0.2829346061,0.2424373186,0.0305625
dense,pooled,1,2,3,0.2838785821,0.2460873908,0.0353125
dense,pooled,1,2,4,0.2938552038,0.2595295414,0.04575
dense,pooled,1,2,5,0.3082809609,0.2733277612,0.0623125
dense,pooled,1,2,6,0.3265368201,0.2893984665,0.0781875
dense,pooled,1,2,7,0.3437144238,0.3024111253,0.0934375
dense,pooled,1,2,8,0.3609947442,0.3172683232,0.1076875
dense,pooled,1,2,9,0.378938685,0.3242242058,0.121875
dense,pooled,1,2,10,0.3945540865,0.3301612488,0.1329375
dense,pooled,1,2,11,0.4089161337,0.3370471348,0.141125
dense,pooled,1,2,12,0.4241053851,0.3369190436,0.1478125
dense,pooled,1,3,1,0.3270830857,0.2803405259,0.040625
dense,pooled,1,3,2,0.3202241409,0.2787703497,0.040125
dense,pooled,1,3,3,0.3233234338,0.2841249849,0.044125
dense,pooled,1,3,4,0.3346533445,0.2966435001,0.0518125
dense,pooled,1,3,5,0.3519780413,0.3148925426,0.060875
dense,pooled,1,3,6,0.3739908646,0.3338602275,0.07475
dense,pooled,1,3,7,0.3978071444,0.355912676,0.09275
dense,pooled,1,3,8,0.4233024491,0.3764946979,0.114125
dense,pooled,1,3,9,0.4501332446,0.3986869115,0.1330625
dense,pooled,1,3,10,0.4706230917,0.4120335894,0.1513125
dense,pooled,1,3,11,0.4891941001,0.4214530074,0.16125
dense,pooled,1,3,12,0.5075779965,0.4240951677,0.169625
dense,pooled,2,1,1,0.3280294717,0.2777915576,0.0361875
dense,pooled,2,1,2,0.3196884005,0.2752639607,0.034
dense,pooled,2,1,3,0.324138945,0.283489368,0.0371875
dense,pooled,2,1,4,0.3362430292,0.2939890533,0.0496875
dense,pooled,2,1,5,0.3540567765,0.312554339,0.0639375
dense,pooled,2,1,6,0.376971676,0.3325761939,0.082875
dense,pooled,2,1,7,0.3960104665,0.3494093148,0.0991875
dense,pooled,2,1,8,0.4128143702,0.3604170664,0.1099375
dense,pooled,2,1,9,0.4287302233,0.3714403225,0.1213125
dense,pooled,2,1,10,0.4453148418,0.3776906497,0.129125
dense,pooled,2,1,11,0.4617968403,0.3837721957,0.140125
dense,pooled,2,1,12,0.4800313727,0.3882230334,0.1446875
dense,pooled,2,2,1,0.3228095452,0.2745382166,0.0379375
dense,pooled,2,2,2,0.3108525305,0.2683430195,0.031375
dense,pooled,2,2,3,0.3120708971,0.2721503436,0.0365625
dense,pooled,2,2,4,0.3258197062,0.2867882147,0.049375
dense,pooled,2,2,5,0.3486949027,0.306853404,0.0670625
dense,pooled,2,2,6,0.37538608,0.3310552439,0.0883125
dense,pooled,2,2,7,0.4041839115,0.3570256947,0.1130625
dense,pooled,2,2,8,0.4313902055,0.3757460791,0.1354375
dense,pooled,2,2,9,0.4595290479,0.39873262,0.153875
dense,pooled,2,2,10,0.4803965723,0.4130886071,0.1698125
dense,pooled,2,2,11,0.4962854607,0.4238727252,0.1744375
dense,pooled,2,2,12,0.51353481,0.4258215756,0.1793125
dense,pooled,2,3,1,0.3143524744,0.2607338075,0.0371875
dense,pooled,2,3,2,0.3047675714,0.257495623,0.035875
dense,pooled,2,3,3,0.3056813112,0.2606779105,0.0356875
dense,pooled,2,3,4,0.3136076649,0.2718895969,0.04175
dense,pooled,2,3,5,0.3270248337,0.2882197673,0.050625
dense,pooled,2,3,6,0.3466402468,0.3072127724,0.06325
dense,pooled,2,3,7,0.3687934066,0.3259238469,0.0803125
dense,pooled,2,3,8,0.3954355805,0.3494291918,0.103
dense,pooled,2,3,9,0.4275068179,0.3759260743,0.1293125
dense,pooled,2,3,10,0.4603484511,0.3986124192,0.15325
dense,pooled,2,3,11,0.4881490276,0.4146836682,0.166875
dense,pooled,2,3,12,0.5105426441,0.4237537203,0.1755625
dense,pooled,3,1,1,0.3840081588,0.3384065797,0.0650625
dense,pooled,3,1,2,0.3790520503,0.3384249097,0.06425
dense,pooled,3,1,3,0.3932269857,0.3570431832,0.0784375
dense,pooled,3,1,4,0.4202385118,0.3839949201,0.103125
dense,pooled,3,1,5,0.4554582734,0.4188302011,0.129625
dense,pooled,3,1,6,0.4932544773,0.4495717858,0.1558125
dense,pooled,3,1,7,0.5342085749,0.486162392,0.18375
dense,pooled,3,1,8,0.5737550744,0.5172680494,0.205375
dense,pooled,3,1,9,0.6066408624,0.549331402,0.229875
dense,pooled,3,1,10,0.6311814823,0.5697367599,0.2483125
dense,pooled,3,1,11,0.6578711729,0.5814972084,0.2614375
dense,pooled,3,1,12,0.6849139149,0.5865891822,0.2685
dense,pooled,3,2,1,0.348184786,0.29497217,0.047375
dense,pooled,3,2,2,0.3396096073,0.2935085156,0.0455
dense,pooled,3,2,3,0.3432427809,0.2994864185,0.051375
dense,pooled,3,2,4,0.3568935746,0.3139581819,0.065875
dense,pooled,3,2,5,0.3793682434,0.3369855158,0.0891875
dense,pooled,3,2,6,0.4094812878,0.3656625621,0.11625
dense,pooled,3,2,7,0.4393425518,0.3932259439,0.137
dense,pooled,3,2,8,0.4694224836,0.4184363618,0.156875
dense,pooled,3,2,9,0.4936452438,0.4350446035,0.173125
dense,pooled,3,2,10,0.513310025,0.4477185331,0.1844375
dense,pooled,3,2,11,0.5272022777,0.4538768448,0.1878125
dense,pooled,3,2,12,0.5432583704,0.4575868455,0.187875
dense,pooled,3,3,1,0.362546002,0.3148917324,0.04375
dense,pooled,3,3,2,0.352200992,0.3115682625,0.0418125
dense,pooled,3,3,3,0.3543491781,0.3155014604,0.0458125
dense,pooled,3,3,4,0.360975336,0.3238655903,0.0548125
dense,pooled,3,3,5,0.3752108476,0.3368863999,0.0649375
dense,pooled,3,3,6,0.3941299208,0.3547612416,0.0789375
dense,pooled,3,3,7,0.4190725133,0.3741804947,0.0980625
dense,pooled,3,3,8,0.4498803809,0.4069691937,0.1195
dense,pooled,3,3,9,0.4876399135,0.4422764624,0.150625
dense,pooled,3,3,10,0.5314594677,0.4756783148,0.1809375
dense,pooled,3,3,11,0.5688946561,0.5096199871,0.2045625
dense,pooled,3,3,12,0.5935875622,0.5113515046,0.210875
