case,axis,dgp,R,T,p,H,irmse_global_h2,irmse_block_h2,irmse_pooled_h2,ratio_block,ratio_pooled,ratio_block_early,ratio_pooled_early,detect_prob,detect_prob_best_eq,flag_rate,false_positive_setting,max_concentration_early,verdict_block,verdict_pooled,label
T100,sample_size,sparse,40,100,2,12,0.106015,0.106312,0.104579,1.0028,0.9865,0.9952,0.9969,0.575,0.875,0.050,0,0.875,diagnostic only,diagnostic only,"sparse DGP at T = 100"
T400,sample_size,sparse,40,400,2,12,0.0511475,0.0504988,0.0490087,0.9873,0.9582,0.9505,0.9404,0.775,0.950,0.200,0,1.000,early horizons,improves RMSE,"sparse DGP at T = 400"
p1,lag_order,sparse,40,200,1,12,0.107637,0.110499,0.108843,1.0266,1.0112,1.0104,1.0180,0.850,0.925,0.075,0,1.000,diagnostic only,diagnostic only,"fitted p = 1: the VAR prior is wrong in more places"
p3,lag_order,sparse,40,200,3,12,0.0702466,0.069209,0.0669399,0.9852,0.9529,0.9786,0.9645,NaN,NaN,0.000,1,0.675,early horizons,improves RMSE,"fitted p = 3 NESTS the true VAR(3): the prior centre is correct, so any escape is a false positive"
p4,lag_order,sparse,40,200,4,12,0.0708282,0.0699491,0.068307,0.9876,0.9644,0.9857,0.9772,NaN,NaN,0.025,1,0.625,no signal,improves RMSE,"fitted p = 4 NESTS the true VAR(3): the prior centre is correct, so any escape is a false positive"
sparsity_correct,sparsity,correct,40,200,2,12,0.071607,0.0704719,0.0683107,0.9841,0.9540,0.9606,0.9395,NaN,NaN,0.100,1,0.425,early horizons,improves RMSE,"correctly specified VAR(2): nothing to escape from"
sparsity_dense,sparsity,dense,40,200,2,12,0.106581,0.10617,0.104702,0.9962,0.9824,0.9913,0.9791,NaN,NaN,0.050,2,0.425,no signal,early horizons,"dense: VARMA(2,1), every block of every equation wrong"
sparsity_interm,sparsity,intermediate,40,200,2,12,0.0705731,0.07285,0.0729307,1.0323,1.0334,1.0369,1.0403,0.900,0.850,0.150,0,1.000,diagnostic only,diagnostic only,"intermediate: A3(:,1) wrong in every equation, one block"
sparsity_sparse,sparsity,sparse,40,200,2,12,0.074279,0.0737687,0.0724226,0.9931,0.9750,0.9768,0.9824,0.725,0.925,0.125,0,0.950,early horizons,improves RMSE,"sparse: one wrong entry A3(3,1) = -0.30, one equation"
strength_a015,strength,sparse,40,200,2,12,0.0713366,0.0706526,0.0693833,0.9904,0.9726,0.9812,0.9813,0.575,0.650,0.125,0,0.725,diagnostic only,improves RMSE,"sparse DGP with A3(3,1) = -0.15"
strength_a045,strength,sparse,40,200,2,12,0.0791853,0.0778589,0.075895,0.9832,0.9584,0.9617,0.9596,0.825,0.975,0.075,0,1.000,early horizons,improves RMSE,"sparse DGP with A3(3,1) = -0.45"
strength_a060,strength,sparse,40,200,2,12,0.0850183,0.0831416,0.0812617,0.9779,0.9558,0.9538,0.9493,0.800,0.975,0.075,0,1.000,improves RMSE,improves RMSE,"sparse DGP with A3(3,1) = -0.60"
strength_dense_half,strength,dense,40,200,2,12,0.0868424,0.086044,0.0847913,0.9908,0.9764,0.9811,0.9726,NaN,NaN,0.050,2,0.450,no signal,improves RMSE,"dense DGP with the MA matrix halved"
