dgp,mode,R,T,p,H,estimator,variable,horizon,bias,variance,mse,rmse,coverage,avg_len,coverage_post,avg_len_post
correct,fmar,500,200,2,20,LP,1,1,-0.01601089272,0.005196483649,0.005452832335,0.0738432958,0.866,0.2267146489,NaN,NaN
correct,fmar,500,200,2,20,LP,1,2,-0.01939128695,0.006580512995,0.006956535004,0.08340584514,0.862,0.2535200123,NaN,NaN
correct,fmar,500,200,2,20,LP,1,3,-0.02761622402,0.007572815102,0.008335470931,0.09129880027,0.874,0.2769636978,NaN,NaN
correct,fmar,500,200,2,20,LP,1,4,-0.02725048147,0.009308547411,0.01005113615,0.1002553547,0.846,0.2904768229,NaN,NaN
correct,fmar,500,200,2,20,LP,1,5,-0.02657786449,0.01042128988,0.01112767276,0.1054877849,0.834,0.2991031688,NaN,NaN
correct,fmar,500,200,2,20,LP,1,6,-0.03137218958,0.01065885294,0.01164306722,0.1079030454,0.826,0.3049456821,NaN,NaN
correct,fmar,500,200,2,20,LP,1,7,-0.02685076941,0.01179851183,0.01251947565,0.1118904627,0.84,0.3086827069,NaN,NaN
correct,fmar,500,200,2,20,LP,1,8,-0.03396178772,0.01038809249,0.01154149552,0.1074313526,0.806,0.310092794,NaN,NaN
correct,fmar,500,200,2,20,LP,1,9,-0.02811332686,0.01044744261,0.01123780176,0.1060084985,0.828,0.3116593103,NaN,NaN
correct,fmar,500,200,2,20,LP,1,10,-0.03551670618,0.01112530006,0.01238673647,0.1112957163,0.836,0.3138453292,NaN,NaN
correct,fmar,500,200,2,20,LP,1,11,-0.03641417989,0.01234642395,0.01367241644,0.1169291086,0.822,0.318328719,NaN,NaN
correct,fmar,500,200,2,20,LP,1,12,-0.03792008684,0.01211909498,0.01355702797,0.1164346511,0.808,0.3154868715,NaN,NaN
correct,fmar,500,200,2,20,LP,1,13,-0.0335221385,0.01242622492,0.01354995869,0.1164042898,0.812,0.316218425,NaN,NaN
correct,fmar,500,200,2,20,LP,1,14,-0.03543340176,0.01192690824,0.0131824342,0.1148147822,0.82,0.3164573262,NaN,NaN
correct,fmar,500,200,2,20,LP,1,15,-0.03271681436,0.01221362585,0.01328401579,0.1152563048,0.808,0.3161702316,NaN,NaN
correct,fmar,500,200,2,20,LP,1,16,-0.02911544918,0.01205355294,0.01290126232,0.1135837238,0.82,0.3150816261,NaN,NaN
