dgp,scale_estimator,equation,block,horizon,tau_mean,tau_median,p_tau_gt1,tau_q05,tau_q25,tau_q50,tau_q75,tau_q95
correct,block,1,1,1,0.5593213918,0.3808426011,0.1447542857,0.04127516023,0.1752830403,0.3808426011,0.7174180545,1.62444198
correct,block,1,1,2,0.6314130691,0.4319786495,0.1795685714,0.04537403643,0.1985902497,0.4319786495,0.8104192327,1.825339783
correct,block,1,1,3,0.6938705595,0.4826776476,0.2094485714,0.05468086329,0.2288110217,0.4826776476,0.8881996137,1.98615903
correct,block,1,1,4,0.7620070369,0.5411016778,0.2427485714,0.06785433701,0.2656173245,0.5411016778,0.9711408631,2.135911504
correct,block,1,1,5,0.8264147396,0.5907251285,0.2740542857,0.07903944972,0.2949397681,0.5907251285,1.051271991,2.294672545
correct,block,1,1,6,0.8797991366,0.6313140205,0.2982714286,0.09102100694,0.3208045521,0.6313140205,1.11540843,2.431439602
correct,block,1,1,7,0.9326856871,0.6723280954,0.3228114286,0.1009637031,0.3468023472,0.6723280954,1.179376337,2.559941348
correct,block,1,1,8,0.9748436585,0.7066470754,0.3397714286,0.1133416649,0.372047905,0.7066470754,1.228227443,2.657936059
correct,block,1,1,9,1.036242208,0.7530934459,0.3643057143,0.1249783429,0.397390841,0.7530934459,1.30316889,2.808939131
correct,block,1,1,10,1.085680466,0.7922730502,0.3844342857,0.1354691465,0.4209903993,0.7922730502,1.365876537,2.932309199
correct,block,1,1,11,1.13341551,0.8294509485,0.4033914286,0.1512095046,0.4452160509,0.8294509485,1.420300815,3.035933744
correct,block,1,1,12,1.159214318,0.8475657047,0.4126828571,0.1477739167,0.4567470743,0.8475657047,1.453033529,3.131624812
correct,block,1,1,13,1.160649191,0.8436850629,0.4098342857,0.143636154,0.4488458029,0.8436850629,1.455004319,3.146287098
correct,block,1,1,14,1.17518494,0.8540237103,0.4133085714,0.1509806105,0.4555358494,0.8540237103,1.474626672,3.18712082
correct,block,1,1,15,1.196394436,0.8755529775,0.4220057143,0.1584858677,0.473690388,0.8755529775,1.500418725,3.214709431
correct,block,1,1,16,1.211158451,0.8802189991,0.4273342857,0.1656796209,0.4800688315,0.8802189991,1.509385232,3.272330112
correct,block,1,1,17,1.232407777,0.8956203236,0.4323028571,0.1635759788,0.4866450579,0.8956203236,1.537286274,3.314622985
correct,block,1,1,18,1.243015108,0.9037544161,0.4366971429,0.1740036872,0.4939556344,0.9037544161,1.550144147,3.34342047
correct,block,1,1,19,1.252362091,0.9111614935,0.4384857143,0.1777508121,0.5000646011,0.9111614935,1.5587244,3.374771433
correct,block,1,1,20,1.228668232,0.8919058829,0.4299685714,0.1688369481,0.4810229572,0.8919058829,1.536123632,3.327598498
correct,block,1,2,1,0.5626759111,0.3826999879,0.1450228571,0.04046809588,0.1756865656,0.3826999879,0.7186764807,1.63561689
correct,block,1,2,2,0.6415136764,0.4390762034,0.1842514286,0.04688378857,0.203205575,0.4390762034,0.8219158138,1.856898888
correct,block,1,2,3,0.6933546939,0.4856534841,0.2106542857,0.05385837044,0.2293756466,0.4856534841,0.8907947645,1.977632918
correct,block,1,2,4,0.7589741666,0.5359980263,0.2400342857,0.06554985938,0.2603750466,0.5359980263,0.9701781455,2.13962426
correct,block,1,2,5,0.8041659743,0.5738945771,0.2637742857,0.07433322621,0.282622196,0.5738945771,1.025651758,2.236343786
correct,block,1,2,6,0.8435927762,0.6031819064,0.2824628571,0.07669148857,0.297964135,0.6031819064,1.077722021,2.346440804
correct,block,1,2,7,0.8998334663,0.647915522,0.3074457143,0.08769208791,0.3254069563,0.647915522,1.145715769,2.490817982
correct,block,1,2,8,0.9304063268,0.6651546687,0.3184,0.09381539076,0.335246494,0.6651546687,1.179313404,2.574881636
correct,block,1,2,9,0.9735812978,0.6996394707,0.3362914286,0.1042041487,0.3548383399,0.6996394707,1.232532773,2.677305501
correct,block,1,2,10,1.016370938,0.7278560601,0.3522628571,0.114003179,0.3741397429,0.7278560601,1.284575459,2.796427584
correct,block,1,2,11,1.057959304,0.7643818702,0.3699885714,0.121138867,0.3967766287,0.7643818702,1.336699285,2.884095724
correct,block,1,2,12,1.087334248,0.7860600762,0.3810657143,0.1207717568,0.4072741753,0.7860600762,1.371000748,2.996143951
correct,block,1,2,13,1.126520112,0.8129073406,0.3915114286,0.1306225813,0.4255476854,0.8129073406,1.413210755,3.071206494
correct,block,1,2,14,1.127928202,0.8118049267,0.3930971429,0.1305012678,0.4236685088,0.8118049267,1.417836014,3.079436438
correct,block,1,2,15,1.132577351,0.8176195836,0.3938942857,0.132697712,0.4276982196,0.8176195836,1.4272488,3.093730082
correct,block,1,2,16,1.158460946,0.8350036421,0.4031971429,0.1358307984,0.4381062437,0.8350036421,1.457671739,3.17667881
correct,block,1,2,17,1.173274814,0.8441100384,0.40676,0.1368511209,0.4427503308,0.8441100384,1.477178341,3.215059438
correct,block,1,2,18,1.20514405,0.8690278999,0.4160771429,0.1405063926,0.4567433827,0.8690278999,1.51731486,3.290679942
correct,block,1,2,19,1.223908709,0.8853764754,0.4210571429,0.1513504748,0.4704322704,0.8853764754,1.535409806,3.336207047
correct,block,1,2,20,1.225228443,0.8824182724,0.4224457143,0.1593361512,0.4733658551,0.8824182724,1.535352411,3.330427874
correct,block,1,3,1,0.5622448959,0.383964944,0.1452114286,0.04195241916,0.1777185288,0.383964944,0.7178790369,1.633996799
correct,block,1,3,2,0.6195335014,0.4261759486,0.17338,0.04641958926,0.1973793959,0.4261759486,0.793670499,1.792905342
correct,block,1,3,3,0.6794141961,0.4767280567,0.2039342857,0.05297892527,0.2245634144,0.4767280567,0.8734472246,1.92753921
correct,block,1,3,4,0.7522948045,0.533682243,0.2386685714,0.06587953069,0.26145484,0.533682243,0.9609844596,2.108969409
correct,block,1,3,5,0.8117787517,0.5839948964,0.2670114286,0.07918974913,0.2945264722,0.5839948964,1.031191314,2.243127813
correct,block,1,3,6,0.8499520997,0.6120530383,0.2845228571,0.08258695826,0.309754497,0.6120530383,1.078516002,2.335135562
correct,block,1,3,7,0.8954522667,0.6469211683,0.3068485714,0.09278549348,0.3313137429,0.6469211683,1.137542479,2.461977272
correct,block,1,3,8,0.9405964191,0.6808029541,0.3248685714,0.09899286314,0.3495167534,0.6808029541,1.19165141,2.565187448
correct,block,1,3,9,0.9907615382,0.7235964726,0.3484342857,0.1201596394,0.3829419828,0.7235964726,1.250693363,2.675582484
correct,block,1,3,10,1.033300584,0.7525088899,0.36434,0.1245355101,0.3989964654,0.7525088899,1.303211312,2.798724245
correct,block,1,3,11,1.055430938,0.7685258341,0.3723942857,0.130199736,0.4054208707,0.7685258341,1.330949789,2.852880394
correct,block,1,3,12,1.103274489,0.8083942417,0.3925914286,0.1411197437,0.4326365522,0.8083942417,1.386982957,2.971650196
correct,block,1,3,13,1.125016092,0.8214608985,0.3971485714,0.1431939374,0.4394762446,0.8214608985,1.412916301,3.030884517
correct,block,1,3,14,1.147326846,0.8356987487,0.4052028571,0.1456698921,0.4475092504,0.8356987487,1.439986606,3.098717327
correct,block,1,3,15,1.144539468,0.8360230536,0.4038942857,0.1434600882,0.4459901166,0.8360230536,1.441373981,3.094207246
correct,block,1,3,16,1.133006884,0.8229893838,0.3968171429,0.1480804453,0.4416925755,0.8229893838,1.418749472,3.067302445
correct,block,1,3,17,1.144771751,0.8299409869,0.40318,0.1423180816,0.4421930145,0.8299409869,1.433627735,3.10061327
correct,block,1,3,18,1.154805013,0.8343018525,0.40532,0.1430564664,0.4426718653,0.8343018525,1.447205729,3.141620711
correct,block,1,3,19,1.154594852,0.8302704585,0.4041685714,0.1406033391,0.4397638902,0.8302704585,1.448502642,3.152097523
correct,block,1,3,20,1.144801896,0.8291191151,0.4008171429,0.139646708,0.4389111635,0.8291191151,1.438979893,3.120375004
correct,block,2,1,1,0.5474025931,0.3701292481,0.1383971429,0.04069328863,0.17070781,0.3701292481,0.6983824854,1.604178359
correct,block,2,1,2,0.6224275219,0.4261146077,0.1748228571,0.04481623577,0.1966809563,0.4261146077,0.7972016457,1.799530875
correct,block,2,1,3,0.697079208,0.4846222292,0.2090485714,0.05763587573,0.2318004914,0.4846222292,0.8902015775,1.983861041
correct,block,2,1,4,0.7643282224,0.5422638943,0.2437057143,0.07078150306,0.2668293382,0.5422638943,0.9738163322,2.147204826
correct,block,2,1,5,0.8265930788,0.5913401476,0.2737285714,0.08088422189,0.2964300016,0.5913401476,1.049355941,2.299685359
correct,block,2,1,6,0.8990656967,0.6494122755,0.3069885714,0.09913177628,0.3361170694,0.6494122755,1.136230703,2.463198838
correct,block,2,1,7,0.9434563296,0.6825077395,0.3276628571,0.1038377684,0.3509615358,0.6825077395,1.194437561,2.581618355
correct,block,2,1,8,1.007179877,0.7273976365,0.3513885714,0.1207761292,0.3835561334,0.7273976365,1.265458015,2.736827447
correct,block,2,1,9,1.057323412,0.771091145,0.3744914286,0.1372587838,0.4133443679,0.771091145,1.329738445,2.854474645
correct,block,2,1,10,1.099135673,0.8047525068,0.3914542857,0.1477737887,0.4350697991,0.8047525068,1.376654915,2.936581416
correct,block,2,1,11,1.134720742,0.8315153436,0.4039714286,0.1550853364,0.4513419708,0.8315153436,1.420207511,3.032828781
correct,block,2,1,12,1.169940786,0.8529694934,0.4147571429,0.1584661091,0.4674900154,0.8529694934,1.461749725,3.139046262
correct,block,2,1,13,1.171092966,0.854154087,0.41472,0.1566341999,0.4612141634,0.854154087,1.467820952,3.147073003
correct,block,2,1,14,1.18714482,0.863656052,0.4190828571,0.1562643172,0.4681430084,0.863656052,1.48532987,3.198643953
correct,block,2,1,15,1.191472438,0.8633436048,0.41804,0.1674836872,0.4706556842,0.8633436048,1.482657868,3.208057181
correct,block,2,1,16,1.211475966,0.8802486221,0.4251971429,0.1739368075,0.4837602171,0.8802486221,1.510490286,3.265081639
correct,block,2,1,17,1.197394183,0.8677026066,0.4193142857,0.1608524279,0.4677198321,0.8677026066,1.4966223,3.260947726
correct,block,2,1,18,1.195563069,0.8638046788,0.4188885714,0.1584792177,0.4655771256,0.8638046788,1.494492368,3.24793463
correct,block,2,1,19,1.183725349,0.8554045373,0.4126828571,0.1537541232,0.4591370264,0.8554045373,1.481562386,3.215000989
correct,block,2,1,20,1.188973478,0.8596028461,0.4151514286,0.1517584457,0.4580441503,0.8596028461,1.490063394,3.235183622
correct,block,2,2,1,0.5681316338,0.388620967,0.1485285714,0.04201908044,0.1805995204,0.388620967,0.725697057,1.649894888
correct,block,2,2,2,0.6471369482,0.4434911952,0.1862571429,0.0480511055,0.2065279612,0.4434911952,0.8292450347,1.864736861
correct,block,2,2,3,0.6906570333,0.4811160133,0.2097971429,0.05372955935,0.2238224097,0.4811160133,0.887801777,1.970665126
correct,block,2,2,4,0.7612483387,0.5374620732,0.24182,0.06304980764,0.2590307304,0.5374620732,0.9736706879,2.15342282
correct,block,2,2,5,0.8101967118,0.5779880944,0.2665142857,0.07485937903,0.2860053364,0.5779880944,1.031747816,2.252452704
correct,block,2,2,6,0.8625583381,0.6196656176,0.29198,0.08099018932,0.3090174609,0.6196656176,1.101275533,2.386871614
correct,block,2,2,7,0.9003442165,0.6445543973,0.30566,0.08872975156,0.3211158828,0.6445543973,1.141810544,2.490350194
correct,block,2,2,8,0.9523221441,0.6832039258,0.3292171429,0.1014096849,0.3480973827,0.6832039258,1.207731643,2.6251426
correct,block,2,2,9,0.9824351693,0.7066061286,0.34244,0.1009208127,0.3597093794,0.7066061286,1.248645823,2.708113215
correct,block,2,2,10,1.011883234,0.7250589552,0.3510542857,0.1024948937,0.3683895481,0.7250589552,1.279807933,2.790226312
correct,block,2,2,11,1.034273355,0.7451635865,0.3624,0.1134589248,0.383875476,0.7451635865,1.311173674,2.842699121
correct,block,2,2,12,1.066648743,0.7689729558,0.3744771429,0.1192898715,0.3969174895,0.7689729558,1.348021511,2.927026092
correct,block,2,2,13,1.085572181,0.7762471335,0.3775257143,0.1131770297,0.3978534487,0.7762471335,1.36762505,3.009026967
correct,block,2,2,14,1.096177006,0.7858482268,0.3827228571,0.1192586556,0.4040569522,0.7858482268,1.384230078,3.026513051
correct,block,2,2,15,1.098905205,0.7882705162,0.3833457143,0.1212238619,0.4072197791,0.7882705162,1.385306044,3.040577417
correct,block,2,2,16,1.134218833,0.8162867465,0.3920485714,0.1335958828,0.4275298312,0.8162867465,1.421546098,3.101749036
correct,block,2,2,17,1.134125492,0.8150846993,0.3946714286,0.1290130835,0.4234473054,0.8150846993,1.427388877,3.125891263
correct,block,2,2,18,1.14358105,0.8192786465,0.3968285714,0.1287652733,0.4222651008,0.8192786465,1.442662494,3.147684708
correct,block,2,2,19,1.132967737,0.8109799791,0.3930142857,0.1232051519,0.4156313445,0.8109799791,1.426450919,3.131110981
correct,block,2,2,20,1.139889214,0.8121467383,0.3936057143,0.1280735562,0.4204485493,0.8121467383,1.430867365,3.148688192
correct,block,2,3,1,0.5590001152,0.3807441969,0.1443942857,0.04130617977,0.1750055082,0.3807441969,0.7149485924,1.625303333
correct,block,2,3,2,0.6198024969,0.423939311,0.1734942857,0.04572838493,0.1964697337,0.423939311,0.7934921876,1.794168801
correct,block,2,3,3,0.69523172,0.4861344793,0.2097342857,0.05675732737,0.2293431762,0.4861344793,0.8888314253,1.973826748
correct,block,2,3,4,0.7490913298,0.5311803572,0.2369828571,0.06756609082,0.2602527493,0.5311803572,0.9559234629,2.102054577
correct,block,2,3,5,0.8033759885,0.575934539,0.2632685714,0.07582187097,0.2855531105,0.575934539,1.024436839,2.231757149
correct,block,2,3,6,0.839745827,0.6050878827,0.2801171429,0.08127536653,0.3036716964,0.6050878827,1.067809203,2.320303002
correct,block,2,3,7,0.887587383,0.6407883527,0.3014571429,0.09076638658,0.3246578667,0.6407883527,1.126601353,2.424047092
correct,block,2,3,8,0.9326308412,0.6753020303,0.3200485714,0.1015327624,0.347098343,0.6753020303,1.1804004,2.557406705
correct,block,2,3,9,0.9778120219,0.7064058244,0.3400885714,0.1064489933,0.3661651294,0.7064058244,1.236470847,2.664256613
correct,block,2,3,10,1.019625065,0.7445618048,0.3585685714,0.1206270183,0.3904643257,0.7445618048,1.286137038,2.749248876
correct,block,2,3,11,1.052221326,0.7629214898,0.3679428571,0.1228236928,0.4022847903,0.7629214898,1.326729013,2.861591455
correct,block,2,3,12,1.062155208,0.7744758572,0.3746142857,0.127979639,0.4097346207,0.7744758572,1.337817246,2.875550115
correct,block,2,3,13,1.095267692,0.7955075632,0.3845685714,0.1346314913,0.4221018464,0.7955075632,1.375880977,2.965446531
correct,block,2,3,14,1.120101553,0.8147533861,0.3929142857,0.1350595046,0.4321025313,0.8147533861,1.407670567,3.038483163
correct,block,2,3,15,1.124142302,0.8166250543,0.3945,0.1337167726,0.4310448519,0.8166250543,1.414343241,3.055942296
