dgp,mode,R,T,p,H,estimator,variable,irmse_legacy_h1,irmse_h2,irmse_early,irmse_late,ibias_h2,ivar_h2
dense,fmar,250,200,2,20,LP,1,0.1477374587,0.150854912,0.1374790367,0.1556320103,0.03514466929,0.02138501193
dense,fmar,250,200,2,20,LP,2,0.1383650494,0.1404590886,0.131969521,0.143491077,0.01909267059,0.01928583039
dense,fmar,250,200,2,20,LP,3,0.1234914365,0.1256236018,0.1221692644,0.1268572938,0.01639760181,0.01553514299
dense,fmar,250,200,2,20,BVAR,1,0.08613494346,0.0844022985,0.1112277668,0.07482177412,0.04657773831,0.005624553441
dense,fmar,250,200,2,20,BVAR,2,0.08187934301,0.08072872484,0.1096051971,0.07041569902,0.04057246622,0.005462990249
dense,fmar,250,200,2,20,BVAR,3,0.07174632585,0.07111350981,0.09674063804,0.06196096402,0.03567369137,0.004277019722
dense,fmar,250,200,2,20,BLP-FMAR,1,0.1038032786,0.1038310856,0.113417868,0.1004072347,0.04360344912,0.009033019113
dense,fmar,250,200,2,20,BLP-FMAR,2,0.09716523686,0.09699341935,0.1114792711,0.09181990088,0.03070428721,0.008588925986
dense,fmar,250,200,2,20,BLP-FMAR,3,0.08496197783,0.08505135956,0.09997930567,0.07971995024,0.02542967629,0.006693443302
dense,fmar,250,200,2,20,BLP-block,1,0.1053557408,0.1050105334,0.1113263109,0.1027548986,0.04255383694,0.00928813426
dense,fmar,250,200,2,20,BLP-block,2,0.09867720347,0.09849794321,0.1098165065,0.09445559918,0.03102748531,0.008786214439
dense,fmar,250,200,2,20,BLP-block,3,0.08649231304,0.08665499078,0.09861327986,0.08238417325,0.02588519548,0.006890929536
dense,fmar,250,200,2,20,BLP-pooled,1,0.1042318285,0.1036814796,0.1102461631,0.1013369498,0.04439749554,0.008824928024
dense,fmar,250,200,2,20,BLP-pooled,2,0.09774169989,0.09747706027,0.1087142051,0.09346379424,0.0336193715,0.008374117029
dense,fmar,250,200,2,20,BLP-pooled,3,0.08529517072,0.08538559326,0.09739908114,0.08109506188,0.0287068632,0.006499851371
