dgp,mode,R,T,p,H,estimator,variable,horizon,bias,variance,mse,rmse,coverage,avg_len,coverage_post,avg_len_post
dense,fmar,250,200,2,20,LP,1,1,-0.06103317683,0.004108236097,0.007833284771,0.08850584597,0.744,0.2114142579,NaN,NaN
dense,fmar,250,200,2,20,LP,1,2,-0.05858308237,0.01090027448,0.01433225202,0.1197173839,0.784,0.3305912797,NaN,NaN
dense,fmar,250,200,2,20,LP,1,3,-0.06341684559,0.01377079542,0.01779249172,0.1333884992,0.848,0.3893891793,NaN,NaN
dense,fmar,250,200,2,20,LP,1,4,-0.06237620869,0.0156470814,0.01953787281,0.1397779411,0.868,0.4191027433,NaN,NaN
dense,fmar,250,200,2,20,LP,1,5,-0.05297014704,0.01904152542,0.02184736189,0.1478085312,0.816,0.4374604409,NaN,NaN
dense,fmar,250,200,2,20,LP,1,6,-0.05057891984,0.01896349269,0.02152171982,0.1467028283,0.848,0.4475961111,NaN,NaN
dense,fmar,250,200,2,20,LP,1,7,-0.04330906566,0.01982272276,0.02169839792,0.1473037607,0.88,0.454741311,NaN,NaN
dense,fmar,250,200,2,20,LP,1,8,-0.03653893257,0.02187165014,0.02320674374,0.1523375979,0.84,0.4574453859,NaN,NaN
dense,fmar,250,200,2,20,LP,1,9,-0.03855362829,0.02305788523,0.02454426748,0.1566661019,0.836,0.4569731854,NaN,NaN
dense,fmar,250,200,2,20,LP,1,10,-0.03351167294,0.02206637381,0.02318940603,0.1522806818,0.832,0.4595753787,NaN,NaN
dense,fmar,250,200,2,20,LP,1,11,-0.02801091585,0.02399325043,0.02477786184,0.1574098531,0.852,0.4618090374,NaN,NaN
dense,fmar,250,200,2,20,LP,1,12,-0.02827686172,0.02543222767,0.02623180858,0.1619623678,0.844,0.4622148801,NaN,NaN
dense,fmar,250,200,2,20,LP,1,13,-0.02409825819,0.02263973432,0.02322046036,0.1523826118,0.856,0.464009696,NaN,NaN
dense,fmar,250,200,2,20,LP,1,14,-0.02059650399,0.02353373144,0.02395794742,0.1547835502,0.88,0.4646545784,NaN,NaN
dense,fmar,250,200,2,20,LP,1,15,-0.01261154413,0.02489860594,0.02505765698,0.1582961054,0.864,0.4658123996,NaN,NaN
dense,fmar,250,200,2,20,LP,1,16,-0.0155422873,0.02435170765,0.02459327034,0.1568224166,0.84,0.46260098,NaN,NaN
dense,fmar,250,200,2,20,LP,1,17,-0.01986384835,0.02428315735,0.02467772982,0.1570914696,0.872,0.4669957728,NaN,NaN
dense,fmar,250,200,2,20,LP,1,18,-0.02487522516,0.02328052089,0.02389929772,0.154593977,0.848,0.4692377952,NaN,NaN
dense,fmar,250,200,2,20,LP,1,19,-0.02558184329,0.02501087293,0.02566530363,0.1602039439,0.852,0.4638661797,NaN,NaN
dense,fmar,250,200,2,20,LP,1,20,-0.02845292562,0.02374961672,0.02455918569,0.1567137061,0.84,0.4614146924,NaN,NaN
dense,fmar,250,200,2,20,LP,2,1,-0.03935857441,0.008168585022,0.009717682401,0.09857830594,0.692,0.2108665328,NaN,NaN
dense,fmar,250,200,2,20,LP,2,2,-0.03197069839,0.01134696806,0.01236909362,0.1112164269,0.816,0.3150297284,NaN,NaN
dense,fmar,250,200,2,20,LP,2,3,-0.04287474813,0.01457528404,0.01641352806,0.1281152921,0.824,0.3640983053,NaN,NaN
dense,fmar,250,200,2,20,LP,2,4,-0.04622368876,0.01728712579,0.0194237552,0.1393691329,0.82,0.3916374773,NaN,NaN
dense,fmar,250,200,2,20,LP,2,5,-0.03800931329,0.01824371754,0.01968842543,0.1403154497,0.844,0.4080371999,NaN,NaN
dense,fmar,250,200,2,20,LP,2,6,-0.0294479975,0.01896627149,0.01983345605,0.1408313035,0.832,0.4155938832,NaN,NaN
dense,fmar,250,200,2,20,LP,2,7,-0.02132943213,0.02069890983,0.0211538545,0.1454436472,0.872,0.4252657555,NaN,NaN
dense,fmar,250,200,2,20,LP,2,8,-0.02003486693,0.02147100332,0.02187239921,0.1478932021,0.816,0.4257950319,NaN,NaN
dense,fmar,250,200,2,20,LP,2,9,-0.02606953715,0.02050171892,0.02118133969,0.1455381039,0.824,0.4255760699,NaN,NaN
dense,fmar,250,200,2,20,LP,2,10,-0.02048842652,0.01969316117,0.02011293679,0.141820086,0.856,0.4339698677,NaN,NaN
dense,fmar,250,200,2,20,LP,2,11,-0.007641053493,0.01879759216,0.01885597786,0.1373170705,0.864,0.4372179558,NaN,NaN
dense,fmar,250,200,2,20,LP,2,12,-0.007251267321,0.01712969448,0.01718227536,0.1310811785,0.868,0.4371737069,NaN,NaN
