dgp,scale_estimator,misspec_block,is_false_positive_setting,metric,index,value
intermediate,block,1,0,argmax_freq,block1,0.728
intermediate,block,1,0,argmax_freq,block2,0.128
intermediate,block,1,0,argmax_freq,block3,0.144
intermediate,block,1,0,argmax_freq_by_eq,eq1_block1,0.44
intermediate,block,1,0,argmax_freq_by_eq_early,eq1_block1,0.696
intermediate,block,1,0,argmax_freq_by_eq,eq1_block2,0.26
intermediate,block,1,0,argmax_freq_by_eq_early,eq1_block2,0.164
intermediate,block,1,0,argmax_freq_by_eq,eq1_block3,0.3
intermediate,block,1,0,argmax_freq_by_eq_early,eq1_block3,0.14
intermediate,block,1,0,argmax_freq_by_eq,eq2_block1,0.576
intermediate,block,1,0,argmax_freq_by_eq_early,eq2_block1,0.908
intermediate,block,1,0,argmax_freq_by_eq,eq2_block2,0.216
intermediate,block,1,0,argmax_freq_by_eq_early,eq2_block2,0.068
intermediate,block,1,0,argmax_freq_by_eq,eq2_block3,0.208
intermediate,block,1,0,argmax_freq_by_eq_early,eq2_block3,0.024
intermediate,block,1,0,argmax_freq_by_eq,eq3_block1,0.78
intermediate,block,1,0,argmax_freq_by_eq_early,eq3_block1,0.988
intermediate,block,1,0,argmax_freq_by_eq,eq3_block2,0.084
intermediate,block,1,0,argmax_freq_by_eq_early,eq3_block2,0.008
intermediate,block,1,0,argmax_freq_by_eq,eq3_block3,0.136
intermediate,block,1,0,argmax_freq_by_eq_early,eq3_block3,0.004
intermediate,block,1,0,detect_prob,aggregate,0.728
intermediate,block,1,0,detect_prob_by_eq,eq1,0.44
intermediate,block,1,0,detect_prob_by_eq_early,eq1,0.696
intermediate,block,1,0,mean_rank_true_by_eq,eq1,1.828
intermediate,block,1,0,detect_prob_by_eq,eq2,0.576
intermediate,block,1,0,detect_prob_by_eq_early,eq2,0.908
intermediate,block,1,0,mean_rank_true_by_eq,eq2,1.54
intermediate,block,1,0,detect_prob_by_eq,eq3,0.78
intermediate,block,1,0,detect_prob_by_eq_early,eq3,0.988
intermediate,block,1,0,mean_rank_true_by_eq,eq3,1.264
intermediate,block,1,0,max_argmax_freq,all_horizons,0.78
intermediate,block,1,0,max_argmax_freq_early,early,0.988
intermediate,block,1,0,argmax_cell,equation_all,3
intermediate,block,1,0,argmax_cell,block_all,1
intermediate,block,1,0,argmax_cell_early,equation_early,3
intermediate,block,1,0,argmax_cell_early,block_early,1
intermediate,block,1,0,argmax_chance,per_cell,0.3333333333
intermediate,block,1,0,mean_rank_true,aggregate,1.336
intermediate,block,1,0,rank_chance,aggregate,2
intermediate,block,1,0,flag_ratio,thr1.25,0.232
intermediate,block,1,0,joint_detect_ratio,thr1.25,0.216
intermediate,block,1,0,flag_ratio,thr1.50,0.024
intermediate,block,1,0,joint_detect_ratio,thr1.50,0.024
intermediate,block,1,0,flag_ratio,thr2.00,0
intermediate,block,1,0,joint_detect_ratio,thr2.00,0
intermediate,block,1,0,flag_prob,q0.50,0.908
intermediate,block,1,0,joint_detect_prob,q0.50,0.904
intermediate,block,1,0,flag_prob,q0.75,0.2
intermediate,block,1,0,joint_detect_prob,q0.75,0.2
intermediate,block,1,0,flag_prob,q0.90,0
intermediate,block,1,0,joint_detect_prob,q0.90,0
intermediate,block,1,0,ess_beta_mean,chain,194.7173859
intermediate,block,1,0,ess_logtau_mean,chain,79.34027738
intermediate,block,1,0,lag1_beta_mean,chain,0.1238943752
intermediate,block,1,0,acc_rate_mean,chain,NaN
intermediate,block,1,0,n_tau_clip_mean,chain,0.628
intermediate,pooled,1,0,argmax_freq,block1,0.772
intermediate,pooled,1,0,argmax_freq,block2,0.116
intermediate,pooled,1,0,argmax_freq,block3,0.112
intermediate,pooled,1,0,argmax_freq_by_eq,eq1_block1,0.464
intermediate,pooled,1,0,argmax_freq_by_eq_early,eq1_block1,0.656
intermediate,pooled,1,0,argmax_freq_by_eq,eq1_block2,0.24
intermediate,pooled,1,0,argmax_freq_by_eq_early,eq1_block2,0.176
intermediate,pooled,1,0,argmax_freq_by_eq,eq1_block3,0.296
intermediate,pooled,1,0,argmax_freq_by_eq_early,eq1_block3,0.168
intermediate,pooled,1,0,argmax_freq_by_eq,eq2_block1,0.624
intermediate,pooled,1,0,argmax_freq_by_eq_early,eq2_block1,0.872
intermediate,pooled,1,0,argmax_freq_by_eq,eq2_block2,0.168
intermediate,pooled,1,0,argmax_freq_by_eq_early,eq2_block2,0.084
intermediate,pooled,1,0,argmax_freq_by_eq,eq2_block3,0.208
intermediate,pooled,1,0,argmax_freq_by_eq_early,eq2_block3,0.044
intermediate,pooled,1,0,argmax_freq_by_eq,eq3_block1,0.768
intermediate,pooled,1,0,argmax_freq_by_eq_early,eq3_block1,0.968
intermediate,pooled,1,0,argmax_freq_by_eq,eq3_block2,0.092
intermediate,pooled,1,0,argmax_freq_by_eq_early,eq3_block2,0.016
intermediate,pooled,1,0,argmax_freq_by_eq,eq3_block3,0.14
intermediate,pooled,1,0,argmax_freq_by_eq_early,eq3_block3,0.016
intermediate,pooled,1,0,detect_prob,aggregate,0.772
intermediate,pooled,1,0,detect_prob_by_eq,eq1,0.464
intermediate,pooled,1,0,detect_prob_by_eq_early,eq1,0.656
intermediate,pooled,1,0,mean_rank_true_by_eq,eq1,1.704
intermediate,pooled,1,0,detect_prob_by_eq,eq2,0.624
intermediate,pooled,1,0,detect_prob_by_eq_early,eq2,0.872
intermediate,pooled,1,0,mean_rank_true_by_eq,eq2,1.44
intermediate,pooled,1,0,detect_prob_by_eq,eq3,0.768
intermediate,pooled,1,0,detect_prob_by_eq_early,eq3,0.968
intermediate,pooled,1,0,mean_rank_true_by_eq,eq3,1.268
intermediate,pooled,1,0,max_argmax_freq,all_horizons,0.768
intermediate,pooled,1,0,max_argmax_freq_early,early,0.968
intermediate,pooled,1,0,argmax_cell,equation_all,3
intermediate,pooled,1,0,argmax_cell,block_all,1
intermediate,pooled,1,0,argmax_cell_early,equation_early,3
intermediate,pooled,1,0,argmax_cell_early,block_early,1
intermediate,pooled,1,0,argmax_chance,per_cell,0.3333333333
intermediate,pooled,1,0,mean_rank_true,aggregate,1.26
intermediate,pooled,1,0,rank_chance,aggregate,2
intermediate,pooled,1,0,flag_ratio,thr1.25,0.652
intermediate,pooled,1,0,joint_detect_ratio,thr1.25,0.572
intermediate,pooled,1,0,flag_ratio,thr1.50,0.48
intermediate,pooled,1,0,joint_detect_ratio,thr1.50,0.432
intermediate,pooled,1,0,flag_ratio,thr2.00,0.26
intermediate,pooled,1,0,joint_detect_ratio,thr2.00,0.252
intermediate,pooled,1,0,flag_prob,q0.50,0.904
intermediate,pooled,1,0,joint_detect_prob,q0.50,0.892
intermediate,pooled,1,0,flag_prob,q0.75,0.72
intermediate,pooled,1,0,joint_detect_prob,q0.75,0.72
intermediate,pooled,1,0,flag_prob,q0.90,0.308
intermediate,pooled,1,0,joint_detect_prob,q0.90,0.308
intermediate,pooled,1,0,ess_beta_mean,chain,NaN
intermediate,pooled,1,0,ess_logtau_mean,chain,40.1091543
intermediate,pooled,1,0,lag1_beta_mean,chain,NaN
intermediate,pooled,1,0,acc_rate_mean,chain,0.3122644844
intermediate,pooled,1,0,n_tau_clip_mean,chain,NaN
