dgp,scale_estimator,equation,block,horizon,tau_mean,tau_median,p_tau_gt1,tau_q05,tau_q25,tau_q50,tau_q75,tau_q95
sparse,block,1,1,1,0.5601096084,0.3818811451,0.1445028571,0.04061951888,0.1769928351,0.3818811451,0.716749667,1.62400731
sparse,block,1,1,2,0.5311274572,0.3596329345,0.13236,0.04041496665,0.1663480126,0.3596329345,0.6779723673,1.549838358
sparse,block,1,1,3,0.6261341984,0.435784617,0.1765885714,0.04956045942,0.2064975254,0.435784617,0.8018821005,1.796014244
sparse,block,1,1,4,0.6842054216,0.4796164932,0.2045657143,0.05602045371,0.231694782,0.4796164932,0.8733065551,1.93866218
sparse,block,1,1,5,0.7496284829,0.5352745819,0.2368457143,0.06915080069,0.2638571405,0.5352745819,0.9553322641,2.087832526
sparse,block,1,1,6,0.8165021484,0.5877570291,0.2686914286,0.0863304412,0.3005629406,0.5877570291,1.034458911,2.24506332
sparse,block,1,1,7,0.8753227226,0.6341615118,0.2963485714,0.09546955422,0.3257828405,0.6341615118,1.108611582,2.397366031
sparse,block,1,1,8,0.9430648938,0.6891514516,0.3276114286,0.1116664828,0.3618406431,0.6891514516,1.190138771,2.553545408
sparse,block,1,1,9,1.008631932,0.7387422543,0.3557485714,0.1229436838,0.3938913397,0.7387422543,1.269968411,2.708897637
sparse,block,1,1,10,1.057303872,0.7791652216,0.3782371429,0.1406747477,0.4202894243,0.7791652216,1.328556963,2.827425419
sparse,block,1,1,11,1.084407252,0.7928344558,0.3863885714,0.1442130285,0.4284263947,0.7928344558,1.362551262,2.924121456
sparse,block,1,1,12,1.110375665,0.8067553243,0.3950057143,0.1473218958,0.4358398142,0.8067553243,1.387022785,3.009868353
sparse,block,1,1,13,1.133931852,0.8281016101,0.40254,0.1509298901,0.447852967,0.8281016101,1.419741971,3.058477255
sparse,block,1,1,14,1.14443434,0.8329367668,0.4067828571,0.1561991061,0.449794155,0.8329367668,1.432433787,3.082879188
sparse,block,1,1,15,1.173363488,0.8532674378,0.4156685714,0.1542124819,0.4606100608,0.8532674378,1.469743985,3.175475577
sparse,block,1,1,16,1.177042105,0.8549030713,0.4169857143,0.1526348933,0.4581308217,0.8549030713,1.476915132,3.169065627
sparse,block,1,1,17,1.175952842,0.8520642305,0.4142828571,0.1577189786,0.4605730342,0.8520642305,1.470370573,3.17917718
sparse,block,1,1,18,1.167282616,0.8431304344,0.4095171429,0.1497183442,0.4501461837,0.8431304344,1.460433487,3.182904625
sparse,block,1,1,19,1.187348719,0.8604216346,0.4170942857,0.1440978107,0.4556902692,0.8604216346,1.487757434,3.234818615
sparse,block,1,1,20,1.201085952,0.865476982,0.4215285714,0.1494263583,0.4614996114,0.865476982,1.500577351,3.281570196
sparse,block,1,2,1,0.5625125146,0.3851397978,0.1450742857,0.04146254376,0.1774228521,0.3851397978,0.7191997439,1.629925942
sparse,block,1,2,2,0.5370524142,0.3658023579,0.1350428571,0.04026163138,0.1694460387,0.3658023579,0.6868228603,1.561462704
