scale_estimator,equation,block,block_held_at_1,h,lambda_h,tau_mean,tau_median,p_tau_gt1
block,mps,mps,1,1,0.0084568,1.00000,1.00000,0.0000
block,mps,mps,1,2,0.0244432,1.00000,1.00000,0.0000
block,mps,mps,1,3,0.0370386,1.00000,1.00000,0.0000
block,mps,mps,1,4,0.0438451,1.00000,1.00000,0.0000
block,mps,mps,1,5,0.0474677,1.00000,1.00000,0.0000
block,mps,mps,1,6,0.0540061,1.00000,1.00000,0.0000
block,mps,mps,1,7,0.0583155,1.00000,1.00000,0.0000
block,mps,mps,1,8,0.0682113,1.00000,1.00000,0.0000
block,mps,mps,1,9,0.0830743,1.00000,1.00000,0.0000
block,mps,mps,1,10,0.0908248,1.00000,1.00000,0.0000
block,mps,mps,1,11,0.100372,1.00000,1.00000,0.0000
block,mps,mps,1,12,0.105848,1.00000,1.00000,0.0000
block,mps,mps,1,13,0.077748,1.00000,1.00000,0.0000
block,mps,mps,1,14,0.0769064,1.00000,1.00000,0.0000
block,mps,mps,1,15,0.088325,1.00000,1.00000,0.0000
block,mps,mps,1,16,0.109167,1.00000,1.00000,0.0000
block,mps,mps,1,17,0.149182,1.00000,1.00000,0.0000
block,mps,mps,1,18,0.18695,1.00000,1.00000,0.0000
block,mps,mps,1,19,0.220328,1.00000,1.00000,0.0000
block,mps,mps,1,20,0.281343,1.00000,1.00000,0.0000
block,mps,mps,1,21,0.341132,1.00000,1.00000,0.0000
block,mps,mps,1,22,0.364882,1.00000,1.00000,0.0000
block,mps,mps,1,23,0.381136,1.00000,1.00000,0.0000
block,mps,mps,1,24,0.398061,1.00000,1.00000,0.0000
block,mps,mps,1,25,0.366267,1.00000,1.00000,0.0000
block,mps,mps,1,26,0.386535,1.00000,1.00000,0.0000
block,mps,mps,1,27,0.402315,1.00000,1.00000,0.0000
block,mps,mps,1,28,0.41433,1.00000,1.00000,0.0000
block,mps,mps,1,29,0.425385,1.00000,1.00000,0.0000
block,mps,mps,1,30,0.436437,1.00000,1.00000,0.0000
block,mps,mps,1,31,0.435744,1.00000,1.00000,0.0000
block,mps,mps,1,32,0.474666,1.00000,1.00000,0.0000
block,mps,mps,1,33,0.49041,1.00000,1.00000,0.0000
block,mps,mps,1,34,0.475684,1.00000,1.00000,0.0000
block,mps,mps,1,35,0.449463,1.00000,1.00000,0.0000
block,mps,mps,1,36,0.452284,1.00000,1.00000,0.0000
block,mps,mps,1,37,0.442336,1.00000,1.00000,0.0000
block,mps,mps,1,38,0.435726,1.00000,1.00000,0.0000
block,mps,mps,1,39,0.445805,1.00000,1.00000,0.0000
block,mps,mps,1,40,0.442494,1.00000,1.00000,0.0000
block,mps,mps,1,41,0.423832,1.00000,1.00000,0.0000
block,mps,mps,1,42,0.400616,1.00000,1.00000,0.0000
block,mps,mps,1,43,0.39024,1.00000,1.00000,0.0000
block,mps,mps,1,44,0.382201,1.00000,1.00000,0.0000
block,mps,mps,1,45,0.366187,1.00000,1.00000,0.0000
block,mps,mps,1,46,0.334726,1.00000,1.00000,0.0000
block,mps,mps,1,47,0.298015,1.00000,1.00000,0.0000
block,mps,mps,1,48,0.291808,1.00000,1.00000,0.0000
block,mps,i1y,0,1,0.0084568,0.49257,0.30096,0.1273
block,mps,i1y,0,2,0.0244432,0.31608,0.22551,0.0413
block,mps,i1y,0,3,0.0370386,0.41911,0.27929,0.0867
block,mps,i1y,0,4,0.0438451,0.47864,0.35482,0.1073
block,mps,i1y,0,5,0.0474677,0.48061,0.32764,0.0973
block,mps,i1y,0,6,0.0540061,0.45463,0.32914,0.0940
block,mps,i1y,0,7,0.0583155,0.66667,0.46931,0.2073
block,mps,i1y,0,8,0.0682113,0.79266,0.45512,0.2113
block,mps,i1y,0,9,0.0830743,0.38436,0.30132,0.0493
block,mps,i1y,0,10,0.0908248,0.57645,0.37702,0.1607
block,mps,i1y,0,11,0.100372,0.57733,0.46521,0.1493
block,mps,i1y,0,12,0.105848,0.54934,0.39592,0.1440
block,mps,i1y,0,13,0.077748,0.61447,0.38264,0.1633
block,mps,i1y,0,14,0.0769064,0.80653,0.59573,0.2907
block,mps,i1y,0,15,0.088325,0.88342,0.65746,0.2927
block,mps,i1y,0,16,0.109167,0.71251,0.50696,0.2267
block,mps,i1y,0,17,0.149182,0.53820,0.33530,0.1753
block,mps,i1y,0,18,0.18695,0.57570,0.44483,0.1467
block,mps,i1y,0,19,0.220328,0.54766,0.40333,0.1420
block,mps,i1y,0,20,0.281343,0.52548,0.36423,0.1367
block,mps,i1y,0,21,0.341132,0.42998,0.23093,0.1067
block,mps,i1y,0,22,0.364882,0.64173,0.44611,0.1833
block,mps,i1y,0,23,0.381136,0.85174,0.65348,0.2853
block,mps,i1y,0,24,0.398061,0.57205,0.41746,0.1793
block,mps,i1y,0,25,0.366267,0.54065,0.31022,0.1640
block,mps,i1y,0,26,0.386535,0.56983,0.44412,0.1673
block,mps,i1y,0,27,0.402315,0.64005,0.47046,0.1853
block,mps,i1y,0,28,0.41433,0.47707,0.34043,0.1193
block,mps,i1y,0,29,0.425385,0.47643,0.36535,0.1100
block,mps,i1y,0,30,0.436437,0.54072,0.36151,0.1540
block,mps,i1y,0,31,0.435744,0.45158,0.32024,0.0993
block,mps,i1y,0,32,0.474666,0.33077,0.22302,0.0473
block,mps,i1y,0,33,0.49041,0.43370,0.26362,0.0827
block,mps,i1y,0,34,0.475684,0.36371,0.25594,0.0567
block,mps,i1y,0,35,0.449463,0.30075,0.18549,0.0500
block,mps,i1y,0,36,0.452284,0.31670,0.18891,0.0560
block,mps,i1y,0,37,0.442336,0.30734,0.19989,0.0367
block,mps,i1y,0,38,0.435726,0.34325,0.21593,0.0687
block,mps,i1y,0,39,0.445805,0.35829,0.23361,0.0653
block,mps,i1y,0,40,0.442494,0.37729,0.23725,0.0727
block,mps,i1y,0,41,0.423832,0.37501,0.26756,0.0513
block,mps,i1y,0,42,0.400616,0.51935,0.39464,0.1253
block,mps,i1y,0,43,0.39024,0.30849,0.21254,0.0360
block,mps,i1y,0,44,0.382201,0.42571,0.32394,0.0767
block,mps,i1y,0,45,0.366187,0.33671,0.22884,0.0473
block,mps,i1y,0,46,0.334726,0.45417,0.32354,0.0873
block,mps,i1y,0,47,0.298015,0.51302,0.36665,0.1380
block,mps,i1y,0,48,0.291808,0.52475,0.35098,0.1300
block,mps,ip,0,1,0.0084568,1.00200,0.64396,0.2940
block,mps,ip,0,2,0.0244432,0.63774,0.45824,0.1833
block,mps,ip,0,3,0.0370386,0.47590,0.32214,0.1013
block,mps,ip,0,4,0.0438451,0.67650,0.49919,0.1960
block,mps,ip,0,5,0.0474677,0.59031,0.37836,0.1847
block,mps,ip,0,6,0.0540061,0.57308,0.44404,0.1327
block,mps,ip,0,7,0.0583155,0.54677,0.34678,0.1713
block,mps,ip,0,8,0.0682113,0.64212,0.41225,0.1747
block,mps,ip,0,9,0.0830743,0.56420,0.38998,0.1547
block,mps,ip,0,10,0.0908248,0.76313,0.53214,0.2440
block,mps,ip,0,11,0.100372,0.65667,0.45612,0.1773
block,mps,ip,0,12,0.105848,0.76442,0.59452,0.2660
block,mps,ip,0,13,0.077748,0.64615,0.44659,0.2207
block,mps,ip,0,14,0.0769064,0.95460,0.66920,0.3313
block,mps,ip,0,15,0.088325,0.88913,0.69207,0.3220
block,mps,ip,0,16,0.109167,0.81092,0.66899,0.2753
block,mps,ip,0,17,0.149182,0.76922,0.51268,0.1880
block,mps,ip,0,18,0.18695,0.78601,0.54701,0.2700
block,mps,ip,0,19,0.220328,0.66557,0.33627,0.1813
block,mps,ip,0,20,0.281343,1.03016,0.46535,0.2680
block,mps,ip,0,21,0.341132,1.16410,0.56528,0.3433
block,mps,ip,0,22,0.364882,1.42215,0.71225,0.3713
block,mps,ip,0,23,0.381136,1.12538,0.65794,0.3580
block,mps,ip,0,24,0.398061,1.04072,0.63507,0.3360
block,mps,ip,0,25,0.366267,0.73577,0.41678,0.2120
block,mps,ip,0,26,0.386535,0.95893,0.50665,0.2713
block,mps,ip,0,27,0.402315,0.60786,0.45923,0.1633
block,mps,ip,0,28,0.41433,0.51885,0.36547,0.1420
block,mps,ip,0,29,0.425385,0.43849,0.27883,0.1187
block,mps,ip,0,30,0.436437,0.40098,0.28347,0.0767
block,mps,ip,0,31,0.435744,0.59222,0.42073,0.1647
block,mps,ip,0,32,0.474666,0.37170,0.28317,0.0540
block,mps,ip,0,33,0.49041,0.47986,0.37686,0.0967
block,mps,ip,0,34,0.475684,0.43960,0.27250,0.0940
block,mps,ip,0,35,0.449463,0.34509,0.26969,0.0340
block,mps,ip,0,36,0.452284,0.41782,0.29033,0.0820
block,mps,ip,0,37,0.442336,0.38466,0.28440,0.0613
block,mps,ip,0,38,0.435726,0.39080,0.30643,0.0500
block,mps,ip,0,39,0.445805,0.46538,0.38589,0.0880
block,mps,ip,0,40,0.442494,0.33160,0.25230,0.0293
block,mps,ip,0,41,0.423832,0.43444,0.32969,0.0760
block,mps,ip,0,42,0.400616,0.47052,0.33999,0.1120
block,mps,ip,0,43,0.39024,0.29081,0.19641,0.0393
block,mps,ip,0,44,0.382201,0.38614,0.30715,0.0447
block,mps,ip,0,45,0.366187,0.32602,0.21561,0.0433
block,mps,ip,0,46,0.334726,0.39595,0.28509,0.0707
block,mps,ip,0,47,0.298015,0.46226,0.35049,0.1027
block,mps,ip,0,48,0.291808,0.33836,0.22558,0.0633
