scale_estimator,equation,block,block_held_at_1,h,lambda_h,tau_mean,tau_median,p_tau_gt1
block,mps,mps,0,1,0.0084568,1.55896,0.96372,0.4893
block,mps,mps,0,2,0.0244432,0.81270,0.67370,0.3020
block,mps,mps,0,3,0.0370386,0.46942,0.29059,0.1533
block,mps,mps,0,4,0.0438451,0.55069,0.45742,0.1367
block,mps,mps,0,5,0.0474677,0.42490,0.32453,0.0653
block,mps,mps,0,6,0.0540061,0.36817,0.31994,0.0267
block,mps,mps,0,7,0.0583155,0.36967,0.31437,0.0240
block,mps,mps,0,8,0.0682113,0.32996,0.28251,0.0133
block,mps,mps,0,9,0.0830743,0.27852,0.24726,0.0073
block,mps,mps,0,10,0.0908248,0.22061,0.17822,0.0013
block,mps,mps,0,11,0.100372,0.19023,0.15486,0.0013
block,mps,mps,0,12,0.105848,0.22059,0.18726,0.0000
block,mps,mps,0,13,0.077748,0.26810,0.22696,0.0053
block,mps,mps,0,14,0.0769064,0.22091,0.16998,0.0033
block,mps,mps,0,15,0.088325,0.23008,0.19323,0.0020
block,mps,mps,0,16,0.109167,0.16487,0.12288,0.0020
block,mps,mps,0,17,0.149182,0.23308,0.19554,0.0013
block,mps,mps,0,18,0.18695,0.19357,0.17641,0.0013
block,mps,mps,0,19,0.220328,0.21860,0.19738,0.0000
block,mps,mps,0,20,0.281343,0.16302,0.15700,0.0000
block,mps,mps,0,21,0.341132,0.15069,0.14351,0.0000
block,mps,mps,0,22,0.364882,0.14912,0.14348,0.0000
block,mps,mps,0,23,0.381136,0.12769,0.12277,0.0000
block,mps,mps,0,24,0.398061,0.16350,0.15617,0.0000
block,mps,mps,0,25,0.366267,0.15980,0.15403,0.0000
block,mps,mps,0,26,0.386535,0.19637,0.18862,0.0000
block,mps,mps,0,27,0.402315,0.21433,0.20566,0.0000
block,mps,mps,0,28,0.41433,0.19685,0.18697,0.0000
block,mps,mps,0,29,0.425385,0.17018,0.16275,0.0000
block,mps,mps,0,30,0.436437,0.15717,0.15051,0.0000
block,mps,mps,0,31,0.435744,0.14749,0.14257,0.0000
block,mps,mps,0,32,0.474666,0.13259,0.13087,0.0000
block,mps,mps,0,33,0.49041,0.12160,0.11673,0.0000
block,mps,mps,0,34,0.475684,0.12041,0.11508,0.0000
block,mps,mps,0,35,0.449463,0.12589,0.12124,0.0000
block,mps,mps,0,36,0.452284,0.12370,0.11569,0.0000
block,mps,mps,0,37,0.442336,0.13147,0.12721,0.0000
