equation,block,tau_bar_baseline_block,tau_bar_jk_block,tau_bar_baseline_pooled,tau_bar_jk_pooled
mps,mps,1.00000,1.00000,1.00000,1.00000
mps,i1y,0.51781,0.51743,0.06889,0.06704
mps,ip,0.62644,0.56781,0.10186,0.03298
mps,hicp,0.60105,0.41286,0.05439,0.05857
mps,stoxx,0.68527,0.54374,0.08899,0.07932
i1y,mps,1.00000,1.00000,1.00000,1.00000
i1y,i1y,2.01753,1.77497,4.56675,3.03627
i1y,ip,1.34107,1.40389,2.40758,1.92103
i1y,hicp,0.86300,0.75465,0.94944,0.80129
i1y,stoxx,1.71987,1.17789,2.70374,1.79334
ip,mps,1.00000,1.00000,1.00000,1.00000
ip,i1y,5.32817,4.41602,7.56666,5.81844
ip,ip,3.20918,2.96020,4.38618,3.83064
ip,hicp,1.94655,1.68751,2.06586,1.78302
ip,stoxx,1.30461,1.04751,1.80727,1.23203
hicp,mps,1.00000,1.00000,1.00000,1.00000
hicp,i1y,2.40918,1.98365,3.27185,2.64443
hicp,ip,1.82180,1.55379,2.33930,1.99958
hicp,hicp,9.44774,8.37248,10.04524,8.78060
hicp,stoxx,2.29103,1.93319,2.97333,2.47342
stoxx,mps,1.00000,1.00000,1.00000,1.00000
stoxx,i1y,2.58320,2.73225,4.39211,3.89392
stoxx,ip,1.92690,2.21608,3.34943,2.97593
stoxx,hicp,0.62858,0.52545,0.38381,0.28427
stoxx,stoxx,0.70079,0.56672,0.25409,0.41021
