equation,block,tau_bar_baseline_block,tau_bar_jk_block,tau_bar_baseline_pooled,tau_bar_jk_pooled
mps,mps,0.38504,0.29644,0.09329,0.05295
mps,i1y,0.57640,0.46781,0.04884,0.03674
mps,ip,0.63322,0.49503,0.12714,0.06364
mps,hicp,0.54707,0.42155,0.05375,0.04641
mps,stoxx,0.66597,0.50822,0.12774,0.02928
i1y,mps,0.32686,0.45533,0.08207,0.01848
i1y,i1y,1.94423,1.80816,4.03396,3.27176
i1y,ip,1.25082,1.17844,2.03678,1.70928
i1y,hicp,0.86352,0.77195,0.86796,0.75397
i1y,stoxx,1.63643,1.35806,2.59001,1.94505
ip,mps,0.30283,0.42251,0.02527,0.00617
ip,i1y,5.34175,4.43913,7.03808,5.69964
ip,ip,3.17399,2.74882,4.18557,3.52056
ip,hicp,1.92906,1.67284,2.03075,1.75740
ip,stoxx,1.22284,1.08232,1.69232,1.40193
hicp,mps,0.30461,0.27261,0.07096,0.04234
hicp,i1y,2.32832,1.93623,3.09194,2.46347
hicp,ip,1.80450,1.60180,2.37536,1.93889
hicp,hicp,9.49107,8.35841,10.01607,8.72497
hicp,stoxx,2.15496,1.86509,2.83091,2.39599
stoxx,mps,0.32882,1.08783,0.03559,1.84625
stoxx,i1y,2.59115,2.47897,3.92346,4.38063
stoxx,ip,1.71743,2.09087,2.90015,3.59446
stoxx,hicp,0.62110,0.56129,0.38057,0.30394
stoxx,stoxx,0.66756,0.62627,0.37010,0.40916
