equation,block,tau_bar_baseline_block,tau_bar_jk_block,tau_bar_baseline_pooled,tau_bar_jk_pooled
mps,mps,0.48998,0.29505,0.11156,0.06312
mps,i1y,0.83456,0.53462,0.09489,0.05397
mps,ip,0.93066,0.55995,0.29598,0.03561
mps,hicp,0.82829,0.49410,0.20439,0.03192
mps,stoxx,0.98510,0.57557,0.20208,0.01857
i1y,mps,0.41213,0.44807,0.10762,0.00906
i1y,i1y,1.67917,1.88997,0.57243,4.07546
i1y,ip,1.42530,1.28191,0.91041,2.07124
i1y,hicp,1.78199,0.92117,2.26905,0.98528
i1y,stoxx,2.33409,1.51804,2.05437,2.51876
ip,mps,0.38364,0.41971,0.10875,0.01445
ip,i1y,8.90748,5.44257,22.35245,7.46659
ip,ip,5.33078,3.31276,13.92130,4.51988
ip,hicp,4.87266,2.13436,5.91151,2.32322
ip,stoxx,1.56913,1.22685,4.05516,1.72898
hicp,mps,0.39201,0.27322,0.07986,0.03641
hicp,i1y,7.02526,2.34977,10.76294,3.29769
hicp,ip,6.12694,1.95924,7.45803,2.62266
hicp,hicp,20.41996,10.68057,22.24809,11.29857
hicp,stoxx,4.92195,2.30974,8.19938,3.14424
stoxx,mps,0.41854,0.95904,0.10238,1.85804
stoxx,i1y,2.53685,2.49200,13.48138,5.45961
stoxx,ip,1.52827,2.15919,10.20933,4.75366
stoxx,hicp,0.88779,0.64839,0.30273,0.38014
stoxx,stoxx,0.90257,0.68883,0.56951,0.46030
