scale_estimator,equation,block,block_held_at_1,tau_bar,null_mean,null_q90,null_q95,null_q99,escape_q95,pgt1_bar,null_pgt1_q95,is_argmax,null_argmax_freq,eq_maxstat,eq_maxstat_q95,eq_flag
block,mps,mps,1,1.00000,1.00000,1.00000,1.00000,1.00000,0,0.0000,0.0000,0,0.9440,0.68527,1.00417,0
block,mps,i1y,0,0.51781,0.62993,0.78203,0.83612,0.90235,0,0.1226,0.2733,0,0.0020,0.68527,1.00417,0
block,mps,ip,0,0.62644,0.68459,0.84623,0.89286,0.98835,0,0.1805,0.2956,0,0.0080,0.68527,1.00417,0
block,mps,hicp,0,0.60105,0.67334,0.86159,0.94814,1.15728,0,0.1761,0.3233,0,0.0280,0.68527,1.00417,0
block,mps,stoxx,0,0.68527,0.69587,0.87981,0.94787,1.04255,0,0.2027,0.3208,1,0.0180,0.68527,1.00417,0
block,i1y,mps,1,1.00000,1.00000,1.00000,1.00000,1.00000,0,0.0000,0.0000,0,0.0400,2.01753,6.29698,0
block,i1y,i1y,0,2.01753,2.09379,4.32841,5.74768,11.12956,0,0.5245,0.8613,1,0.3020,2.01753,6.29698,0
block,i1y,ip,0,1.34107,1.76918,3.40311,4.76360,8.16978,0,0.4858,0.8499,0,0.1920,2.01753,6.29698,0
block,i1y,hicp,0,0.86300,1.53416,2.55022,3.07166,4.56918,0,0.3493,0.9460,0,0.2320,2.01753,6.29698,0
block,i1y,stoxx,0,1.71987,1.76785,3.22217,4.21103,6.62250,0,0.6525,0.9113,0,0.2340,2.01753,6.29698,0
block,ip,mps,1,1.00000,1.00000,1.00000,1.00000,1.00000,0,0.0000,0.0000,0,0.0340,5.32817,5.48246,0
block,ip,i1y,0,5.32817,1.94269,3.71133,4.97665,7.91831,1,0.7984,0.8210,1,0.2240,5.32817,5.48246,0
block,ip,ip,0,3.20918,1.82897,3.21799,4.34384,8.50637,0,0.7367,0.8199,0,0.1980,5.32817,5.48246,0
block,ip,hicp,0,1.94655,1.74704,2.91062,3.39975,4.81211,0,0.8935,0.9744,0,0.3100,5.32817,5.48246,0
block,ip,stoxx,0,1.30461,1.64623,2.99076,3.62239,4.94704,0,0.4892,0.8814,0,0.2340,5.32817,5.48246,0
block,hicp,mps,1,1.00000,1.00000,1.00000,1.00000,1.00000,0,0.0000,0.0000,0,0.0020,9.44774,7.02622,1
block,hicp,i1y,0,2.40918,2.62486,4.65837,6.07624,8.65097,0,0.7416,0.9154,0,0.2300,9.44774,7.02622,1
block,hicp,ip,0,1.82180,1.81366,3.21428,4.48781,6.28422,0,0.6001,0.8330,0,0.0640,9.44774,7.02622,1
block,hicp,hicp,0,9.44774,3.37710,5.25411,6.02571,8.01599,1,1.0000,0.9994,1,0.6360,9.44774,7.02622,1
block,hicp,stoxx,0,2.29103,1.85841,3.19465,4.29262,6.20924,0,0.8385,0.8767,0,0.0680,9.44774,7.02622,1
block,stoxx,mps,1,1.00000,1.00000,1.00000,1.00000,1.00000,0,0.0000,0.0000,0,0.0300,2.58320,7.32355,0
block,stoxx,i1y,0,2.58320,2.10089,4.02007,5.55753,9.17586,0,0.5073,0.8575,1,0.1960,2.58320,7.32355,0
block,stoxx,ip,0,1.92690,2.26316,4.43428,5.93072,9.67014,0,0.4556,0.8869,0,0.2840,2.58320,7.32355,0
block,stoxx,hicp,0,0.62858,1.58217,2.59738,3.23686,4.41631,0,0.1963,0.9456,0,0.1900,2.58320,7.32355,0
block,stoxx,stoxx,0,0.70079,2.15605,3.97183,4.68514,7.89444,0,0.2226,0.9315,0,0.3000,2.58320,7.32355,0
pooled,mps,mps,1,1.00000,1.00000,1.00000,1.00000,1.00000,0,0.0000,0.0000,0,0.9940,0.10186,1.00000,0
pooled,mps,i1y,0,0.06889,0.12367,0.22658,0.24884,0.31841,0,0.0000,0.0044,0,0.0000,0.10186,1.00000,0
pooled,mps,ip,0,0.10186,0.15377,0.25124,0.29405,0.37121,0,0.0002,0.0093,1,0.0000,0.10186,1.00000,0
pooled,mps,hicp,0,0.05439,0.21211,0.34562,0.41598,0.62076,0,0.0000,0.0302,0,0.0060,0.10186,1.00000,0
pooled,mps,stoxx,0,0.08899,0.17208,0.28539,0.32444,0.49437,0,0.0000,0.0139,0,0.0000,0.10186,1.00000,0
pooled,i1y,mps,1,1.00000,1.00000,1.00000,1.00000,1.00000,0,0.0000,0.0000,0,0.1580,4.56675,7.69614,0
pooled,i1y,i1y,0,4.56675,2.14282,5.50925,7.27101,15.33591,0,0.9992,0.9999,1,0.2780,4.56675,7.69614,0
pooled,i1y,ip,0,2.40758,1.72702,4.37612,5.69792,9.11683,0,0.9821,0.9991,0,0.1540,4.56675,7.69614,0
pooled,i1y,hicp,0,0.94944,1.57700,3.02196,3.64194,5.50343,0,0.4127,0.9997,0,0.2140,4.56675,7.69614,0
pooled,i1y,stoxx,0,2.70374,1.81756,4.01362,5.32203,7.76060,0,0.9988,1.0000,0,0.1960,4.56675,7.69614,0
pooled,ip,mps,1,1.00000,1.00000,1.00000,1.00000,1.00000,0,0.0000,0.0000,0,0.1080,7.56666,7.35473,1
pooled,ip,i1y,0,7.56666,1.85191,4.94187,6.27366,10.12709,1,0.9995,0.9968,1,0.2000,7.56666,7.35473,1
pooled,ip,ip,0,4.38618,1.78092,4.34264,5.69228,7.79820,0,0.9944,0.9965,0,0.1780,7.56666,7.35473,1
pooled,ip,hicp,0,2.06586,1.82696,3.31818,3.87913,6.13386,0,0.9818,1.0000,0,0.3200,7.56666,7.35473,1
pooled,ip,stoxx,0,1.80727,1.67240,3.50281,4.48913,7.30177,0,0.9044,0.9986,0,0.1940,7.56666,7.35473,1
pooled,hicp,mps,1,1.00000,1.00000,1.00000,1.00000,1.00000,0,0.0000,0.0000,0,0.0260,10.04524,8.31639,1
pooled,hicp,i1y,0,3.27185,3.04839,6.17731,7.58507,10.67397,0,0.9674,0.9992,0,0.2460,10.04524,8.31639,1
pooled,hicp,ip,0,2.33930,2.05492,4.79695,6.10711,8.95674,0,0.9673,0.9996,0,0.0760,10.04524,8.31639,1
pooled,hicp,hicp,0,10.04524,3.99352,6.19136,7.64499,9.88158,1,1.0000,1.0000,1,0.5900,10.04524,8.31639,1
pooled,hicp,stoxx,0,2.97333,2.07563,4.29341,5.61887,9.55622,0,0.9970,0.9996,0,0.0620,10.04524,8.31639,1
pooled,stoxx,mps,1,1.00000,1.00000,1.00000,1.00000,1.00000,0,0.0000,0.0000,0,0.0720,4.39211,8.53137,0
pooled,stoxx,i1y,0,4.39211,2.15624,5.28249,6.85232,11.30565,0,0.9059,0.9958,1,0.1800,4.39211,8.53137,0
pooled,stoxx,ip,0,3.34943,2.53443,5.65221,7.17846,11.99873,0,0.8761,0.9999,0,0.2580,4.39211,8.53137,0
pooled,stoxx,hicp,0,0.38381,1.64090,3.17491,3.94439,5.10816,0,0.0101,1.0000,0,0.2040,4.39211,8.53137,0
pooled,stoxx,stoxx,0,0.25409,2.36142,4.74121,6.08798,9.96085,0,0.0000,0.9997,0,0.2860,4.39211,8.53137,0
